"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P05","Mucho",0.369,0.298,0.33,0.203,0.354,0.32
"P05","Bastante",0.313,0.392,0.318,0.477,0.233,0.257
"P05","Poco",0.193,0.218,0.271,0.21,0.172,0.33
"P05","Nada",0.098,0.089,0.045,0.11,0.184,0.054
"P05","No sabe",0.027,0.003,0.036,0,0.057,0.039
"P06","Siempre",0.228,0.255,0.173,0.198,0.244,0.16
"P06","Casi siempre",0.332,0.376,0.368,0.392,0.273,0.342
"P06","Casi nunca",0.309,0.269,0.315,0.272,0.273,0.385
"P06","Nunca, pero esta es una excepción",0.131,0.1,0.144,0.138,0.21,0.113
"P08","Unión por la Patria y el peronismo",0.73,0.128,0.032,0.341,0.26,0.131
"P08","Juntos por el Cambio",0.116,0.721,0.178,0.048,0.248,0.221
"P08","De los Liberales libertarios",0.018,0.042,0.612,0.166,0.094,0.004
"P08","De la Izquierda",0.027,0.021,0.007,0.298,0.076,0.025
"P08","No sabe",0.109,0.088,0.171,0.147,0.322,0.619
"P09","A Sergio Massa",0.336,0.366,0.307,0.556,0.147,0.032
"P09","A Daniel Scioli",0.051,0.274,0.629,0.318,0.447,0.381
"P09","A algún candidato del peronismo",0.048,0.336,0.064,0,0.225,0.378
"P09","Wado de Pedro",0.565,0.024,0,0.126,0.181,0.209
"P10","A Horacio Rodriguez Larreta",0.418,0.27,0.242,0,0.14,0.056
"P10","A Patricia Bullrich",0.389,0.698,0.725,1,0.624,0.895
"P10","A Facundo Manes",0.122,0.027,0.033,0,0.236,0.011
"P10","A Gerardo Morales",0.071,0.005,0,0,0,0.038
