"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.381,0.111,0.045,0.291,0.298,0.109
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.397,0.061,0.011,0.024,0.126,0.027
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.091,0.613,0.083,0.013,0.071,0.058
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.061,0.149,0.074,0.129,0.1,0.113
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.052,0.016,0.71,0.094,0.112,0.08
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0.004,0,0.336,0.024,0.016
"P11","En blanco",0.002,0.029,0,0,0.098,0.009
"P11","No sabe",0.016,0.017,0.077,0.113,0.171,0.588
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.639,0.034,0.066,0.095,0.081,0.043
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.207,0.061,0.013,0.209,0.372,0.063
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.037,0.049,0.181,0,0.089,0.077
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.043,0.636,0.04,0.062,0.056,0.045
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.045,0.165,0.161,0,0.116,0.121
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.013,0.012,0.527,0.236,0,0.033
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0.031,0,0.232,0.096,0
"P13","En blanco",0.004,0.01,0,0.133,0.14,0.22
"P13","No sabe",0.01,0.002,0.012,0.033,0.05,0.398
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.782,0.051,0.039,0.165,0.343,0.107
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.023,0.841,0.041,0.172,0.034,0.097
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.011,0.025,0.848,0,0.045,0.03
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.002,0.021,0.022,0.524,0.119,0
"P14","En blanco",0.045,0.005,0.041,0.106,0.396,0.018
"P14","No sabe",0.137,0.057,0.009,0.033,0.063,0.748
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.803,0.064,0.025,0.165,0.344,0.108
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.052,0.726,0.064,0.128,0.086,0.143
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.007,0.089,0.834,0.127,0,0.014
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0,0.016,0.44,0.082,0.013
"P15"," En blanco",0.056,0.045,0.003,0.094,0.452,0.033
"P15","No sabe",0.081,0.076,0.058,0.046,0.036,0.689
