"var","categoria","Lo votaría","Puede que lo vote","Nunca lo votaría","No sabe"
"P18","En blanco",0.033,0.065,0.077,0.056
"P18","No sabe",0.117,0.15,0.115,0.465
"P19","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.101,0.333,0.575,0.195
"P19","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.672,0.285,0.066,0.087
"P19","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.077,0.137,0.149,0.141
"P19","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.013,0.03,0.015,0.034
"P19","En blanco",0.075,0.082,0.062,0.047
"P19","No sabe",0.062,0.133,0.133,0.496
"P20","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.09,0.305,0.519,0.309
"P20","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.686,0.299,0.109,0.055
"P20","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.063,0.13,0.177,0.18
"P20","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.051,0.058,0.016,0.033
"P20","En blanco",0.026,0.097,0.076,0.041
"P20","No sabe",0.084,0.111,0.103,0.382
"P21","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.11,0.308,0.56,0.315
"P21","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.74,0.293,0.063,0.123
"P21","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.064,0.116,0.176,0.097
"P21","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.013,0.101,0.027,0.04
"P21","En blanco",0.042,0.09,0.065,0.041
"P21","No sabe",0.031,0.092,0.109,0.384
"P22","Lo votaría",0.303,0.349,0.371,0.12
"P22","Puede que lo vote",0.192,0.274,0.285,0.383
"P22","Nunca lo votaría",0.341,0.302,0.272,0.105
"P22","No sabe",0.164,0.075,0.072,0.392
"P23","Lo votaría",0.219,0.279,0.415,0.128
"P23","Puede que lo vote",0.164,0.26,0.218,0.227
