"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.414,0.411,0.253,0.335,0.284,0.365,0.277,0.223,0.1
"P05","Bastante",0.318,0.351,0.349,0.353,0.409,0.26,0.219,0.214,0.378
"P05","Poco",0.212,0.115,0.273,0.226,0.174,0.213,0.351,0.375,0.273
"P05","Nada",0.046,0.106,0.066,0.085,0.106,0.117,0.1,0.134,0.179
"P05","No sabe",0.01,0.017,0.059,0.001,0.027,0.045,0.053,0.054,0.07
"P06","Siempre",0.232,0.275,0.252,0.219,0.222,0.151,0.154,0.065,0.066
"P06","Casi siempre",0.388,0.267,0.328,0.376,0.322,0.36,0.265,0.2,0.282
"P06","Casi nunca",0.283,0.286,0.22,0.259,0.274,0.212,0.366,0.399,0.338
"P06","Nunca, pero esta es una excepción",0.097,0.172,0.2,0.146,0.182,0.277,0.215,0.336,0.314
"P08","Unión por la Patria y el peronismo",0.758,0.62,0.273,0.124,0.076,0.021,0.088,0.064,0.129
"P08","Juntos por el Cambio",0.122,0.154,0.105,0.719,0.541,0.037,0.076,0.124,0.103
"P08","De los Liberales libertarios",0.012,0.035,0.361,0.059,0.194,0.663,0.133,0.047,0.045
"P08","De la Izquierda",0.031,0.06,0.01,0.02,0.023,0.095,0.293,0.049,0.021
"P08","No sabe",0.077,0.131,0.251,0.078,0.166,0.184,0.41,0.716,0.702
"P09","A Sergio Massa",0.308,0.287,0.073,0.331,0.329,0,0.156,0.351,0.428
"P09","A Daniel Scioli",0.08,0.098,0.613,0.289,0.336,0.672,0,0.399,0
"P09","A algún candidato del peronismo",0.098,0.279,0.064,0.188,0.175,0.219,0.157,0.25,0.441
"P09","Wado de Pedro",0.514,0.336,0.25,0.192,0.16,0.109,0.687,0,0.131
"P10","A Horacio Rodriguez Larreta",0.24,0.238,0.238,0.051,0.702,0,0,0.378,0.101
"P10","A Patricia Bullrich",0.548,0.569,0.671,0.913,0.229,1,0,0.368,0.652
"P10","A Facundo Manes",0.116,0.193,0,0.034,0.059,0,1,0.224,0.247
"P10","A Gerardo Morales",0.096,0,0.091,0.002,0.01,0,0,0.03,0
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.335,0.511,0.142,0.126,0.034,0.018,0.162,0.064,0.037
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.444,0.206,0.074,0.044,0.099,0.004,0.015,0.028,0.1
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.145,0.092,0.183,0.729,0.097,0.035,0,0.011,0.039
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.044,0.089,0.036,0.046,0.479,0.051,0.057,0.062,0.036
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.007,0.047,0.443,0.033,0.237,0.767,0,0.078,0.069
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0.004,0,0.003,0,0.066,0.292,0.005,0
"P11","En blanco",0.001,0.024,0.024,0,0.031,0.001,0.452,0.077,0.095
"P11","No sabe",0.023,0.027,0.098,0.019,0.023,0.058,0.022,0.675,0.624
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.695,0.752,0.246,0.072,0.099,0.019,0.087,0.042,0.05
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.052,0.112,0.114,0.84,0.392,0.033,0,0.038,0.132
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.038,0.042,0.436,0.017,0.204,0.762,0,0.004,0.068
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.002,0.044,0.01,0.02,0.029,0.059,0.552,0.046,0
"P14","En blanco",0.055,0.012,0.106,0.01,0.113,0.024,0.139,0.286,0.033
"P14","No sabe",0.158,0.038,0.088,0.041,0.163,0.103,0.222,0.584,0.717
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.698,0.818,0.237,0.083,0.092,0.067,0.201,0.019,0.055
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.051,0.134,0.168,0.615,0.616,0.061,0,0.086,0.026
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.031,0.035,0.445,0.093,0.177,0.773,0.235,0,0.024
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.001,0,0.003,0.007,0.004,0.039,0.406,0.089,0.038
"P15"," En blanco",0.08,0.012,0.05,0.093,0.071,0.002,0.148,0.354,0.048
"P15","No sabe",0.139,0.001,0.097,0.109,0.04,0.058,0.01,0.452,0.809
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.87,0.551,0.183,0.066,0.139,0.046,0.025,0.033,0.069
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.04,0.141,0.215,0.862,0.45,0.038,0.422,0.072,0.014
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.04,0.015,0.394,0.027,0.22,0.824,0,0,0.035
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.009,0.037,0,0.006,0,0.056,0.241,0.075,0.015
"P16","En blanco",0.023,0.205,0.091,0.018,0.075,0,0.312,0.247,0.068
"P16","No sabe",0.018,0.051,0.117,0.021,0.116,0.036,0,0.573,0.799
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.87,0.566,0.221,0.116,0.098,0.036,0,0.039,0.103
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.053,0.186,0.21,0.601,0.593,0.141,0,0.028,0.106
