"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P05","Mucho",0.32,0.298,0.208,0.373
"P05","Bastante",0.276,0.408,0.512,0.295
"P05","Poco",0.235,0.217,0.133,0.155
"P05","Nada",0.129,0.071,0.062,0.177
"P05","No sabe",0.04,0.006,0.085,0
"P06","Siempre",0.212,0.193,0.127,0.135
"P06","Casi siempre",0.255,0.407,0.359,0.657
"P06","Casi nunca",0.411,0.291,0.294,0.099
"P06","Nunca, pero esta es una excepción",0.122,0.109,0.22,0.109
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.085,0.069,0.259,0.067
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.065,0.067,0.105,0.301
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.165,0.732,0.237,0.415
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.677,0.092,0.171,0.131
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.002,0.007,0.008,0.045
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0.058,0
"P11","En blanco",0,0.001,0.035,0.023
"P11","No sabe",0.006,0.032,0.127,0.018
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.1,0.07,0.139,0.582
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.088,0.064,0.205,0
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.029,0.025,0,0.163
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.131,0.718,0.252,0.088
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.601,0.06,0.146,0.125
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0,0.024,0,0
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0.095,0
"P13","En blanco",0.037,0.011,0.062,0.042
"P13","No sabe",0.014,0.028,0.101,0
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.112,0.05,0.165,0.381
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.469,0.841,0.491,0.242
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.134,0.024,0.111,0.224
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.03,0.002,0.119,0
"P14","En blanco",0.078,0.012,0.032,0
"P14","No sabe",0.177,0.071,0.082,0.153
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.112,0.06,0.195,0.375
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.768,0.627,0.355,0.178
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.084,0.093,0.177,0.386
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0,0.094,0
"P15"," En blanco",0.009,0.098,0.032,0.061
