"var","categoria","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.4,0.276,0.529,0.284,0.253,0.259
"P05","Bastante",0.363,0.42,0.198,0.465,0.27,0.228
"P05","Poco",0.167,0.23,0.242,0.189,0.275,0.34
"P05","Nada",0.064,0.065,0.031,0.062,0.162,0.096
"P05","No sabe",0.006,0.009,0,0,0.04,0.077
"P06","Siempre",0.263,0.26,0.186,0.184,0.17,0.103
"P06","Casi siempre",0.349,0.414,0.433,0.417,0.276,0.321
"P06","Casi nunca",0.271,0.265,0.182,0.224,0.25,0.469
"P06","Nunca, pero esta es una excepción",0.117,0.061,0.199,0.175,0.304,0.107
"P08","Unión por la Patria y el peronismo",0.783,0.093,0.032,0.301,0.208,0.278
"P08","Juntos por el Cambio",0.122,0.793,0.09,0.093,0.255,0.14
"P08","De los Liberales libertarios",0.014,0.056,0.763,0.177,0.196,0.024
"P08","De la Izquierda",0.019,0.006,0,0.366,0.097,0.02
"P08","No sabe",0.062,0.052,0.115,0.063,0.244,0.538
"P09","A Sergio Massa",0.364,0.582,0,0.364,0.156,0.093
"P09","A Daniel Scioli",0.139,0.015,0.716,0.193,0.042,0.116
"P09","A algún candidato del peronismo",0.067,0.403,0.108,0,0.035,0.162
"P09","Wado de Pedro",0.43,0,0.176,0.443,0.767,0.629
"P10","A Horacio Rodriguez Larreta",0.262,0.273,0.017,0.478,0.325,0.282
"P10","A Patricia Bullrich",0.613,0.704,0.924,0.522,0.47,0.673
"P10","A Facundo Manes",0.08,0.022,0.059,0,0.205,0.045
"P10","A Gerardo Morales",0.045,0.001,0,0,0,0
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.437,0.082,0.034,0.221,0.116,0.078
