"var","categoria","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ","En blanco","No sabe"
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.007,0,0.001,0.293,0.026,0.009
"P11","En blanco",0.002,0,0.001,0.037,0.121,0.047
"P11","No sabe",0.038,0.037,0.065,0.042,0.146,0.401
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.507,0.043,0.057,0.016,0.234,0.229
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.329,0.056,0.038,0.175,0.031,0.033
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.054,0.029,0.197,0.02,0.138,0.039
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.051,0.681,0.025,0.127,0.04,0.057
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.031,0.141,0.132,0.082,0.208,0.102
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.006,0.013,0.521,0.178,0.047,0.069
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.006,0,0,0.351,0.057,0.031
"P13","En blanco",0.005,0.005,0.001,0.051,0.203,0.141
"P13","No sabe",0.011,0.032,0.029,0,0.042,0.299
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.931,0.013,0.035,0.243,0.053,0.105
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.033,0.724,0.052,0.147,0.115,0.15
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.002,0.083,0.842,0.043,0.044,0.051
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0,0.006,0.018,0.401,0.034,0.019
"P15"," En blanco",0.01,0.074,0.001,0.166,0.695,0.057
"P15","No sabe",0.024,0.1,0.052,0,0.059,0.618
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.816,0.028,0.026,0.024,0.279,0.315
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.047,0.892,0.052,0.202,0.028,0.114
