"var","categoria","Si","No"
"P05","Mucho",0.451,0.348
"P05","Bastante",0.395,0.318
"P05","Poco",0.128,0.235
"P05","Nada",0.021,0.09
"P05","No sabe",0.005,0.009
"P06","Siempre",0.353,0.161
"P06","Casi siempre",0.475,0.383
"P06","Casi nunca",0.15,0.278
"P06","Nunca, pero esta es una excepción",0.022,0.178
"P08","Unión por la Patria y el peronismo",0.486,0.335
"P08","Juntos por el Cambio",0.272,0.319
"P08","De los Liberales libertarios",0.151,0.125
"P08","De la Izquierda",0.02,0.024
"P08","No sabe",0.071,0.197
"P09","A Sergio Massa",0.377,0.344
"P09","A Daniel Scioli",0.109,0.131
"P09","A algún candidato del peronismo",0.119,0.126
"P09","Wado de Pedro",0.395,0.399
"P10","A Horacio Rodriguez Larreta",0.235,0.174
"P10","A Patricia Bullrich",0.713,0.781
"P10","A Facundo Manes",0.043,0.036
"P10","A Gerardo Morales",0.009,0.009
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.213,0.195
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.28,0.152
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.206,0.28
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.079,0.106
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.14,0.129
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.003,0.011
"P11","En blanco",0.005,0.021
"P11","No sabe",0.074,0.106
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.26,0.264
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.203,0.114
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.055,0.076
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.23,0.212
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.105,0.105
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.099,0.096
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.01,0.015
"P13","En blanco",0.02,0.056
"P13","No sabe",0.018,0.062
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.42,0.29
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.284,0.271
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.16,0.153
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.013,0.026
"P14","En blanco",0.038,0.082
"P14","No sabe",0.085,0.178
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.393,0.32
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.245,0.309
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.197,0.132
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.016,0.019
"P15"," En blanco",0.064,0.087
"P15","No sabe",0.085,0.133
