"var","categoria","Unión por la Patria y el peronismo","Juntos por el Cambio","De los Liberales libertarios","De la Izquierda","No sabe"
"P05","Mucho",0.445,0.315,0.341,0.298,0.184
"P05","Bastante",0.373,0.373,0.347,0.285,0.262
"P05","Poco",0.136,0.214,0.2,0.149,0.313
"P05","Nada",0.039,0.081,0.091,0.252,0.178
"P05","No sabe",0.007,0.017,0.021,0.016,0.063
"P06","Siempre",0.266,0.195,0.152,0.162,0.105
"P06","Casi siempre",0.332,0.391,0.333,0.219,0.216
"P06","Casi nunca",0.276,0.301,0.284,0.347,0.348
"P06","Nunca, pero esta es una excepción",0.126,0.113,0.231,0.272,0.331
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.419,0.088,0.083,0.172,0.073
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.354,0.081,0.009,0.062,0.072
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.108,0.566,0.121,0.112,0.087
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.041,0.223,0.025,0.056,0.062
"P11","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.025,0.006,0.718,0.208,0.14
"P11","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.002,0.003,0,0.208,0.02
"P11","En blanco",0.015,0.004,0.006,0.07,0.116
"P11","No sabe",0.036,0.029,0.038,0.112,0.43
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.52,0.096,0.021,0.168,0.084
"P13","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.266,0.076,0.037,0.205,0.089
"P13","Daniel Scioli a presidente, Victoria Tolosa Paz gobernadora y su candidato a intendente por Unión por la Patria",0.056,0.024,0.182,0.016,0.082
"P13","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.081,0.537,0.094,0.099,0.081
"P13","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.024,0.197,0.153,0.056,0.084
"P13","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.006,0.012,0.446,0.203,0.08
"P13","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.006,0.006,0.021,0.146,0.041
"P13","En blanco",0.011,0.025,0.02,0.068,0.2
"P13","No sabe",0.03,0.027,0.026,0.039,0.259
"P14","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.727,0.099,0.051,0.337,0.158
"P14","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.065,0.731,0.082,0.042,0.129
"P14","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.026,0.042,0.745,0.102,0.115
"P14","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.014,0.014,0.036,0.281,0.052
"P14","En blanco",0.041,0.023,0.049,0.116,0.116
"P14","No sabe",0.127,0.091,0.037,0.122,0.43
"P15","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.738,0.108,0.065,0.349,0.198
"P15","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.061,0.65,0.064,0.186,0.125
"P15","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.013,0.084,0.772,0.074,0.134
"P15","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.014,0.005,0.021,0.228,0.016
"P15"," En blanco",0.07,0.062,0.036,0.044,0.137
"P15","No sabe",0.104,0.091,0.042,0.119,0.39
"P16","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.75,0.121,0.043,0.404,0.162
"P16","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.089,0.74,0.098,0.045,0.154
"P16","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.018,0.047,0.811,0.042,0.132
"P16","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.015,0.009,0.016,0.285,0.021
"P16","En blanco",0.085,0.023,0.025,0.121,0.154
"P16","No sabe",0.043,0.06,0.007,0.103,0.377
"P17","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria",0.755,0.131,0.048,0.297,0.214
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.103,0.632,0.085,0.178,0.133
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.016,0.097,0.772,0.037,0.16
"P17","Al candidato a presidente, a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda ",0.022,0.003,0.028,0.206,0.018
"P17","En blanco",0.069,0.072,0.064,0.212,0.161
"P17","No sabe",0.035,0.065,0.003,0.07,0.314
"P18","Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.748,0.104,0.089,0.121,0.165
"P18","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.07,0.7,0.125,0.124,0.082
"P18","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza",0.023,0.035,0.665,0.02,0.105
"P18","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda",0.015,0.01,0.039,0.52,0.02
"P18","En blanco",0.052,0.069,0.058,0.074,0.132
