"var","categoria","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.359,0.298,0.516,0.175,0.351,0.256
"P05","Bastante",0.381,0.395,0.257,0.463,0.283,0.141
"P05","Poco",0.191,0.226,0.194,0.332,0.204,0.348
"P05","Nada",0.062,0.06,0.033,0.03,0.162,0.14
"P05","No sabe",0.007,0.021,0,0,0,0.115
"P06","Siempre",0.22,0.256,0.212,0.249,0.202,0.083
"P06","Casi siempre",0.378,0.441,0.427,0.28,0.397,0.277
"P06","Casi nunca",0.27,0.249,0.166,0.204,0.207,0.537
"P06","Nunca, pero esta es una excepción",0.132,0.054,0.195,0.267,0.194,0.103
"P08","Unión por la Patria y el peronismo",0.782,0.109,0.084,0.273,0.337,0.128
"P08","Juntos por el Cambio",0.076,0.759,0.131,0.049,0.28,0.186
"P08","De los Liberales libertarios",0.044,0.052,0.722,0.133,0.064,0.021
"P08","De la Izquierda",0.014,0.007,0,0.225,0.156,0.006
"P08","No sabe",0.084,0.073,0.063,0.32,0.163,0.659
"P09","A Sergio Massa",0.334,0.512,0,0.455,0.245,0.343
"P09","A Daniel Scioli",0.056,0.1,0.961,0.399,0.389,0.12
"P09","A algún candidato del peronismo",0.052,0.388,0.039,0.066,0.299,0.267
"P09","Wado de Pedro",0.558,0,0,0.08,0.067,0.27
"P10","A Horacio Rodriguez Larreta",0.083,0.268,0.027,0,0.563,0.211
"P10","A Patricia Bullrich",0.739,0.704,0.839,1,0.349,0.789
"P10","A Facundo Manes",0.107,0.027,0.134,0,0.088,0
"P10","A Gerardo Morales",0.071,0.001,0,0,0,0
