"var","categoria","Axel Kicillof a gobernador y Damian Selci a intendente por Unión por la Patria","Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio","Carolina Piparo a gobernadora y Rafael De Francesco a intendente por la Libertad Avanza","Al candidato a gobernador y Alejandro Chayán a intendente por el Frente de Izquierda","En blanco","No sabe"
"P05","Mucho",0.388,0.323,0.505,0.215,0.372,0.171
"P05","Bastante",0.331,0.407,0.219,0.472,0.297,0.267
"P05","Poco",0.205,0.193,0.23,0.161,0.219,0.357
"P05","Nada",0.064,0.075,0.046,0.076,0.106,0.111
"P05","No sabe",0.012,0.002,0,0.076,0.006,0.094
"P06","Siempre",0.254,0.225,0.213,0.377,0.197,0.108
"P06","Casi siempre",0.362,0.413,0.398,0.198,0.389,0.319
"P06","Casi nunca",0.265,0.255,0.203,0.306,0.269,0.449
"P06","Nunca, pero esta es una excepción",0.119,0.107,0.186,0.119,0.145,0.124
"P08","Unión por la Patria y el peronismo",0.831,0.082,0.098,0.269,0.356,0.167
"P08","Juntos por el Cambio",0.067,0.785,0.112,0.129,0.214,0.197
"P08","De los Liberales libertarios",0.019,0.054,0.704,0.274,0.026,0.033
"P08","De la Izquierda",0.007,0.025,0.009,0.227,0.093,0.005
"P08","No sabe",0.076,0.054,0.077,0.101,0.311,0.598
"P09","A Sergio Massa",0.337,0.509,0,0.465,0.276,0.276
"P09","A Daniel Scioli",0.079,0.017,0.694,0.296,0.353,0.242
"P09","A algún candidato del peronismo",0.044,0.445,0.15,0,0.286,0.184
"P09","Wado de Pedro",0.54,0.029,0.156,0.239,0.085,0.298
"P10","A Horacio Rodriguez Larreta",0.157,0.252,0.098,0,0.612,0.523
"P10","A Patricia Bullrich",0.625,0.736,0.802,0.174,0.257,0.44
"P10","A Facundo Manes",0.163,0.011,0.1,0.826,0.131,0
"P10","A Gerardo Morales",0.055,0.001,0,0,0,0.037
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Juan Zabaleta a intendente por Unión por la Patria",0.36,0.12,0.032,0.275,0.311,0.087
"P11","Wado de Pedro a presidente, Axel Kicillof a gobernador y Damián Selci a intendente por Unión por la Patria",0.453,0.058,0.042,0.017,0.071,0.051
"P11","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Andrea Giorgini a intendenta por Juntos por el Cambio",0.106,0.56,0.083,0.027,0.13,0.108
"P11","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Lucas Delfino a intendente por Juntos por el Cambio",0.04,0.194,0.048,0.094,0.131,0.145
