"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.481,0.35,0.399,0.236
"P05","Bastante",0.309,0.378,0.295,0.292
"P05","Poco",0.168,0.224,0.229,0.338
"P05","Nada",0.028,0.041,0.067,0.089
"P05","No sabe",0.014,0.007,0.01,0.045
"P06","Siempre",0.315,0.266,0.219,0.207
"P06","Casi siempre",0.439,0.446,0.379,0.324
"P06","Casi nunca",0.185,0.211,0.314,0.298
"P06","Nunca, pero esta es una excepción",0.061,0.077,0.088,0.171
"P08","Unión por la Patria",0.679,0.104,0.182,0.105
"P08","Juntos por el Cambio",0.172,0.593,0.188,0.211
"P08","Liberales",0.02,0.233,0.313,0.139
"P08","Izquierda",0.035,0.012,0.089,0.044
"P08","Otro",0.045,0.025,0.097,0.139
"P08","No sabe",0.049,0.033,0.131,0.362
"P09","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.611,0.007,0.13,0.086
"P09","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.19,0.009,0.068,0.026
"P09","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.068,0.533,0.063,0.089
"P09","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.029,0.152,0.083,0.149
"P09","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.029,0.267,0.394,0.254
"P09","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.023,0.003,0.074,0.037
"P09","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.017,0.009,0.037,0.086
"P09","Otros",0.015,0.006,0.052,0.087
"P09","En blanco",0.003,0.002,0.085,0.014
"P09","No sabe",0.015,0.012,0.014,0.172
"P18","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.499,0.049,0.12,0.087
"P18","Juan Grabois a Presidente y Paula Abal Medina a Vicepresidente por Unión por la Patria",0.204,0.029,0.118,0.052
"P18","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.071,0.481,0.106,0.116
"P18","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.071,0.199,0.119,0.172
"P18","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.056,0.195,0.248,0.169
"P18","Myriam Bregman a Presidente y Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.031,0.005,0.03,0.023
"P18","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.011,0.041,0.094
"P18","Otros",0.025,0.006,0.067,0.07
"P18","En blanco",0.012,0.007,0.128,0.017
"P18","No sabe",0.012,0.018,0.023,0.2
"P25","Totalmente seguro",0.653,0.673,0.684,0.442
"P25","Bastante seguro",0.185,0.178,0.122,0.094
"P25","Algo seguro",0.104,0.103,0.089,0.163
"P25","Para nada seguro",0.058,0.046,0.105,0.301
"P26","Tiene Decidido que va a ir a votar",0.931,0.909,0.871,0.835
"P26","Tiene dudas sobre si va a ir a  votar",0.045,0.059,0.082,0.092
"P26","Tiene Decidido que no va a ir a votar",0.024,0.032,0.047,0.073
"P27","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.767,0.014,0.152,0.084
"P27","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.065,0.646,0.066,0.092
"P27","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.053,0.273,0.402,0.276
"P27","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.045,0.005,0.104,0.026
"P27","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.021,0.056,0.126
"P27","Otros",0.029,0.024,0.076,0.112
"P27","En blanco",0.005,0.007,0.107,0.023
"P27","No sabe",0.012,0.01,0.037,0.261
"P28","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria",0.779,0.014,0.155,0.083
"P28","Horacio Rodríguez Larreta a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.088,0.511,0.092,0.192
"P28","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.044,0.354,0.414,0.256
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.034,0.004,0.094,0.026
"P28","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.019,0.019,0.062,0.1
"P28","Otros",0.021,0.037,0.057,0.103
"P28","En blanco",0.004,0.025,0.106,0.022
"P28","No sabe",0.011,0.036,0.02,0.218
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.199,0.637,0.095,0.104
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.324,0.439,0.248
"P34","En blanco",0.578,0.023,0.412,0.088
"P34","No sabe",0.153,0.016,0.054,0.56
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.84,0.048,0.12,0.079
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.091,0.698,0.174,0.227
"P35","En blanco",0.05,0.161,0.645,0.067
"P35","No sabe",0.019,0.093,0.061,0.627
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.242,0.474,0.098,0.195
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.061,0.417,0.385,0.251
"P36","En blanco",0.538,0.05,0.479,0.029
"P36","No sabe",0.159,0.059,0.038,0.525
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.881,0.06,0.155,0.096
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.601,0.413,0.282
"P37","En blanco",0.045,0.185,0.384,0.049
"P37","No sabe",0.022,0.154,0.048,0.573
"P38","Lo votaría",0.774,0.05,0.152,0.078
"P38","Puede que lo vote",0.123,0.11,0.095,0.131
"P38","Nunca lo votaría",0.076,0.816,0.69,0.581
"P38","No sabe",0.027,0.024,0.063,0.21
"P39","Lo votaría",0.487,0.019,0.158,0.077
"P39","Puede que lo vote",0.236,0.037,0.14,0.083
"P39","Nunca lo votaría",0.216,0.921,0.629,0.625
"P39","No sabe",0.061,0.023,0.073,0.215
"P40","Lo votaría",0.123,0.633,0.103,0.096
"P40","Puede que lo vote",0.067,0.212,0.18,0.156
"P40","Nunca lo votaría",0.773,0.138,0.649,0.558
"P40","No sabe",0.037,0.017,0.068,0.19
"P41","Lo votaría",0.097,0.456,0.094,0.182
"P41","Puede que lo vote",0.096,0.295,0.169,0.165
"P41","Nunca lo votaría",0.765,0.205,0.695,0.485
"P41","No sabe",0.042,0.044,0.042,0.168
"P42","Lo votaría",0.055,0.394,0.351,0.328
"P42","Puede que lo vote",0.067,0.265,0.104,0.083
"P42","Nunca lo votaría",0.855,0.302,0.512,0.435
"P42","No sabe",0.023,0.039,0.033,0.154
"P43","Lo votaría",0.098,0.057,0.164,0.068
"P43","Puede que lo vote",0.319,0.07,0.131,0.122
"P43","Nunca lo votaría",0.521,0.84,0.67,0.646
"P43","No sabe",0.062,0.033,0.035,0.164
"P44","Lo votaría",0.071,0.041,0.092,0.075
"P44","Puede que lo vote",0.199,0.159,0.098,0.178
"P44","Nunca lo votaría",0.66,0.749,0.743,0.593
"P44","No sabe",0.07,0.051,0.067,0.154
"P52","Si",0.574,0.499,0.442,0.367
"P52","No",0.426,0.501,0.558,0.633
