"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.348,0.339,0.356,0.307,0.377,0.35,0.324,0.348,0.325,0.373,0.694,0.086,0.28,0.308,0.322,0.441,0.378
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.47,0.493,0.448,0.476,0.419,0.514,0.519,0.459,0.465,0.484,0.142,0.802,0.445,0.505,0.479,0.428,0.443
"En blanco",0.111,0.117,0.106,0.146,0.132,0.075,0.076,0.119,0.118,0.097,0.096,0.072,0.184,0.116,0.131,0.056,0.108
"No sabe",0.071,0.051,0.09,0.071,0.072,0.061,0.081,0.074,0.092,0.046,0.068,0.04,0.091,0.071,0.068,0.075,0.071
