"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.495,0.416,0.486,0.469,0.38
"P04","Realizo changas o trabajos de vez en cuando",0.167,0.146,0.255,0.266,0.216
"P04","No tengo trabajo",0.142,0.158,0.17,0.175,0.208
"P04","Soy jubilado o pensionado",0.196,0.28,0.089,0.09,0.196
"P05","1",0.177,0.353,0.411,0.204,0.308
"P05","2",0.065,0.084,0.105,0.093,0.072
"P05","3",0.035,0.067,0.091,0.021,0.048
"P05","4",0.048,0.113,0.08,0.059,0.09
"P05","5",0.134,0.205,0.17,0.149,0.235
"P05","6",0.069,0.047,0.019,0.043,0.044
"P05","7",0.161,0.039,0.021,0.066,0.055
"P05","8",0.101,0.018,0.023,0.052,0.03
"P05","9",0.21,0.074,0.08,0.313,0.118
"P06","1",0.409,0.185,0.132,0.293,0.292
"P06","2",0.087,0.038,0.043,0.126,0.049
"P06","3",0.094,0.031,0.037,0.044,0.04
"P06","4",0.062,0.038,0.036,0.046,0.051
"P06","5",0.147,0.219,0.166,0.145,0.263
"P06","6",0.035,0.072,0.051,0.036,0.031
"P06","7",0.037,0.095,0.09,0.017,0.065
"P06","8",0.021,0.084,0.083,0.024,0.036
"P06","9",0.108,0.238,0.362,0.269,0.173
"P07","1",0.642,0.231,0.203,0.517,0.323
"P07","2",0.028,0.033,0.023,0.097,0.029
"P07","3",0.045,0.031,0.035,0.03,0.02
"P07","4",0.027,0.029,0.018,0.011,0.028
"P07","5",0.06,0.136,0.143,0.072,0.121
"P07","6",0.017,0.028,0.045,0.006,0.025
"P07","7",0.016,0.051,0.048,0.007,0.031
"P07","8",0.01,0.045,0.065,0.015,0.031
"P07","9",0.155,0.416,0.42,0.245,0.392
"P09","Del Frente de Todos y el peronismo",0.875,0.058,0.043,0.325,0.322
"P09","De Juntos por el cambio",0.039,0.817,0.189,0.09,0.262
"P09","De los Liberales libertarios",0.022,0.034,0.671,0.091,0.054
"P09","De la Izquierda",0.018,0.015,0.009,0.395,0.015
"P09","No sabe",0.046,0.076,0.088,0.099,0.347
"P10","A Alberto Fernández",0.117,0.224,0.122,0.063,0.254
"P10","A Sergio Massa",0.206,0.205,0.355,0.268,0.267
"P10","A algún candidato del peronismo",0.137,0.469,0.373,0.288,0.217
"P10","A algún candidato del kirchnerismo",0.54,0.102,0.15,0.381,0.262
"P11","A Alberto Fernández",0.076,0.266,0.209,0.036,0.193
"P11","A Sergio Massa",0.1,0.212,0.43,0.219,0.199
"P11","A algún candidato del peronismo",0.1,0.408,0.168,0.131,0.191
"P11","A Cristina Fernández de Kirchner",0.724,0.114,0.193,0.614,0.417
"P12","A Horacio Rodriguez Larreta",0.22,0.339,0.144,0.23,0.126
"P12","A Patricia Bullrich",0.047,0.546,0.774,0.623,0.729
"P12","A Facundo Manes",0.541,0.044,0.07,0.1,0.059
"P12","A Gerardo Morales",0.192,0.071,0.012,0.047,0.086
"P13","Lo votaría",0.332,0.07,0.028,0.093,0.136
"P13","Puede que lo vote",0.396,0.12,0.082,0.24,0.219
"P13","Nunca lo votaría",0.124,0.78,0.833,0.506,0.44
"P13","No sabe",0.148,0.03,0.057,0.161,0.205
"P14","Lo votaría",0.248,0.018,0.029,0.081,0.119
"P14","Puede que lo vote",0.409,0.037,0.029,0.213,0.144
"P14","Nunca lo votaría",0.231,0.929,0.913,0.636,0.563
"P14","No sabe",0.112,0.016,0.029,0.07,0.174
"P15","Lo votaría",0.031,0.385,0.03,0.044,0.028
"P15","Puede que lo vote",0.083,0.423,0.218,0.141,0.189
"P15","Nunca lo votaría",0.854,0.156,0.69,0.714,0.631
"P15","No sabe",0.032,0.036,0.062,0.101,0.152
"P16","Lo votaría",0.039,0.156,0.067,0.12,0.048
"P16","Puede que lo vote",0.131,0.368,0.205,0.152,0.17
"P16","Nunca lo votaría",0.741,0.372,0.637,0.578,0.543
"P16","No sabe",0.089,0.104,0.091,0.15,0.239
"P17","La votaría",0.028,0.572,0.31,0.077,0.221
"P17","Puede que la vote",0.024,0.208,0.308,0.116,0.112
"P17","Nunca la votaría",0.917,0.186,0.329,0.749,0.533
"P17","No sabe",0.031,0.034,0.053,0.058,0.134
"P18","Lo votaría",0.029,0.132,0.698,0.087,0.071
"P18","Puede que lo vote",0.029,0.258,0.215,0.084,0.128
"P18","Nunca lo votaría",0.923,0.562,0.072,0.778,0.658
"P18","No sabe",0.019,0.048,0.015,0.051,0.143
"P19","La votaría",0.042,0.287,0.14,0.042,0.061
"P19","Puede que la vote",0.027,0.362,0.279,0.151,0.176
"P19","Nunca la votaría",0.894,0.293,0.521,0.711,0.6
"P19","No sabe",0.037,0.058,0.06,0.096,0.163
"P20","Lo votaría",0.41,0.052,0.019,0.109,0.029
"P20","Puede que lo vote",0.347,0.086,0.073,0.172,0.143
"P20","Nunca lo votaría",0.192,0.79,0.82,0.623,0.616
"P20","No sabe",0.051,0.072,0.088,0.096,0.212
"P21","Lo votaría",0.331,0.019,0.027,0.059,0.083
"P21","Puede que lo vote",0.448,0.05,0.05,0.215,0.189
"P21","Nunca lo votaría",0.156,0.912,0.893,0.634,0.553
"P21","No sabe",0.065,0.019,0.03,0.092,0.175
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.276,0.01,0.031,0.017
"P22","Patricia Bullrich por Juntos por el Cambio",0.003,0.543,0.24,0.06,0.259
"P22","Facundo Manes por Juntos por el Cambio",0.027,0.073,0.024,0.072,0.058
"P22","Alberto Fernández por el Frente de Todos",0.097,0.017,0.017,0.086,0.127
"P22","Sergio Massa por el Frente de Todos",0.172,0.017,0.016,0.1,0.121
"P22","Wado de Pedro por el Frente de Todos",0.438,0.005,0.007,0.037,0.044
"P22","Daniel Scioli por el Frente de Todos",0.188,0.008,0.021,0.069,0.082
"P22","Javier Milei por los liberales libertarios",0.01,0.026,0.646,0.051,0.03
"P22","Al candidato del Frente de Izquierda",0.015,0.004,0.001,0.453,0.005
"P22","No sabe",0.043,0.031,0.018,0.041,0.257
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.241,0.008,0.002,0.018
"P23","Patricia Bullrich por Juntos por el Cambio",0.006,0.497,0.23,0.047,0.257
"P23","María Eugenia Vidal por Juntos por el Cambio",0.013,0.131,0.027,0.089,0.035
"P23","Facundo Manes por Juntos por el Cambio",0.024,0.054,0.024,0.098,0.061
