"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Juntos por el Cambio","Patricia Bullrich presidenta – Gustavo Valdes vice por Juntos por el Cambio","Sergio Massa presidente – Ricardo Alfonsín vice por el Frente de Todos","Wado de Pedro presidente – Jorge Capitanich vice por el Frente de Todos","Javier Milei presidente y su candidato a vice","A los candidatos de la izquierda","No sabe"
"P04","Tengo trabajo estable",0.398,0.41,0.45,0.501,0.485,0.502,0.407
"P04","Realizo changas o trabajos de vez en cuando",0.205,0.138,0.209,0.174,0.277,0.167,0.235
"P04","No tengo trabajo",0.193,0.151,0.168,0.139,0.176,0.189,0.207
"P04","Soy jubilado o pensionado",0.204,0.301,0.173,0.186,0.062,0.142,0.151
"P05","1",0.308,0.381,0.253,0.17,0.396,0.204,0.289
"P05","2",0.092,0.085,0.074,0.059,0.112,0.065,0.063
"P05","3",0.077,0.084,0.04,0.031,0.082,0.029,0.046
"P05","4",0.12,0.11,0.068,0.039,0.067,0.04,0.078
"P05","5",0.223,0.187,0.175,0.121,0.189,0.145,0.228
"P05","6",0.034,0.047,0.066,0.071,0.021,0.021,0.057
"P05","7",0.048,0.028,0.082,0.178,0.018,0.105,0.065
"P05","8",0.012,0.022,0.052,0.116,0.025,0.084,0.034
"P05","9",0.086,0.056,0.19,0.215,0.09,0.307,0.14
"P06","1",0.179,0.166,0.344,0.42,0.138,0.351,0.316
"P06","2",0.048,0.027,0.066,0.087,0.047,0.106,0.067
"P06","3",0.053,0.032,0.044,0.102,0.026,0.064,0.044
"P06","4",0.037,0.033,0.074,0.052,0.034,0.038,0.057
"P06","5",0.24,0.208,0.23,0.136,0.171,0.19,0.244
"P06","6",0.062,0.064,0.047,0.02,0.047,0.032,0.046
"P06","7",0.093,0.097,0.025,0.046,0.082,0.014,0.05
"P06","8",0.069,0.094,0.025,0.022,0.085,0.037,0.026
"P06","9",0.219,0.279,0.145,0.115,0.37,0.168,0.15
"P07","1",0.254,0.186,0.54,0.654,0.185,0.63,0.364
"P07","2",0.054,0.025,0.041,0.026,0.023,0.072,0.024
"P07","3",0.034,0.035,0.022,0.048,0.033,0.027,0.023
"P07","4",0.042,0.021,0.039,0.016,0.016,0.017,0.022
"P07","5",0.116,0.146,0.089,0.066,0.144,0.075,0.118
"P07","6",0.027,0.032,0.026,0.021,0.042,0.01,0.023
"P07","7",0.044,0.052,0.016,0.019,0.039,0.001,0.039
"P07","8",0.046,0.051,0.006,0.012,0.06,0.01,0.028
"P07","9",0.383,0.452,0.221,0.138,0.458,0.158,0.359
"P09","Del Frente de Todos y el peronismo",0.065,0.036,0.772,0.878,0.04,0.25,0.339
"P09","De Juntos por el cambio",0.75,0.793,0.054,0.034,0.076,0.031,0.128
"P09","De los Liberales libertarios",0.063,0.092,0.038,0.025,0.78,0.054,0.041
"P09","De la Izquierda",0.015,0.008,0.017,0.019,0.019,0.505,0.038
"P09","No sabe",0.107,0.071,0.119,0.044,0.085,0.16,0.454
"P10","A Alberto Fernández",0.279,0.075,0.171,0.1,0.238,0.104,0.31
"P10","A Sergio Massa",0.218,0.142,0.391,0.129,0.389,0.037,0.141
"P10","A algún candidato del peronismo",0.379,0.636,0.199,0.13,0.253,0.204,0.217
"P10","A algún candidato del kirchnerismo",0.124,0.147,0.239,0.641,0.12,0.655,0.332
"P11","A Alberto Fernández",0.246,0.194,0.133,0.064,0.215,0.052,0.25
"P11","A Sergio Massa",0.237,0.134,0.279,0.042,0.26,0.021,0.102
"P11","A algún candidato del peronismo",0.406,0.507,0.141,0.092,0.219,0.137,0.115
"P11","A Cristina Fernández de Kirchner",0.111,0.165,0.447,0.802,0.306,0.79,0.533
"P12","A Horacio Rodriguez Larreta",0.552,0.107,0.269,0.107,0.215,0.474,0.237
"P12","A Patricia Bullrich",0.281,0.855,0.149,0.078,0.596,0.115,0.384
"P12","A Facundo Manes",0.062,0.023,0.279,0.651,0.189,0.204,0.13
"P12","A Gerardo Morales",0.105,0.015,0.303,0.164,0,0.207,0.249
"P13","Lo votaría",0.081,0.03,0.482,0.227,0.035,0.115,0.081
"P13","Puede que lo vote",0.164,0.098,0.314,0.428,0.065,0.21,0.198
"P13","Nunca lo votaría",0.718,0.837,0.102,0.159,0.826,0.487,0.43
"P13","No sabe",0.037,0.035,0.102,0.186,0.074,0.188,0.291
"P14","Lo votaría",0.032,0.016,0.318,0.192,0.027,0.074,0.099
"P14","Puede que lo vote",0.036,0.023,0.329,0.414,0.034,0.214,0.169
"P14","Nunca lo votaría",0.917,0.943,0.247,0.268,0.898,0.603,0.498
"P14","No sabe",0.015,0.018,0.106,0.126,0.041,0.109,0.234
"P15","Lo votaría",0.436,0.183,0.057,0.038,0.021,0.025,0.057
"P15","Puede que lo vote",0.323,0.434,0.15,0.07,0.198,0.082,0.123
"P15","Nunca lo votaría",0.21,0.322,0.729,0.848,0.724,0.824,0.601
"P15","No sabe",0.031,0.061,0.064,0.044,0.057,0.069,0.219
"P16","Lo votaría",0.173,0.089,0.083,0.05,0.052,0.076,0.058
