"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertario","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.442,0.387,0.411,0.446,0.494,0.458,0.495,0.495,0.328
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.145,0.18,0.241,0.179,0.211,0.268,0.253,0.254
"P04","No tengo trabajo",0.175,0.156,0.17,0.147,0.139,0.183,0.162,0.207,0.254
"P04","Soy jubilado o pensionado",0.195,0.312,0.239,0.166,0.188,0.148,0.075,0.045,0.164
"P05","1",0.328,0.391,0.332,0.238,0.142,0.196,0.404,0.38,0.299
"P05","2",0.084,0.081,0.079,0.079,0.056,0.087,0.094,0.101,0.069
"P05","3",0.059,0.079,0.093,0.05,0.024,0.04,0.065,0.076,0.041
"P05","4",0.103,0.104,0.117,0.075,0.046,0.049,0.068,0.066,0.08
"P05","5",0.217,0.188,0.237,0.195,0.133,0.142,0.183,0.185,0.218
"P05","6",0.042,0.039,0.029,0.078,0.058,0.06,0.027,0.021,0.039
"P05","7",0.052,0.031,0.033,0.085,0.165,0.128,0.033,0.015,0.046
"P05","8",0.027,0.019,0.017,0.052,0.124,0.076,0.022,0.027,0.04
"P05","9",0.088,0.068,0.063,0.148,0.252,0.222,0.104,0.129,0.168
"P06","1",0.177,0.171,0.147,0.303,0.441,0.371,0.197,0.152,0.323
"P06","2",0.043,0.03,0.056,0.067,0.09,0.073,0.039,0.067,0.053
"P06","3",0.038,0.026,0.057,0.054,0.091,0.076,0.024,0.038,0.027
"P06","4",0.034,0.033,0.043,0.092,0.05,0.05,0.041,0.025,0.028
"P06","5",0.248,0.192,0.218,0.236,0.139,0.185,0.161,0.16,0.256
"P06","6",0.069,0.058,0.059,0.048,0.024,0.045,0.045,0.05,0.04
"P06","7",0.081,0.104,0.092,0.042,0.042,0.029,0.106,0.06,0.041
"P06","8",0.063,0.091,0.077,0.028,0.027,0.02,0.067,0.062,0.03
"P06","9",0.247,0.295,0.251,0.13,0.096,0.151,0.32,0.386,0.202
"P07","1",0.297,0.197,0.252,0.443,0.717,0.545,0.225,0.214,0.346
"P07","2",0.031,0.03,0.038,0.04,0.027,0.027,0.019,0.03,0.04
"P07","3",0.026,0.033,0.044,0.039,0.029,0.035,0.022,0.032,0.02
"P07","4",0.038,0.018,0.037,0.038,0.014,0.023,0.018,0.016,0.023
"P07","5",0.121,0.133,0.146,0.097,0.072,0.06,0.146,0.117,0.112
"P07","6",0.029,0.033,0.028,0.019,0.009,0.023,0.028,0.047,0.032
"P07","7",0.03,0.051,0.042,0.023,0.016,0.028,0.049,0.03,0.021
"P07","8",0.031,0.047,0.043,0.012,0.01,0.01,0.053,0.048,0.02
"P07","9",0.397,0.458,0.37,0.289,0.106,0.249,0.44,0.466,0.386
"P09","Del Frente de Todos y el peronismo",0.079,0.03,0.068,0.709,0.848,0.743,0.081,0.031,0.275
"P09","De Juntos por el cambio",0.663,0.758,0.663,0.049,0.033,0.051,0.18,0.057,0.11
"P09","De los Liberales libertarios",0.072,0.116,0.124,0.042,0.027,0.031,0.594,0.741,0.042
"P09","De la Izquierda",0.049,0.007,0.029,0.021,0.028,0.019,0.026,0.058,0.101
"P09","No sabe",0.137,0.089,0.116,0.179,0.064,0.156,0.119,0.113,0.472
"P10","A Alberto Fernández",0.318,0.218,0.421,0.149,0.082,0.161,0.205,0.266,0.431
"P10","A Sergio Massa",0.301,0.175,0.114,0.503,0.137,0.128,0.101,0.15,0.056
"P10","A algún candidato del peronismo",0.327,0.542,0.313,0.141,0.11,0.279,0.376,0.344,0.222
"P10","A algún candidato del kirchnerismo",0.054,0.065,0.152,0.207,0.671,0.432,0.318,0.24,0.291
"P11","A Alberto Fernández",0.32,0.283,0.172,0.104,0.027,0.131,0.222,0.236,0.347
"P11","A Sergio Massa",0.135,0.086,0.212,0.385,0.065,0.046,0.087,0.171,0.029
"P11","A algún candidato del peronismo",0.486,0.515,0.317,0.089,0.081,0.204,0.198,0.316,0.151
"P11","A Cristina Fernández de Kirchner",0.059,0.116,0.299,0.422,0.827,0.619,0.493,0.277,0.473
"P12","A Horacio Rodriguez Larreta",0.732,0.073,0.208,0.254,0.306,0.233,0.583,0.217,0.356
"P12","A Patricia Bullrich",0.122,0.89,0.633,0.073,0.055,0.141,0.218,0.534,0.249
"P12","A Facundo Manes",0.059,0.008,0.1,0.482,0.297,0.473,0.13,0.166,0.089
"P12","A Gerardo Morales",0.087,0.029,0.059,0.191,0.342,0.153,0.069,0.083,0.306
"P13","Lo votaría",0.085,0.02,0.05,0.486,0.247,0.255,0.062,0.033,0.058
"P13","Puede que lo vote",0.102,0.093,0.182,0.37,0.393,0.366,0.083,0.067,0.127
"P13","Nunca lo votaría",0.724,0.841,0.697,0.057,0.169,0.205,0.761,0.834,0.475
"P13","No sabe",0.089,0.046,0.071,0.087,0.191,0.174,0.094,0.066,0.34
"P14","Lo votaría",0.071,0.014,0.028,0.311,0.164,0.261,0.04,0.024,0.139
"P14","Puede que lo vote",0.04,0.023,0.052,0.302,0.394,0.311,0.063,0.058,0.109
"P14","Nunca lo votaría",0.853,0.939,0.866,0.29,0.296,0.285,0.85,0.886,0.501
"P14","No sabe",0.036,0.024,0.054,0.097,0.146,0.143,0.047,0.032,0.251
"P15","Lo votaría",0.565,0.187,0.137,0.054,0.032,0.034,0.088,0.029,0.039
"P15","Puede que lo vote",0.243,0.427,0.377,0.134,0.086,0.118,0.191,0.188,0.114
"P15","Nunca lo votaría",0.16,0.314,0.406,0.726,0.842,0.776,0.646,0.741,0.582
"P15","No sabe",0.032,0.072,0.08,0.086,0.04,0.072,0.075,0.042,0.265
"P16","Lo votaría",0.174,0.076,0.238,0.082,0.031,0.038,0.059,0.038,0.017
"P16","Puede que lo vote",0.34,0.318,0.335,0.159,0.122,0.15,0.173,0.171,0.112
"P16","Nunca lo votaría",0.347,0.493,0.343,0.576,0.753,0.67,0.63,0.711,0.514
"P16","No sabe",0.139,0.113,0.084,0.183,0.094,0.142,0.138,0.08,0.357
"P17","La votaría",0.239,0.767,0.509,0.037,0.029,0.035,0.158,0.151,0.052
"P17","Puede que la vote",0.364,0.137,0.209,0.059,0.03,0.059,0.317,0.288,0.081
"P17","Nunca la votaría",0.331,0.06,0.236,0.82,0.904,0.847,0.451,0.514,0.605
"P17","No sabe",0.066,0.036,0.046,0.084,0.037,0.059,0.074,0.047,0.262
"P18","Lo votaría",0.143,0.19,0.231,0.028,0.037,0.047,0.619,0.785,0.034
"P18","Puede que lo vote",0.266,0.316,0.263,0.078,0.044,0.054,0.176,0.092,0.115
"P18","Nunca lo votaría",0.524,0.436,0.454,0.807,0.898,0.854,0.17,0.112,0.613
"P18","No sabe",0.067,0.058,0.052,0.087,0.021,0.045,0.035,0.011,0.238
"P19","La votaría",0.26,0.219,0.194,0.06,0.039,0.046,0.105,0.128,0.044
"P19","Puede que la vote",0.333,0.394,0.317,0.074,0.038,0.055,0.239,0.19,0.094
"P19","Nunca la votaría",0.334,0.31,0.404,0.777,0.852,0.813,0.584,0.626,0.59
"P19","No sabe",0.073,0.077,0.085,0.089,0.071,0.086,0.072,0.056,0.272
"P20","Lo votaría",0.042,0.038,0.058,0.108,0.489,0.237,0.022,0.03,0.024
"P20","Puede que lo vote",0.112,0.07,0.111,0.279,0.294,0.329,0.084,0.064,0.102
"P20","Nunca lo votaría",0.738,0.841,0.734,0.439,0.159,0.323,0.793,0.802,0.534
"P20","No sabe",0.108,0.051,0.097,0.174,0.058,0.111,0.101,0.104,0.34
"P21","Lo votaría",0.037,0.015,0.02,0.172,0.241,0.426,0.042,0.026,0.033
"P21","Puede que lo vote",0.071,0.027,0.088,0.389,0.444,0.366,0.08,0.05,0.136
"P21","Nunca lo votaría",0.825,0.927,0.85,0.291,0.232,0.135,0.833,0.88,0.555
"P21","No sabe",0.067,0.031,0.042,0.148,0.083,0.073,0.045,0.044,0.276
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.632,0.041,0.042,0.018,0.003,0.004,0.123,0.004,0.053
"P22","Patricia Bullrich por Juntos por el Cambio",0.074,0.853,0.582,0.003,0.008,0.015,0.064,0.031,0.044
"P22","Facundo Manes por Juntos por el Cambio",0.116,0.011,0.231,0.053,0.005,0.017,0.024,0.015,0.022
"P22","Alberto Fernández por el Frente de Todos",0.039,0.017,0.016,0.167,0.068,0.145,0.036,0.006,0.169
"P22","Sergio Massa por el Frente de Todos",0.007,0.005,0.01,0.534,0.113,0.047,0.015,0.012,0.025
