"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bulrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P12","A Horacio Rodriguez Larreta",0.645,0.096,0.499,0.225,0.237,0.622,0.264
"P12","A Patricia Bullrich",0.197,0.867,0.187,0.081,0.504,0.167,0.262
"P12","A Facundo Manes",0.073,0.012,0.152,0.42,0.195,0.188,0.192
"P12","A Gerardo Morales",0.085,0.025,0.162,0.274,0.064,0.023,0.282
"P13","Lo votaría",0.107,0.034,0.217,0.428,0.051,0.127,0.064
"P13","Puede que lo vote",0.112,0.118,0.324,0.408,0.066,0.204,0.2
"P13","Nunca lo votaría",0.71,0.811,0.252,0.068,0.814,0.496,0.444
"P13","No sabe",0.071,0.037,0.207,0.096,0.069,0.173,0.292
"P14","Lo votaría",0.04,0.018,0.508,0.194,0.022,0.066,0.045
"P14","Puede que lo vote",0.046,0.032,0.271,0.391,0.054,0.215,0.134
"P14","Nunca lo votaría",0.875,0.931,0.119,0.295,0.882,0.605,0.608
"P14","No sabe",0.039,0.019,0.102,0.12,0.042,0.114,0.213
"P15","Lo votaría",0.542,0.177,0.072,0.034,0.033,0.063,0.045
"P15","Puede que lo vote",0.265,0.425,0.123,0.11,0.207,0.094,0.143
"P15","Nunca lo votaría",0.144,0.336,0.683,0.814,0.707,0.785,0.647
"P15","No sabe",0.049,0.062,0.122,0.042,0.053,0.058,0.165
"P16","Lo votaría",0.168,0.094,0.045,0.054,0.052,0.113,0.06
"P16","Puede que lo vote",0.361,0.318,0.122,0.15,0.182,0.126,0.139
"P16","Nunca lo votaría",0.317,0.492,0.632,0.67,0.664,0.633,0.575
"P16","No sabe",0.154,0.096,0.201,0.126,0.102,0.128,0.226
"P17","La votaría",0.284,0.735,0.053,0.03,0.194,0.094,0.052
"P17","Puede que la vote",0.355,0.129,0.069,0.04,0.327,0.106,0.122
"P17","Nunca la votaría",0.288,0.11,0.752,0.894,0.421,0.758,0.643
"P17","No sabe",0.073,0.026,0.126,0.036,0.058,0.042,0.183
"P18","Lo votaría",0.134,0.188,0.067,0.034,0.744,0.139,0.125
"P18","Puede que lo vote",0.286,0.303,0.079,0.05,0.129,0.064,0.129
"P18","Nunca lo votaría",0.499,0.457,0.752,0.89,0.111,0.755,0.606
"P18","No sabe",0.081,0.052,0.102,0.026,0.016,0.042,0.14
"P19","La votaría",0.254,0.206,0.052,0.037,0.125,0.091,0.084
