"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.413,0.488,0.486
"P04","Realizo changas o trabajos de vez en cuando",0.155,0.266,0.2
"P04","No tengo trabajo",0.161,0.167,0.148
"P04","Soy jubilado o pensionado",0.271,0.079,0.166
"P05","1",0.351,0.396,0.207
"P05","2",0.083,0.121,0.067
"P05","3",0.078,0.08,0.049
"P05","4",0.124,0.092,0.051
"P05","5",0.205,0.174,0.172
"P05","6",0.041,0.021,0.062
"P05","7",0.041,0.025,0.125
"P05","8",0.023,0.026,0.091
"P05","9",0.054,0.065,0.176
"P06","1",0.164,0.123,0.354
"P06","2",0.03,0.054,0.089
"P06","3",0.026,0.049,0.077
"P06","4",0.039,0.04,0.067
"P06","5",0.221,0.161,0.176
"P06","6",0.069,0.052,0.037
"P06","7",0.107,0.091,0.042
"P06","8",0.086,0.089,0.023
"P06","9",0.258,0.341,0.135
"P07","1",0.209,0.206,0.555
"P07","2",0.039,0.029,0.033
"P07","3",0.038,0.037,0.038
"P07","4",0.034,0.017,0.025
"P07","5",0.137,0.116,0.08
"P07","6",0.035,0.039,0.024
"P07","7",0.045,0.047,0.023
"P07","8",0.055,0.071,0.014
"P07","9",0.408,0.438,0.208
"P09","Del Frente de Todos y el peronismo",0.062,0.094,0.688
"P09","De Juntos por el cambio",0.75,0.158,0.07
"P09","De los Liberales libertarios",0.104,0.662,0.041
"P09","De la Izquierda",0.006,0.009,0.045
"P09","No sabe",0.078,0.077,0.156
"P10","A Alberto Fernández",0.144,0.059,0.125
"P10","A Sergio Massa",0.381,0.345,0.207
"P10","A algún candidato del peronismo",0.313,0.302,0.153
"P10","A algún candidato del kirchnerismo",0.162,0.294,0.515
"P11","A Alberto Fernández",0.085,0.099,0.083
"P11","A Sergio Massa",0.186,0.25,0.116
"P11","A algún candidato del peronismo",0.435,0.151,0.1
"P11","A Cristina Fernández de Kirchner",0.294,0.5,0.701
"P12","A Horacio Rodriguez Larreta",0.212,0.315,0.407
"P12","A Patricia Bullrich",0.711,0.531,0.199
