"var","categoria","Wado de Pedro por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.518,0.441,0.432
"P04","Realizo changas o trabajos de vez en cuando",0.167,0.17,0.271
"P04","No tengo trabajo",0.134,0.163,0.174
"P04","Soy jubilado o pensionado",0.181,0.226,0.123
"P05","1",0.17,0.358,0.37
"P05","2",0.066,0.099,0.094
"P05","3",0.035,0.082,0.068
"P05","4",0.043,0.116,0.084
"P05","5",0.14,0.205,0.193
"P05","6",0.08,0.033,0.021
"P05","7",0.16,0.031,0.035
"P05","8",0.115,0.021,0.024
"P05","9",0.191,0.055,0.111
"P06","1",0.39,0.15,0.193
"P06","2",0.102,0.035,0.048
"P06","3",0.09,0.032,0.042
"P06","4",0.066,0.042,0.044
"P06","5",0.151,0.211,0.184
"P06","6",0.04,0.066,0.046
"P06","7",0.038,0.102,0.079
"P06","8",0.02,0.093,0.06
"P06","9",0.103,0.269,0.304
"P07","1",0.646,0.215,0.239
"P07","2",0.034,0.038,0.027
"P07","3",0.039,0.036,0.034
"P07","4",0.019,0.032,0.021
"P07","5",0.063,0.145,0.106
"P07","6",0.02,0.036,0.035
"P07","7",0.013,0.046,0.046
"P07","8",0.011,0.055,0.054
"P07","9",0.155,0.397,0.438
"P09","Del Frente de Todos y el peronismo",0.844,0.042,0.181
"P09","De Juntos por el cambio",0.046,0.661,0.162
"P09","De los Liberales libertarios",0.028,0.217,0.405
"P09","De la Izquierda",0.028,0.007,0.037
"P09","No sabe",0.054,0.073,0.215
"P10","A Alberto Fernández",0.096,0.15,0.246
"P10","A Sergio Massa",0.222,0.282,0.222
"P10","A algún candidato del peronismo",0.139,0.547,0.251
"P10","A algún candidato del kirchnerismo",0.543,0.021,0.281
"P11","A Alberto Fernández",0.053,0.146,0.223
"P11","A Sergio Massa",0.116,0.259,0.169
"P11","A algún candidato del peronismo",0.107,0.511,0.135
"P11","A Cristina Fernández de Kirchner",0.724,0.084,0.473
"P12","A Horacio Rodriguez Larreta",0.177,0.281,0.133
"P12","A Patricia Bullrich",0.321,0.624,0.699
"P12","A Facundo Manes",0.327,0.044,0.091
"P12","A Gerardo Morales",0.175,0.051,0.077
"P13","Lo votaría",0.314,0.043,0.094
"P13","Puede que lo vote",0.401,0.118,0.134
"P13","Nunca lo votaría",0.139,0.806,0.642
"P13","No sabe",0.146,0.033,0.13
"P14","Lo votaría",0.232,0.019,0.07
"P14","Puede que lo vote",0.406,0.037,0.095
"P14","Nunca lo votaría",0.247,0.936,0.741
"P14","No sabe",0.115,0.008,0.094
"P15","Lo votaría",0.035,0.246,0.019
"P15","Puede que lo vote",0.089,0.434,0.106
"P15","Nunca lo votaría",0.844,0.285,0.762
"P15","No sabe",0.032,0.035,0.113
"P16","Lo votaría",0.046,0.124,0.041
"P16","Puede que lo vote",0.135,0.349,0.135
"P16","Nunca lo votaría",0.725,0.435,0.646
"P16","No sabe",0.094,0.092,0.178
"P17","La votaría",0.039,0.551,0.187
"P17","Puede que la vote",0.036,0.243,0.232
"P17","Nunca la votaría",0.891,0.174,0.48
"P17","No sabe",0.034,0.032,0.101
"P18","Lo votaría",0.044,0.294,0.402
"P18","Puede que lo vote",0.035,0.28,0.146
"P18","Nunca lo votaría",0.909,0.384,0.372
