"var","categoria","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.48,0.485,0.411
"P04","Realizo changas o trabajos de vez en cuando",0.178,0.214,0.207
"P04","No tengo trabajo",0.147,0.178,0.135
"P04","Soy jubilado o pensionado",0.195,0.123,0.247
"P05","1",0.18,0.387,0.33
"P05","2",0.072,0.106,0.075
"P05","3",0.047,0.096,0.051
"P05","4",0.067,0.109,0.082
"P05","5",0.16,0.179,0.217
"P05","6",0.071,0.027,0.04
"P05","7",0.145,0.024,0.053
"P05","8",0.1,0.019,0.042
"P05","9",0.158,0.053,0.11
"P06","1",0.359,0.117,0.241
"P06","2",0.091,0.042,0.038
"P06","3",0.082,0.034,0.046
"P06","4",0.072,0.037,0.047
"P06","5",0.175,0.178,0.221
"P06","6",0.035,0.062,0.055
"P06","7",0.047,0.108,0.068
"P06","8",0.022,0.099,0.055
"P06","9",0.117,0.323,0.229
"P07","1",0.563,0.195,0.311
"P07","2",0.033,0.034,0.035
"P07","3",0.038,0.039,0.034
"P07","4",0.031,0.023,0.026
"P07","5",0.08,0.131,0.114
"P07","6",0.022,0.04,0.032
"P07","7",0.026,0.053,0.026
"P07","8",0.017,0.073,0.031
"P07","9",0.19,0.412,0.391
"P09","Del Frente de Todos y el peronismo",0.727,0.04,0.242
"P09","De Juntos por el cambio",0.153,0.387,0.46
"P09","De los Liberales libertarios",0.036,0.493,0.058
"P09","De la Izquierda",0.028,0.007,0.036
"P09","No sabe",0.056,0.073,0.204
"P10","A Alberto Fernández",0.119,0.116,0.136
"P10","A Sergio Massa",0.215,0.295,0.242
"P10","A algún candidato del peronismo",0.149,0.422,0.215
"P10","A algún candidato del kirchnerismo",0.517,0.167,0.407
"P11","A Alberto Fernández",0.09,0.094,0.072
"P11","A Sergio Massa",0.114,0.24,0.149
"P11","A algún candidato del peronismo",0.107,0.281,0.15
"P11","A Cristina Fernández de Kirchner",0.689,0.385,0.629
"P12","A Horacio Rodriguez Larreta",0.229,0.234,0.251
"P12","A Patricia Bullrich",0.586,0.701,0.6
"P12","A Facundo Manes",0.109,0.042,0.062
"P12","A Gerardo Morales",0.076,0.023,0.087
"P13","Lo votaría",0.293,0.031,0.095
"P13","Puede que lo vote",0.347,0.095,0.183
"P13","Nunca lo votaría",0.226,0.828,0.604
"P13","No sabe",0.134,0.046,0.118
"P14","Lo votaría",0.225,0.013,0.05
"P14","Puede que lo vote",0.367,0.033,0.108
"P14","Nunca lo votaría",0.309,0.937,0.758
"P14","No sabe",0.099,0.017,0.084
"P15","Lo votaría",0.062,0.12,0.157
"P15","Puede que lo vote",0.124,0.287,0.293
"P15","Nunca lo votaría",0.779,0.548,0.464
"P15","No sabe",0.035,0.045,0.086
"P16","Lo votaría",0.05,0.087,0.093
"P16","Puede que lo vote",0.167,0.257,0.236
"P16","Nunca lo votaría",0.663,0.568,0.528
"P16","No sabe",0.12,0.088,0.143
"P17","La votaría",0.12,0.412,0.341
"P17","Puede que la vote",0.066,0.294,0.149
"P17","Nunca la votaría",0.772,0.254,0.432
"P17","No sabe",0.042,0.04,0.078
"P18","Lo votaría",0.075,0.54,0.078
"P18","Puede que lo vote",0.061,0.288,0.11
"P18","Nunca lo votaría",0.829,0.144,0.736
"P18","No sabe",0.035,0.028,0.076
"P19","La votaría",0.071,0.191,0.13
"P19","Puede que la vote",0.092,0.31,0.244
"P19","Nunca la votaría",0.772,0.452,0.537
"P19","No sabe",0.065,0.047,0.089
"P20","Lo votaría",0.317,0.024,0.086
"P20","Puede que lo vote",0.293,0.072,0.154
"P20","Nunca lo votaría",0.294,0.848,0.659
