"var","categoria","Daniel Scioli por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.524,0.448,0.402
"P04","Realizo changas o trabajos de vez en cuando",0.175,0.176,0.289
"P04","No tengo trabajo",0.133,0.164,0.18
"P04","Soy jubilado o pensionado",0.168,0.212,0.129
"P05","1",0.176,0.375,0.343
"P05","2",0.073,0.096,0.086
"P05","3",0.033,0.089,0.06
"P05","4",0.045,0.118,0.069
"P05","5",0.157,0.187,0.206
"P05","6",0.074,0.03,0.03
"P05","7",0.158,0.03,0.04
"P05","8",0.107,0.023,0.031
"P05","9",0.177,0.052,0.135
"P06","1",0.373,0.149,0.222
"P06","2",0.104,0.031,0.062
"P06","3",0.08,0.03,0.062
"P06","4",0.07,0.034,0.055
"P06","5",0.169,0.19,0.203
"P06","6",0.043,0.063,0.041
"P06","7",0.042,0.107,0.054
"P06","8",0.023,0.099,0.032
"P06","9",0.096,0.297,0.269
"P07","1",0.617,0.197,0.31
"P07","2",0.04,0.033,0.031
"P07","3",0.039,0.038,0.033
"P07","4",0.023,0.029,0.02
"P07","5",0.061,0.134,0.123
"P07","6",0.023,0.04,0.024
"P07","7",0.019,0.051,0.025
"P07","8",0.01,0.06,0.048
"P07","9",0.168,0.418,0.386
"P09","Del Frente de Todos y el peronismo",0.845,0.03,0.233
"P09","De Juntos por el cambio",0.038,0.604,0.118
"P09","De los Liberales libertarios",0.026,0.297,0.323
"P09","De la Izquierda",0.021,0.004,0.063
"P09","No sabe",0.07,0.065,0.263
"P10","A Alberto Fernández",0.103,0.228,0.184
"P10","A Sergio Massa",0.234,0.224,0.191
"P10","A algún candidato del peronismo",0.158,0.501,0.21
"P10","A algún candidato del kirchnerismo",0.505,0.047,0.415
"P11","A Alberto Fernández",0.066,0.181,0.154
"P11","A Sergio Massa",0.13,0.166,0.139
"P11","A algún candidato del peronismo",0.106,0.521,0.163
"P11","A Cristina Fernández de Kirchner",0.698,0.132,0.544
"P12","A Horacio Rodriguez Larreta",0.216,0.225,0.511
"P12","A Patricia Bullrich",0.027,0.701,0.191
"P12","A Facundo Manes",0.504,0.03,0.218
"P12","A Gerardo Morales",0.253,0.044,0.08
"P13","Lo votaría",0.323,0.029,0.107
"P13","Puede que lo vote",0.408,0.102,0.155
"P13","Nunca lo votaría",0.118,0.838,0.577
"P13","No sabe",0.151,0.031,0.161
"P14","Lo votaría",0.245,0.008,0.088
"P14","Puede que lo vote",0.407,0.024,0.131
"P14","Nunca lo votaría",0.233,0.958,0.667
"P14","No sabe",0.115,0.01,0.114
"P15","Lo votaría",0.036,0.184,0.061
"P15","Puede que lo vote",0.104,0.357,0.143
"P15","Nunca lo votaría",0.819,0.422,0.675
"P15","No sabe",0.041,0.037,0.121
"P16","Lo votaría",0.047,0.09,0.084
"P16","Puede que lo vote",0.133,0.316,0.137
"P16","Nunca lo votaría",0.708,0.509,0.588
"P16","No sabe",0.112,0.085,0.191
"P17","La votaría",0.024,0.566,0.044
"P17","Puede que la vote",0.036,0.286,0.139
"P17","Nunca la votaría",0.899,0.119,0.692
"P17","No sabe",0.041,0.029,0.125
"P18","Lo votaría",0.037,0.358,0.332
"P18","Puede que lo vote",0.034,0.272,0.115
"P18","Nunca lo votaría",0.905,0.33,0.467
"P18","No sabe",0.024,0.04,0.086
"P19","La votaría",0.033,0.204,0.114
"P19","Puede que la vote",0.051,0.364,0.135
"P19","Nunca la votaría",0.867,0.378,0.634
"P19","No sabe",0.049,0.054,0.117
"P20","Lo votaría",0.348,0.031,0.067
"P20","Puede que lo vote",0.331,0.082,0.129
"P20","Nunca lo votaría",0.243,0.837,0.637
"P20","No sabe",0.078,0.05,0.167
"P21","Lo votaría",0.349,0.012,0.043
"P21","Puede que lo vote",0.48,0.027,0.119
"P21","Nunca lo votaría",0.114,0.944,0.718
"P21","No sabe",0.057,0.017,0.12
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.106,0.081
"P22","Patricia Bullrich por Juntos por el Cambio",0.004,0.539,0.024
