"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.082,0.072,0.093,0.062,0.088,0.093,0.081,0.077,0.077,0.095,0.083,0.095,0.077,0.078,0.03,0.137,0.129
"Patricia Bullrich por Juntos por el Cambio",0.237,0.215,0.258,0.111,0.178,0.295,0.443,0.202,0.231,0.279,0.252,0.187,0.208,0.248,0.047,0.475,0.148
"Facundo Manes por Juntos por el Cambio",0.043,0.042,0.045,0.03,0.045,0.046,0.05,0.043,0.039,0.049,0.041,0.039,0.041,0.047,0.027,0.047,0.124
"Alberto Fernández por el Frente de Todos",0.066,0.044,0.088,0.096,0.068,0.056,0.04,0.113,0.059,0.029,0.051,0.114,0.082,0.058,0.143,0.012,0.037
"Sergio Massa por el Frente de Todos",0.069,0.066,0.072,0.061,0.072,0.069,0.072,0.071,0.067,0.07,0.065,0.058,0.058,0.078,0.136,0.025,0.042
"Wado de Pedro por el Frente de Todos",0.098,0.089,0.108,0.078,0.101,0.103,0.111,0.06,0.098,0.137,0.097,0.058,0.113,0.114,0.231,0.027,0.018
"Daniel Scioli por el Frente de Todos",0.063,0.068,0.057,0.062,0.056,0.083,0.05,0.071,0.059,0.059,0.057,0.052,0.071,0.07,0.136,0.013,0.053
"Javier Milei por los liberales libertarios",0.216,0.296,0.137,0.37,0.249,0.129,0.073,0.208,0.251,0.176,0.229,0.256,0.234,0.186,0.102,0.218,0.303
"Al candidato del Frente de Izquierda",0.023,0.02,0.025,0.025,0.031,0.012,0.016,0.024,0.021,0.024,0.025,0.023,0.017,0.022,0.027,0.008,0.007
"No sabe",0.103,0.088,0.117,0.105,0.112,0.114,0.064,0.131,0.098,0.082,0.1,0.118,0.099,0.099,0.121,0.038,0.139
