"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","1",0.347,0.276,0.297,0.271
"P05","2",0.062,0.173,0.067,0.051
"P05","3",0.046,0.048,0.112,0.039
"P05","4",0.06,0.046,0.042,0.162
"P05","5",0.197,0.174,0.187,0.178
"P05","6",0.047,0.03,0.036,0.042
"P05","7",0.066,0.037,0.041,0.059
"P05","8",0.047,0.042,0.034,0.045
"P05","9",0.128,0.174,0.184,0.153
"P06","1",0.235,0.3,0.274,0.299
"P06","2",0.05,0.08,0.067,0.042
"P06","3",0.053,0.04,0.036,0.035
"P06","4",0.05,0.03,0.029,0.035
"P06","5",0.207,0.181,0.189,0.173
"P06","6",0.047,0.05,0.033,0.056
"P06","7",0.075,0.039,0.04,0.058
"P06","8",0.058,0.042,0.044,0.055
"P06","9",0.225,0.238,0.288,0.247
"P07","1",0.366,0.298,0.315,0.341
"P07","2",0.034,0.03,0.036,0.026
"P07","3",0.036,0.031,0.025,0.016
"P07","4",0.022,0.022,0.017,0.026
"P07","5",0.14,0.098,0.08,0.095
"P07","6",0.028,0.019,0.027,0.03
"P07","7",0.035,0.021,0.028,0.03
"P07","8",0.034,0.035,0.028,0.033
"P07","9",0.305,0.446,0.444,0.403
"P09","Del Frente de Todos y el peronismo",0.303,0.257,0.216,0.288
"P09","De Juntos por el cambio",0.292,0.236,0.263,0.447
"P09","De los Liberales libertarios",0.234,0.222,0.22,0.103
"P09","De la Izquierda",0.029,0.05,0.043,0.022
"P09","No sabe",0.142,0.235,0.258,0.14
"P10","A Alberto Fernández",0.104,0.26,0.343,0.173
"P10","A Sergio Massa",0.227,0.168,0.203,0.183
"P10","A algún candidato del peronismo",0.209,0.249,0.159,0.231
"P10","A algún candidato del kirchnerismo",0.46,0.323,0.295,0.413
"P11","A Alberto Fernández",0.061,0.279,0.274,0.094
"P11","A Sergio Massa",0.163,0.131,0.107,0.102
"P11","A algún candidato del peronismo",0.156,0.153,0.181,0.156
"P11","A Cristina Fernández de Kirchner",0.62,0.437,0.438,0.648
"P12","A Horacio Rodriguez Larreta",0.287,0.345,0.3,0.196
"P12","A Patricia Bullrich",0.572,0.469,0.587,0.708
"P12","A Facundo Manes",0.067,0.082,0.048,0.036
"P12","A Gerardo Morales",0.074,0.104,0.065,0.06
"P13","Lo votaría",0.13,0.137,0.105,0.138
"P13","Puede que lo vote",0.199,0.192,0.153,0.158
"P13","Nunca lo votaría",0.562,0.509,0.57,0.583
"P13","No sabe",0.109,0.162,0.172,0.121
"P14","Lo votaría",0.081,0.146,0.148,0.086
"P14","Puede que lo vote",0.148,0.138,0.12,0.119
"P14","Nunca lo votaría",0.685,0.598,0.629,0.704
"P14","No sabe",0.086,0.118,0.103,0.091
"P15","Lo votaría",0.11,0.098,0.116,0.179
"P15","Puede que lo vote",0.218,0.202,0.224,0.247
"P15","Nunca lo votaría",0.609,0.565,0.527,0.481
"P15","No sabe",0.063,0.135,0.133,0.093
"P16","Lo votaría",0.077,0.077,0.062,0.087
"P16","Puede que lo vote",0.213,0.172,0.205,0.242
"P16","Nunca lo votaría",0.603,0.531,0.537,0.499
"P16","No sabe",0.107,0.22,0.196,0.172
"P17","La votaría",0.232,0.213,0.231,0.392
"P17","Puede que la vote",0.182,0.182,0.176,0.135
"P17","Nunca la votaría",0.527,0.474,0.475,0.409
"P17","No sabe",0.059,0.131,0.118,0.064
