"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P04","Tengo trabajo estable",0.511,0.451,0.411
"P04","Realizo changas o trabajos de vez en cuando",0.179,0.171,0.287
"P04","No tengo trabajo",0.13,0.157,0.196
"P04","Soy jubilado o pensionado",0.18,0.221,0.106
"P05","1",0.203,0.382,0.299
"P05","2",0.065,0.097,0.1
"P05","3",0.033,0.085,0.058
"P05","4",0.051,0.116,0.074
"P05","5",0.166,0.188,0.188
"P05","6",0.073,0.03,0.028
"P05","7",0.145,0.03,0.046
"P05","8",0.097,0.022,0.035
"P05","9",0.167,0.05,0.172
"P06","1",0.376,0.143,0.244
"P06","2",0.1,0.03,0.058
"P06","3",0.077,0.029,0.063
"P06","4",0.071,0.037,0.051
"P06","5",0.178,0.19,0.181
"P06","6",0.043,0.064,0.04
"P06","7",0.041,0.105,0.057
"P06","8",0.018,0.101,0.035
"P06","9",0.096,0.301,0.271
"P07","1",0.606,0.186,0.339
"P07","2",0.04,0.03,0.029
"P07","3",0.038,0.034,0.035
"P07","4",0.026,0.03,0.012
"P07","5",0.063,0.142,0.1
"P07","6",0.019,0.041,0.025
"P07","7",0.02,0.049,0.032
"P07","8",0.009,0.058,0.055
"P07","9",0.179,0.43,0.373
"P09","Del Frente de Todos y el peronismo",0.823,0.033,0.218
"P09","De Juntos por el cambio",0.039,0.614,0.136
"P09","De los Liberales libertarios",0.035,0.289,0.325
"P09","De la Izquierda",0.021,0.003,0.065
"P09","No sabe",0.082,0.061,0.256
"P10","A Alberto Fernández",0.113,0.233,0.158
"P10","A Sergio Massa",0.25,0.167,0.092
"P10","A algún candidato del peronismo",0.142,0.502,0.27
"P10","A algún candidato del kirchnerismo",0.495,0.098,0.48
"P11","A Alberto Fernández",0.067,0.205,0.188
"P11","A Sergio Massa",0.144,0.118,0.05
"P11","A algún candidato del peronismo",0.104,0.495,0.136
"P11","A Cristina Fernández de Kirchner",0.685,0.182,0.626
"P12","A Horacio Rodriguez Larreta",0.333,0.223,0.484
"P12","A Patricia Bullrich",0.11,0.697,0.217
"P12","A Facundo Manes",0.36,0.037,0.17
"P12","A Gerardo Morales",0.197,0.043,0.129
"P13","Lo votaría",0.37,0.024,0.053
"P13","Puede que lo vote",0.421,0.099,0.127
"P13","Nunca lo votaría",0.077,0.845,0.648
"P13","No sabe",0.132,0.032,0.172
"P14","Lo votaría",0.246,0.016,0.058
"P14","Puede que lo vote",0.428,0.018,0.095
"P14","Nunca lo votaría",0.213,0.955,0.735
"P14","No sabe",0.113,0.011,0.112
"P15","Lo votaría",0.04,0.198,0.044
"P15","Puede que lo vote",0.11,0.363,0.143
"P15","Nunca lo votaría",0.804,0.398,0.698
"P15","No sabe",0.046,0.041,0.115
"P16","Lo votaría",0.057,0.096,0.063
