"var","categoria","Wado de Pedro por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.518,0.42,0.474,0.418,0.426
"P04","Realizo changas o trabajos de vez en cuando",0.148,0.156,0.286,0.246,0.252
"P04","No tengo trabajo",0.131,0.152,0.173,0.227,0.187
"P04","Soy jubilado o pensionado",0.203,0.272,0.067,0.109,0.135
"P05","1",0.166,0.377,0.404,0.241,0.263
"P05","2",0.058,0.096,0.119,0.029,0.061
"P05","3",0.033,0.085,0.072,0.039,0.05
"P05","4",0.046,0.119,0.082,0.067,0.071
"P05","5",0.142,0.19,0.175,0.152,0.252
"P05","6",0.078,0.036,0.016,0.018,0.057
"P05","7",0.16,0.033,0.025,0.099,0.059
"P05","8",0.106,0.019,0.02,0.049,0.04
"P05","9",0.211,0.045,0.087,0.306,0.147
"P06","1",0.409,0.162,0.139,0.257,0.313
"P06","2",0.087,0.033,0.043,0.082,0.072
"P06","3",0.093,0.034,0.033,0.062,0.048
"P06","4",0.062,0.035,0.039,0.043,0.065
"P06","5",0.161,0.21,0.158,0.244,0.247
"P06","6",0.038,0.063,0.048,0.033,0.047
"P06","7",0.035,0.111,0.09,0.025,0.052
"P06","8",0.024,0.083,0.08,0.027,0.027
"P06","9",0.091,0.269,0.37,0.227,0.129
"P07","1",0.662,0.2,0.204,0.544,0.353
"P07","2",0.026,0.029,0.021,0.067,0.043
"P07","3",0.04,0.036,0.031,0.03,0.032
"P07","4",0.026,0.035,0.011,0.008,0.023
"P07","5",0.061,0.144,0.136,0.072,0.113
"P07","6",0.02,0.029,0.043,0.031,0.01
"P07","7",0.014,0.045,0.05,0.027,0.045
"P07","8",0.009,0.054,0.066,0.021,0.03
"P07","9",0.142,0.428,0.438,0.2,0.351
"P09","Del Frente de Todos y el peronismo",0.882,0.033,0.063,0.275,0.399
"P09","De Juntos por el cambio",0.04,0.799,0.091,0.134,0.161
"P09","De los Liberales libertarios",0.021,0.088,0.74,0.092,0.038
"P09","De la Izquierda",0.011,0.002,0.015,0.36,0.019
"P09","No sabe",0.046,0.078,0.091,0.139,0.383
"P10","A Alberto Fernández",0.096,0.205,0.173,0.066,0.267
"P10","A Sergio Massa",0.217,0.113,0.368,0.308,0.237
"P10","A algún candidato del peronismo",0.144,0.682,0.26,0.183,0.229
"P10","A algún candidato del kirchnerismo",0.543,0,0.199,0.443,0.267
"P11","A Alberto Fernández",0.054,0.233,0.157,0.042,0.279
"P11","A Sergio Massa",0.11,0.124,0.338,0.176,0.191
"P11","A algún candidato del peronismo",0.099,0.588,0.137,0.208,0.151
"P11","A Cristina Fernández de Kirchner",0.737,0.055,0.368,0.574,0.379
"P12","A Horacio Rodriguez Larreta",0.183,0.229,0.38,0.525,0.503
"P12","A Patricia Bullrich",0.04,0.695,0.383,0.267,0.177
"P12","A Facundo Manes",0.497,0.031,0.216,0.122,0.121
