"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P04","Tengo trabajo estable",0.427,0.475,0.479
"P04","Realizo changas o trabajos de vez en cuando",0.168,0.238,0.194
"P04","No tengo trabajo",0.142,0.178,0.148
"P04","Soy jubilado o pensionado",0.263,0.109,0.179
"P05","1",0.31,0.398,0.23
"P05","2",0.086,0.117,0.062
"P05","3",0.064,0.087,0.051
"P05","4",0.105,0.102,0.058
"P05","5",0.206,0.173,0.173
"P05","6",0.057,0.021,0.051
"P05","7",0.064,0.026,0.111
"P05","8",0.033,0.024,0.088
"P05","9",0.075,0.052,0.176
"P06","1",0.184,0.123,0.36
"P06","2",0.049,0.039,0.085
"P06","3",0.046,0.037,0.07
"P06","4",0.044,0.041,0.063
"P06","5",0.231,0.178,0.158
"P06","6",0.071,0.055,0.034
"P06","7",0.091,0.089,0.057
"P06","8",0.07,0.098,0.023
"P06","9",0.214,0.34,0.15
"P07","1",0.316,0.189,0.504
"P07","2",0.039,0.032,0.033
"P07","3",0.036,0.037,0.038
"P07","4",0.03,0.025,0.023
"P07","5",0.127,0.137,0.071
"P07","6",0.022,0.042,0.032
"P07","7",0.042,0.047,0.023
"P07","8",0.045,0.068,0.02
"P07","9",0.343,0.423,0.256
"P09","Del Frente de Todos y el peronismo",0.234,0.054,0.608
"P09","De Juntos por el cambio",0.638,0.3,0.116
"P09","De los Liberales libertarios",0.043,0.575,0.06
"P09","De la Izquierda",0.015,0.005,0.042
"P09","No sabe",0.07,0.066,0.174
"P10","A Alberto Fernández",0.128,0.099,0.118
"P10","A Sergio Massa",0.307,0.388,0.191
"P10","A algún candidato del peronismo",0.205,0.345,0.157
"P10","A algún candidato del kirchnerismo",0.36,0.168,0.534
"P11","A Alberto Fernández",0.137,0.021,0.072
"P11","A Sergio Massa",0.202,0.257,0.1
"P11","A algún candidato del peronismo",0.173,0.328,0.097
"P11","A Cristina Fernández de Kirchner",0.488,0.394,0.731
"P12","A Horacio Rodriguez Larreta",0.301,0.16,0.183
"P12","A Patricia Bullrich",0.592,0.765,0.588
"P12","A Facundo Manes",0.055,0.033,0.132
"P12","A Gerardo Morales",0.052,0.042,0.097
"P13","Lo votaría",0.114,0.04,0.222
"P13","Puede que lo vote",0.172,0.108,0.314
"P13","Nunca lo votaría",0.655,0.809,0.296
"P13","No sabe",0.059,0.043,0.168
"P14","Lo votaría",0.062,0.027,0.171
"P14","Puede que lo vote",0.149,0.042,0.274
"P14","Nunca lo votaría",0.762,0.915,0.424
"P14","No sabe",0.027,0.016,0.131
"P15","Lo votaría",0.286,0.058,0.022
"P15","Puede que lo vote",0.42,0.233,0.095
"P15","Nunca lo votaría",0.257,0.662,0.805
"P15","No sabe",0.037,0.047,0.078
"P16","Lo votaría",0.131,0.077,0.032
"P16","Puede que lo vote",0.348,0.224,0.124
"P16","Nunca lo votaría",0.427,0.615,0.686
"P16","No sabe",0.094,0.084,0.158
"P17","La votaría",0.468,0.365,0.098
"P17","Puede que la vote",0.186,0.321,0.053
"P17","Nunca la votaría",0.305,0.273,0.778
"P17","No sabe",0.041,0.041,0.071
"P18","Lo votaría",0.1,0.609,0.078
"P18","Puede que lo vote",0.211,0.247,0.056
"P18","Nunca lo votaría",0.637,0.124,0.805
"P18","No sabe",0.052,0.02,0.061
"P19","La votaría",0.22,0.161,0.04
"P19","Puede que la vote",0.323,0.283,0.085
"P19","Nunca la votaría",0.395,0.514,0.782
"P19","No sabe",0.062,0.042,0.093
"P20","Lo votaría",0.108,0.03,0.246
"P20","Puede que lo vote",0.135,0.084,0.259
