"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Daniel Scioli por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.454,0.399,0.449,0.277,0.461,0.532,0.483,0.465,0.412,0.405
"P04","Realizo changas o trabajos de vez en cuando",0.208,0.145,0.202,0.312,0.213,0.153,0.215,0.255,0.292,0.249
"P04","No tengo trabajo",0.16,0.148,0.153,0.29,0.147,0.122,0.145,0.212,0.166,0.202
"P04","Soy jubilado o pensionado",0.178,0.308,0.196,0.121,0.179,0.193,0.157,0.068,0.13,0.144
"P05","1",0.326,0.394,0.259,0.35,0.205,0.141,0.228,0.385,0.204,0.263
"P05","2",0.075,0.088,0.066,0.069,0.088,0.053,0.052,0.108,0.067,0.077
"P05","3",0.056,0.089,0.057,0.058,0.039,0.032,0.035,0.074,0.046,0.053
"P05","4",0.094,0.112,0.118,0.04,0.057,0.048,0.059,0.067,0.075,0.064
"P05","5",0.238,0.177,0.284,0.158,0.203,0.138,0.159,0.189,0.062,0.241
"P05","6",0.044,0.033,0.072,0.031,0.072,0.051,0.061,0.026,0.01,0.051
"P05","7",0.048,0.029,0.045,0.052,0.1,0.173,0.122,0.015,0.072,0.054
"P05","8",0.025,0.025,0.014,0.046,0.056,0.124,0.076,0.022,0.077,0.054
"P05","9",0.094,0.053,0.085,0.196,0.18,0.24,0.208,0.114,0.387,0.143
"P06","1",0.205,0.156,0.176,0.424,0.295,0.458,0.379,0.149,0.35,0.284
"P06","2",0.045,0.037,0.035,0.042,0.076,0.084,0.093,0.056,0.111,0.043
"P06","3",0.031,0.031,0.066,0.035,0.05,0.106,0.084,0.026,0.042,0.052
"P06","4",0.037,0.031,0.053,0.047,0.072,0.046,0.05,0.03,0.03,0.043
"P06","5",0.25,0.178,0.273,0.167,0.246,0.136,0.169,0.166,0.134,0.283
"P06","6",0.068,0.061,0.08,0.026,0.06,0.018,0.04,0.046,0.035,0.046
"P06","7",0.099,0.099,0.081,0.021,0.042,0.034,0.041,0.071,0.041,0.036
"P06","8",0.058,0.096,0.048,0.011,0.03,0.02,0.024,0.073,0.048,0.031
"P06","9",0.207,0.311,0.188,0.227,0.129,0.098,0.12,0.383,0.209,0.182
"P07","1",0.267,0.205,0.354,0.405,0.499,0.723,0.497,0.187,0.594,0.333
"P07","2",0.046,0.026,0.018,0.026,0.029,0.037,0.033,0.023,0.066,0.033
"P07","3",0.027,0.032,0.037,0.02,0.026,0.037,0.043,0.031,0.035,0.028
"P07","4",0.037,0.025,0.028,0.022,0.025,0.012,0.021,0.017,0.014,0.027
"P07","5",0.127,0.138,0.168,0.06,0.112,0.076,0.072,0.121,0.073,0.137
"P07","6",0.023,0.032,0.027,0.029,0.015,0.008,0.028,0.042,0.004,0.02
"P07","7",0.034,0.052,0.028,0.018,0.017,0.007,0.042,0.033,0.002,0.029
"P07","8",0.038,0.052,0.04,0.01,0.019,0.009,0.019,0.047,0.009,0.027
"P07","9",0.401,0.438,0.3,0.41,0.258,0.091,0.245,0.499,0.203,0.366
"P09","Del Frente de Todos y el peronismo",0.067,0.023,0.105,0.614,0.721,0.84,0.765,0.029,0.262,0.235
"P09","De Juntos por el cambio",0.735,0.776,0.426,0.122,0.043,0.041,0.058,0.069,0.026,0.09
"P09","De los Liberales libertarios",0.052,0.119,0.153,0.047,0.052,0.031,0.044,0.756,0.028,0.05
"P09","De la Izquierda",0.008,0.012,0.045,0.018,0.012,0.033,0.013,0.029,0.574,0.038
"P09","No sabe",0.138,0.07,0.271,0.199,0.172,0.055,0.12,0.117,0.11,0.587
"P10","A Alberto Fernández",0.377,0.268,0.162,0.608,0.055,0.054,0.096,0.175,0.11,0.138
"P10","A Sergio Massa",0.281,0.072,0.273,0.083,0.621,0.087,0.194,0.152,0.016,0.066
"P10","A algún candidato del peronismo",0.293,0.532,0.325,0.095,0.115,0.114,0.336,0.641,0.313,0.385
"P10","A algún candidato del kirchnerismo",0.049,0.128,0.24,0.214,0.209,0.745,0.374,0.032,0.561,0.411
"P11","A Alberto Fernández",0.367,0.303,0.081,0.482,0.03,0.011,0.085,0.184,0.05,0.076
"P11","A Sergio Massa",0.172,0.084,0.232,0.063,0.464,0.024,0.101,0.155,0,0.052
"P11","A algún candidato del peronismo",0.392,0.5,0.316,0.083,0.077,0.083,0.208,0.508,0.292,0.245
"P11","A Cristina Fernández de Kirchner",0.069,0.113,0.371,0.372,0.429,0.882,0.606,0.153,0.658,0.627
"P12","A Horacio Rodriguez Larreta",0.793,0.093,0.18,0.451,0.265,0.177,0.463,0.168,0,0.199
"P12","A Patricia Bullrich",0.117,0.873,0.135,0.18,0.15,0.283,0.169,0.621,0.715,0.332
"P12","A Facundo Manes",0.016,0.006,0.544,0.085,0.183,0.33,0.197,0.143,0.101,0.086
"P12","A Gerardo Morales",0.074,0.028,0.141,0.284,0.402,0.21,0.171,0.068,0.184,0.383
"P13","Lo votaría",0.113,0.021,0.093,0.235,0.589,0.195,0.285,0.02,0.039,0.069
"P13","Puede que lo vote",0.089,0.114,0.139,0.286,0.273,0.408,0.398,0.069,0.145,0.166
"P13","Nunca lo votaría",0.721,0.827,0.644,0.265,0.06,0.196,0.176,0.84,0.566,0.436
"P13","No sabe",0.077,0.038,0.124,0.214,0.078,0.201,0.141,0.071,0.25,0.329
"P14","Lo votaría",0.046,0.012,0.037,0.585,0.231,0.136,0.235,0.018,0.054,0.044
"P14","Puede que lo vote",0.039,0.016,0.134,0.204,0.349,0.377,0.326,0.038,0.172,0.134
"P14","Nunca lo votaría",0.877,0.954,0.764,0.101,0.326,0.324,0.331,0.899,0.641,0.544
"P14","No sabe",0.038,0.018,0.065,0.11,0.094,0.163,0.108,0.045,0.133,0.278
"P15","Lo votaría",0.61,0.176,0.125,0.089,0.056,0.031,0.036,0.026,0.056,0.02
"P15","Puede que lo vote",0.239,0.425,0.402,0.108,0.15,0.067,0.129,0.183,0.084,0.116
"P15","Nunca lo votaría",0.114,0.339,0.387,0.637,0.743,0.878,0.763,0.718,0.733,0.579
"P15","No sabe",0.037,0.06,0.086,0.166,0.051,0.024,0.072,0.073,0.127,0.285
"P16","Lo votaría",0.134,0.082,0.518,0.042,0.061,0.023,0.06,0.034,0.063,0.01
"P16","Puede que lo vote",0.333,0.313,0.286,0.112,0.151,0.101,0.194,0.179,0.106,0.143
"P16","Nunca lo votaría",0.359,0.501,0.14,0.573,0.618,0.789,0.633,0.672,0.649,0.488
"P16","No sabe",0.174,0.104,0.056,0.273,0.17,0.087,0.113,0.115,0.182,0.359
"P17","La votaría",0.229,0.768,0.203,0.079,0.044,0.041,0.032,0.15,0.089,0.034
"P17","Puede que la vote",0.374,0.133,0.274,0.074,0.064,0.025,0.075,0.326,0.09,0.106
"P17","Nunca la votaría",0.292,0.076,0.476,0.649,0.836,0.913,0.86,0.453,0.755,0.6
"P17","No sabe",0.105,0.023,0.047,0.198,0.056,0.021,0.033,0.071,0.066,0.26
"P18","Lo votaría",0.113,0.215,0.117,0.086,0.054,0.048,0.045,0.818,0.012,0.03
"P18","Puede que lo vote",0.263,0.305,0.222,0.091,0.071,0.025,0.066,0.116,0.072,0.141
"P18","Nunca lo votaría",0.545,0.426,0.617,0.614,0.824,0.909,0.844,0.051,0.817,0.611
"P18","No sabe",0.079,0.054,0.044,0.209,0.051,0.018,0.045,0.015,0.099,0.218
"P19","La votaría",0.246,0.217,0.128,0.065,0.058,0.039,0.043,0.134,0.073,0.036
"P19","Puede que la vote",0.32,0.387,0.298,0.112,0.075,0.026,0.064,0.197,0.086,0.097
"P19","Nunca la votaría",0.334,0.319,0.484,0.605,0.809,0.89,0.817,0.596,0.753,0.621
"P19","No sabe",0.1,0.077,0.09,0.218,0.058,0.045,0.076,0.073,0.088,0.246
"P20","Lo votaría",0.037,0.039,0.041,0.082,0.106,0.583,0.202,0.017,0.105,0.023
