"var","categoria","Daniel Scioli por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.495,0.422,0.486,0.447,0.402
"P04","Realizo changas o trabajos de vez en cuando",0.179,0.136,0.262,0.201,0.207
"P04","No tengo trabajo",0.144,0.157,0.17,0.197,0.19
"P04","Soy jubilado o pensionado",0.182,0.285,0.082,0.155,0.201
"P05","1",0.183,0.355,0.409,0.223,0.308
"P05","2",0.074,0.082,0.109,0.038,0.061
"P05","3",0.035,0.063,0.095,0.049,0.047
"P05","4",0.049,0.12,0.08,0.063,0.081
"P05","5",0.138,0.203,0.168,0.121,0.232
"P05","6",0.077,0.047,0.02,0.026,0.039
"P05","7",0.148,0.045,0.021,0.096,0.063
"P05","8",0.093,0.019,0.017,0.09,0.045
"P05","9",0.203,0.066,0.081,0.294,0.124
"P06","1",0.42,0.179,0.133,0.284,0.304
"P06","2",0.088,0.035,0.043,0.135,0.044
"P06","3",0.081,0.029,0.037,0.086,0.048
"P06","4",0.059,0.04,0.037,0.034,0.056
"P06","5",0.163,0.226,0.156,0.189,0.243
"P06","6",0.039,0.072,0.051,0.016,0.028
"P06","7",0.035,0.1,0.092,0.022,0.066
"P06","8",0.023,0.077,0.085,0.027,0.039
"P06","9",0.092,0.242,0.366,0.207,0.172
"P07","1",0.611,0.23,0.206,0.582,0.348
"P07","2",0.033,0.032,0.02,0.083,0.025
"P07","3",0.038,0.032,0.037,0.035,0.024
"P07","4",0.025,0.033,0.017,0.006,0.027
"P07","5",0.059,0.135,0.137,0.104,0.127
"P07","6",0.024,0.027,0.045,0.006,0.017
"P07","7",0.02,0.051,0.048,0.006,0.031
"P07","8",0.011,0.046,0.068,0.01,0.033
"P07","9",0.179,0.414,0.422,0.168,0.368
"P09","Del Frente de Todos y el peronismo",0.863,0.052,0.043,0.371,0.346
"P09","De Juntos por el cambio",0.048,0.829,0.189,0.087,0.25
"P09","De los Liberales libertarios",0.024,0.032,0.678,0.084,0.048
"P09","De la Izquierda",0.009,0.008,0.007,0.362,0.016
"P09","No sabe",0.056,0.079,0.083,0.096,0.34
"P10","A Alberto Fernández",0.118,0.191,0.191,0.077,0.24
"P10","A Sergio Massa",0.233,0.261,0.28,0.108,0.197
"P10","A algún candidato del peronismo",0.15,0.487,0.381,0.202,0.175
"P10","A algún candidato del kirchnerismo",0.499,0.061,0.148,0.613,0.388
"P11","A Alberto Fernández",0.079,0.214,0.276,0.056,0.168
"P11","A Sergio Massa",0.124,0.25,0.338,0.039,0.153
"P11","A algún candidato del peronismo",0.107,0.444,0.182,0.108,0.157
"P11","A Cristina Fernández de Kirchner",0.69,0.092,0.204,0.797,0.522
"P12","A Horacio Rodriguez Larreta",0.186,0.33,0.142,0.145,0.162
"P12","A Patricia Bullrich",0.136,0.56,0.765,0.671,0.705
"P12","A Facundo Manes",0.413,0.044,0.085,0.112,0.049
"P12","A Gerardo Morales",0.265,0.066,0.008,0.072,0.084
"P13","Lo votaría",0.349,0.063,0.03,0.101,0.121
"P13","Puede que lo vote",0.405,0.122,0.079,0.25,0.213
"P13","Nunca lo votaría",0.105,0.783,0.838,0.459,0.459
"P13","No sabe",0.141,0.032,0.053,0.19,0.207
"P14","Lo votaría",0.266,0.018,0.029,0.088,0.102
"P14","Puede que lo vote",0.415,0.029,0.025,0.244,0.145
"P14","Nunca lo votaría",0.214,0.942,0.922,0.582,0.566
"P14","No sabe",0.105,0.011,0.024,0.086,0.187
"P15","Lo votaría",0.04,0.376,0.032,0.037,0.021
"P15","Puede que lo vote",0.091,0.429,0.224,0.12,0.176
"P15","Nunca lo votaría",0.844,0.153,0.688,0.76,0.638
"P15","No sabe",0.025,0.042,0.056,0.083,0.165
"P16","Lo votaría",0.041,0.154,0.063,0.118,0.049
