"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Sergio Massa por el Frente de Todos","Wado de Pedro por el Frente de Todos","Alberto Fernández por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.488,0.39,0.369,0.486,0.499,0.538,0.31,0.482,0.429,0.336
"P04","Realizo changas o trabajos de vez en cuando",0.188,0.146,0.231,0.167,0.209,0.146,0.301,0.255,0.224,0.259
"P04","No tengo trabajo",0.153,0.148,0.191,0.131,0.128,0.122,0.271,0.198,0.228,0.253
"P04","Soy jubilado o pensionado",0.171,0.316,0.209,0.216,0.164,0.194,0.118,0.065,0.119,0.152
"P05","1",0.358,0.387,0.349,0.275,0.225,0.122,0.292,0.398,0.198,0.259
"P05","2",0.07,0.085,0.11,0.048,0.079,0.056,0.095,0.107,0.032,0.075
"P05","3",0.057,0.087,0.061,0.039,0.049,0.023,0.061,0.074,0.04,0.052
"P05","4",0.095,0.113,0.064,0.139,0.064,0.043,0.036,0.073,0.065,0.074
"P05","5",0.212,0.174,0.234,0.294,0.189,0.138,0.13,0.187,0.089,0.259
"P05","6",0.042,0.032,0.044,0.061,0.075,0.068,0.041,0.023,0.012,0.042
"P05","7",0.04,0.034,0.018,0.064,0.096,0.19,0.058,0.017,0.056,0.056
"P05","8",0.026,0.021,0.029,0.016,0.053,0.119,0.05,0.022,0.094,0.055
"P05","9",0.1,0.067,0.091,0.064,0.17,0.241,0.237,0.099,0.414,0.128
"P06","1",0.194,0.163,0.195,0.174,0.332,0.436,0.396,0.154,0.33,0.301
"P06","2",0.04,0.034,0.038,0.026,0.065,0.099,0.069,0.055,0.125,0.047
"P06","3",0.037,0.031,0.034,0.044,0.074,0.098,0.047,0.027,0.041,0.056
"P06","4",0.032,0.03,0.035,0.053,0.076,0.052,0.042,0.032,0.044,0.037
"P06","5",0.24,0.178,0.231,0.316,0.23,0.146,0.152,0.162,0.16,0.277
