"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.267,0.526,0.458,0.542
"P04","Realizo changas o trabajos de vez en cuando",0.299,0.173,0.245,0.17
"P04","No tengo trabajo",0.266,0.142,0.106,0.105
"P04","Soy jubilado o pensionado",0.168,0.159,0.191,0.183
"P05","1",0.391,0.24,0.225,0.136
"P05","2",0.061,0.091,0.076,0.071
"P05","3",0.034,0.047,0.042,0.023
"P05","4",0.066,0.054,0.065,0.026
"P05","5",0.142,0.207,0.176,0.13
"P05","6",0.028,0.073,0.067,0.071
"P05","7",0.053,0.074,0.098,0.164
"P05","8",0.035,0.035,0.05,0.136
"P05","9",0.19,0.179,0.201,0.243
"P06","1",0.469,0.291,0.326,0.488
"P06","2",0.059,0.078,0.066,0.097
"P06","3",0.031,0.095,0.074,0.09
"P06","4",0.032,0.051,0.084,0.034
"P06","5",0.141,0.236,0.208,0.124
"P06","6",0.032,0.056,0.046,0.024
"P06","7",0.029,0.042,0.03,0.027
"P06","8",0.019,0.03,0.034,0.016
"P06","9",0.188,0.121,0.132,0.1
"P07","1",0.425,0.508,0.448,0.693
"P07","2",0.035,0.043,0.041,0.028
"P07","3",0.024,0.039,0.035,0.035
"P07","4",0.008,0.026,0.025,0.015
"P07","5",0.055,0.096,0.104,0.068
"P07","6",0.051,0.019,0.023,0.01
"P07","7",0.009,0.024,0.036,0.004
"P07","8",0.025,0.013,0.01,0.008
"P07","9",0.368,0.232,0.278,0.139
"P11","A Alberto Fernández",0.617,0.038,0.059,0.024
"P11","A Sergio Massa",0.042,0.545,0.046,0.021
"P11","A algún candidato del peronismo",0.056,0.068,0.577,0.033
"P11","A Cristina Fernández de Kirchner",0.285,0.349,0.318,0.922
"P14","Lo votaría",0.649,0.288,0.154,0.146
"P14","Puede que lo vote",0.159,0.383,0.298,0.42
"P14","Nunca lo votaría",0.093,0.246,0.398,0.287
"P14","No sabe",0.099,0.083,0.15,0.147
"P15","Lo votaría",0.142,0.076,0.059,0.019
"P15","Puede que lo vote",0.114,0.178,0.138,0.026
"P15","Nunca lo votaría",0.662,0.709,0.727,0.925
"P15","No sabe",0.082,0.037,0.076,0.03
"P16","Lo votaría",0.081,0.063,0.059,0.022
"P16","Puede que lo vote",0.097,0.153,0.175,0.084
"P16","Nunca lo votaría",0.619,0.659,0.619,0.776
"P16","No sabe",0.203,0.125,0.147,0.118
"P17","La votaría",0.135,0.022,0.093,0.011
"P17","Puede que la vote",0.058,0.055,0.059,0.007
"P17","Nunca la votaría",0.668,0.861,0.79,0.959
"P17","No sabe",0.139,0.062,0.058,0.023
"P18","Lo votaría",0.105,0.041,0.084,0.013
"P18","Puede que lo vote",0.051,0.052,0.089,0.022
"P18","Nunca lo votaría",0.705,0.876,0.779,0.95
"P18","No sabe",0.139,0.031,0.048,0.015
"P19","La votaría",0.103,0.054,0.069,0.023
"P19","Puede que la vote",0.092,0.059,0.086,0.014
"P19","Nunca la votaría",0.672,0.833,0.74,0.926
"P19","No sabe",0.133,0.054,0.105,0.037
"P20","Lo votaría",0.174,0.189,0.163,0.435
"P20","Puede que lo vote",0.19,0.293,0.27,0.322
"P20","Nunca lo votaría",0.442,0.407,0.423,0.188
"P20","No sabe",0.194,0.111,0.144,0.055
"P21","Lo votaría",0.254,0.246,0.263,0.264
"P21","Puede que lo vote",0.228,0.439,0.316,0.481
"P21","Nunca lo votaría",0.39,0.22,0.307,0.169
"P21","No sabe",0.128,0.095,0.114,0.086
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.027,0.028,0.002
"P22","Patricia Bullrich por Juntos por el Cambio",0.03,0.007,0.049,0.006
"P22","Facundo Manes por Juntos por el Cambio",0.016,0.021,0.026,0.009
"P22","Alberto Fernández por el Frente de Todos",0.539,0.058,0.069,0.077
"P22","Sergio Massa por el Frente de Todos",0.061,0.552,0.103,0.094
"P22","Wado de Pedro por el Frente de Todos",0.096,0.124,0.166,0.535
"P22","Daniel Scioli por el Frente de Todos",0.102,0.165,0.29,0.159
"P22","Javier Milei por los liberales libertarios",0.025,0.017,0.073,0.002
"P22","Al candidato del Frente de Izquierda",0.014,0.002,0.033,0.03
"P22","No sabe",0.072,0.027,0.163,0.086
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.045,0.027,0.024,0
"P23","Patricia Bullrich por Juntos por el Cambio",0.043,0.009,0.055,0.013
"P23","María Eugenia Vidal por Juntos por el Cambio",0.039,0.021,0.036,0.01
"P23","Facundo Manes por Juntos por el Cambio",0.07,0.012,0.015,0.014
"P23","Sergio Massa por el Frente de Todos",0.22,0.579,0.134,0.134
"P23","Wado de Pedro por el Frente de Todos",0.145,0.117,0.198,0.567
"P23","Daniel Scioli por el Frente de Todos",0.147,0.174,0.284,0.154
