"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P04","Tengo trabajo estable",0.513,0.427,0.463,0.461,0.409
"P04","Realizo changas o trabajos de vez en cuando",0.164,0.143,0.28,0.279,0.233
"P04","No tengo trabajo",0.133,0.155,0.185,0.158,0.208
"P04","Soy jubilado o pensionado",0.19,0.275,0.072,0.102,0.15
"P05","1",0.192,0.374,0.414,0.213,0.259
"P05","2",0.057,0.084,0.109,0.061,0.094
"P05","3",0.031,0.088,0.066,0.048,0.052
"P05","4",0.06,0.119,0.084,0.046,0.046
"P05","5",0.16,0.186,0.175,0.112,0.226
"P05","6",0.078,0.038,0.019,0.031,0.047
"P05","7",0.152,0.033,0.021,0.124,0.057
"P05","8",0.081,0.021,0.02,0.097,0.051
"P05","9",0.189,0.057,0.092,0.268,0.168
"P06","1",0.401,0.163,0.156,0.242,0.336
"P06","2",0.084,0.033,0.05,0.134,0.047
"P06","3",0.077,0.038,0.025,0.091,0.057
"P06","4",0.07,0.033,0.034,0.035,0.061
"P06","5",0.173,0.205,0.156,0.202,0.248
"P06","6",0.046,0.067,0.043,0.016,0.028
"P06","7",0.041,0.109,0.088,0.017,0.041
"P06","8",0.021,0.091,0.077,0.03,0.019
"P06","9",0.087,0.261,0.371,0.233,0.163
"P07","1",0.623,0.202,0.201,0.629,0.386
"P07","2",0.03,0.032,0.023,0.053,0.027
"P07","3",0.036,0.032,0.033,0.039,0.035
"P07","4",0.034,0.031,0.016,0.007,0.012
"P07","5",0.06,0.141,0.138,0.094,0.118
"P07","6",0.02,0.032,0.04,0.008,0.014
"P07","7",0.022,0.049,0.048,0.004,0.029
"P07","8",0.01,0.054,0.064,0.015,0.028
"P07","9",0.165,0.427,0.437,0.151,0.351
"P09","Del Frente de Todos y el peronismo",0.854,0.039,0.049,0.423,0.376
"P09","De Juntos por el cambio",0.051,0.782,0.099,0.094,0.179
"P09","De los Liberales libertarios",0.018,0.094,0.765,0.057,0.04
"P09","De la Izquierda",0.01,0.006,0.009,0.322,0.021
"P09","No sabe",0.067,0.079,0.078,0.104,0.384
"P10","A Alberto Fernández",0.131,0.175,0.216,0.098,0.172
"P10","A Sergio Massa",0.27,0.137,0.291,0.047,0.099
"P10","A algún candidato del peronismo",0.138,0.65,0.27,0.143,0.25
"P10","A algún candidato del kirchnerismo",0.461,0.038,0.223,0.712,0.479
"P11","A Alberto Fernández",0.082,0.138,0.169,0.101,0.199
"P11","A Sergio Massa",0.162,0.137,0.298,0.011,0.056
"P11","A algún candidato del peronismo",0.099,0.653,0.173,0.072,0.174
"P11","A Cristina Fernández de Kirchner",0.657,0.072,0.36,0.816,0.571
"P12","A Horacio Rodriguez Larreta",0.418,0.224,0.378,0.304,0.472
"P12","A Patricia Bullrich",0.028,0.698,0.402,0.21,0.239
"P12","A Facundo Manes",0.34,0.035,0.185,0.164,0.104
"P12","A Gerardo Morales",0.214,0.043,0.035,0.322,0.185
"P13","Lo votaría",0.392,0.048,0.028,0.049,0.085
"P13","Puede que lo vote",0.43,0.112,0.091,0.207,0.166
"P13","Nunca lo votaría",0.062,0.807,0.822,0.549,0.477
"P13","No sabe",0.116,0.033,0.059,0.195,0.272
"P14","Lo votaría",0.262,0.02,0.026,0.104,0.11
"P14","Puede que lo vote",0.411,0.023,0.042,0.226,0.143
"P14","Nunca lo votaría",0.221,0.939,0.908,0.592,0.541
"P14","No sabe",0.106,0.018,0.024,0.078,0.206
"P15","Lo votaría",0.044,0.253,0.046,0.086,0.072
"P15","Puede que lo vote",0.1,0.403,0.201,0.123,0.152
"P15","Nunca lo votaría",0.824,0.291,0.697,0.73,0.614
"P15","No sabe",0.032,0.053,0.056,0.061,0.162
"P16","Lo votaría",0.045,0.118,0.064,0.144,0.067
"P16","Puede que lo vote",0.138,0.341,0.194,0.146,0.154
"P16","Nunca lo votaría",0.699,0.451,0.651,0.568,0.542
"P16","No sabe",0.118,0.09,0.091,0.142,0.237
"P17","La votaría",0.022,0.677,0.19,0.062,0.059
"P17","Puede que la vote",0.027,0.189,0.375,0.068,0.106
"P17","Nunca la votaría",0.919,0.102,0.386,0.824,0.666
"P17","No sabe",0.032,0.032,0.049,0.046,0.169
"P18","Lo votaría",0.022,0.194,0.777,0.041,0.048
"P18","Puede que lo vote",0.041,0.299,0.157,0.071,0.104
"P18","Nunca lo votaría",0.912,0.457,0.054,0.86,0.708
"P18","No sabe",0.025,0.05,0.012,0.028,0.14
"P19","La votaría",0.041,0.233,0.162,0.057,0.063
"P19","Puede que la vote",0.049,0.385,0.236,0.12,0.126
"P19","Nunca la votaría",0.863,0.31,0.555,0.773,0.652
"P19","No sabe",0.047,0.072,0.047,0.05,0.159
"P20","Lo votaría",0.327,0.048,0.02,0.238,0.123
"P20","Puede que lo vote",0.318,0.086,0.079,0.266,0.165
"P20","Nunca lo votaría",0.27,0.815,0.811,0.404,0.509
"P20","No sabe",0.085,0.051,0.09,0.092,0.203
"P21","Lo votaría",0.331,0.019,0.028,0.081,0.083
"P21","Puede que lo vote",0.454,0.033,0.058,0.256,0.233
"P21","Nunca lo votaría",0.157,0.921,0.888,0.558,0.502
"P21","No sabe",0.058,0.027,0.026,0.105,0.182
"P22","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.15,0.029,0.077,0.096
"P22","Patricia Bullrich por Juntos por el Cambio",0.008,0.703,0.064,0.002,0.062
"P22","Facundo Manes por Juntos por el Cambio",0.032,0.051,0.032,0.066,0.076
"P22","Alberto Fernández por el Frente de Todos",0.115,0.008,0.019,0.092,0.128
"P22","Sergio Massa por el Frente de Todos",0.252,0.012,0.01,0.019,0.032
"P22","Wado de Pedro por el Frente de Todos",0.313,0.008,0.014,0.291,0.161
"P22","Daniel Scioli por el Frente de Todos",0.195,0.007,0.018,0.053,0.087
"P22","Javier Milei por los liberales libertarios",0.003,0.032,0.798,0.011,0.036
"P22","Al candidato del Frente de Izquierda",0.016,0.003,0,0.345,0.007
"P22","No sabe",0.049,0.026,0.016,0.044,0.315
