"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"Mucho",0.294,0.36,0.229,0.239,0.341,0.266,0.326,0.285,0.268,0.412,0.357,0.256,0.198,0.141,0.123,0.143
"Bastante",0.312,0.319,0.306,0.342,0.272,0.337,0.333,0.286,0.323,0.354,0.292,0.387,0.58,0.484,0.382,0.488
"Poco",0.184,0.13,0.236,0.185,0.196,0.185,0.124,0.154,0.223,0.136,0.202,0.157,0.18,0.105,0.096,0.111
"Nada",0.17,0.154,0.185,0.184,0.171,0.154,0.149,0.215,0.155,0.084,0.135,0.154,0.026,0.124,0.235,0.223
"No sabe",0.04,0.037,0.044,0.05,0.02,0.058,0.068,0.06,0.031,0.014,0.014,0.046,0.016,0.146,0.164,0.035
