"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.221,0.229,0.213,0.235,0.204,0.201,0.287,0.177,0.265,0.204,0.46,0.116,0.191,0.238,0.137,0
"A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.058,0.08,0.036,0.044,0.057,0.089,0.054,0.046,0.049,0.137,0.085,0.005,0.014,0.168,0.087,0.065
"A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.223,0.191,0.254,0.179,0.192,0.35,0.25,0.197,0.222,0.307,0.134,0.335,0.29,0.089,0.246,0.049
"A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.118,0.1,0.137,0.151,0.117,0.061,0.123,0.086,0.156,0.084,0.033,0.237,0.089,0.085,0.123,0.127
"A Anibal Regueiro por un partido vecinal",0.103,0.092,0.114,0.145,0.074,0.07,0.149,0.11,0.099,0.092,0.145,0.157,0.108,0.201,0,0.065
"A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.232,0.274,0.189,0.17,0.322,0.206,0.107,0.316,0.177,0.157,0.11,0.142,0.248,0.219,0.111,0.628
"A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.045,0.034,0.057,0.076,0.034,0.023,0.03,0.068,0.032,0.019,0.033,0.008,0.06,0,0.296,0.066
