"var","categoria","A Blanca Cantero por el Frente de Todos","A Federico García por el Frente de Todos","A Victor Rengifo por Juntos por el Cambio","A Mauro Arranz por Juntos por el Cambio","A Anibal Regueiro por un partido vecinal","A Eduardo Guardia por La Libertad Avanza","A Miguel Coria por el Frente de Izquierda"
"P05","Mucho",0.268,0.299,0.284,0.333,0.273,0.239,0.375
"P05","Bastante",0.312,0.336,0.286,0.32,0.354,0.298,0.316
"P05","Poco",0.205,0.189,0.217,0.183,0.197,0.134,0.093
"P05","Nada",0.179,0.126,0.106,0.107,0.137,0.323,0.216
"P05","No sabe",0.036,0.05,0.107,0.057,0.039,0.006,0
"P06","Siempre",0.222,0.392,0.235,0.283,0.247,0.061,0.025
"P06","Casi siempre",0.299,0.211,0.26,0.352,0.372,0.323,0.414
"P06","Casi nunca",0.256,0.192,0.374,0.26,0.328,0.355,0.376
"P06","Nunca, pero esta es una excepción",0.223,0.205,0.131,0.105,0.053,0.261,0.185
"P08","Al candidato del Frente de Todos",0.521,0.221,0.127,0.018,0.429,0,0.22
"P08","Al candidato de Juntos por el Cambio",0.126,0.379,0.43,0.708,0.139,0.075,0.05
"P08","Al candidato de los liberales - libertarios",0.025,0.244,0.313,0.087,0.237,0.492,0.089
"P08","Al candidato de la Izquierda",0.045,0.064,0,0.021,0,0.007,0.535
"P08","A otro candidato",0.151,0.011,0.031,0.062,0.083,0.064,0.106
"P08","No sabe",0.132,0.081,0.099,0.104,0.112,0.362,0
"P12_imputadas","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.527,0.139,0.152,0.078,0.226,0.038,0
"P12_imputadas","A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.089,0.146,0.003,0.055,0.124,0.023,0
"P12_imputadas","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.118,0.449,0.395,0.425,0.196,0.046,0
"P12_imputadas","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.106,0.063,0.175,0.389,0,0.043,0
"P12_imputadas","A Anibal Regueiro por un partido vecinal",0.086,0.127,0.111,0.018,0.308,0.041,0
"P12_imputadas","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.048,0.076,0.164,0.035,0.146,0.763,0.196
"P12_imputadas","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.026,0,0,0,0,0.046,0.804
"P15","La votaría",0.48,0.144,0.149,0.144,0.228,0.052,0.372
"P15","Puede que la vote",0.196,0.143,0.159,0.166,0.151,0.125,0.027
"P15","Nunca la votaría",0.134,0.357,0.469,0.554,0.482,0.536,0.601
"P15","No sabe",0.19,0.356,0.223,0.136,0.139,0.287,0
"P16","Lo votaría",0.122,0.272,0.064,0.051,0.145,0.051,0.093
"P16","Puede que lo vote",0.235,0.202,0.136,0.176,0.373,0.146,0.042
"P16","Nunca lo votaría",0.367,0.427,0.472,0.555,0.315,0.482,0.492
"P16","No sabe",0.276,0.099,0.328,0.218,0.167,0.321,0.373
"P17","Lo votaría",0.078,0.098,0.157,0.115,0.186,0.066,0.095
"P17","Puede que lo vote",0.226,0.145,0.173,0.226,0.162,0.144,0.043
"P17","Nunca lo votaría",0.467,0.424,0.349,0.43,0.446,0.523,0.862
"P17","No sabe",0.229,0.333,0.321,0.229,0.206,0.267,0
"P18","Lo votaría",0.063,0.098,0.065,0.193,0.043,0.061,0
"P18","Puede que lo vote",0.17,0.153,0.083,0.3,0.053,0.147,0.042
"P18","Nunca lo votaría",0.427,0.448,0.462,0.311,0.73,0.487,0.862
"P18","No sabe",0.34,0.301,0.39,0.196,0.174,0.305,0.096
"P19","Lo votaría",0.129,0.009,0.073,0.038,0.342,0.115,0.093
"P19","Puede que lo vote",0.259,0.398,0.095,0.216,0.178,0.193,0.463
"P19","Nunca lo votaría",0.336,0.348,0.534,0.622,0.379,0.47,0.35
"P19","No sabe",0.276,0.245,0.298,0.124,0.101,0.222,0.094
"P20","Lo votaría",0.103,0.01,0.127,0.027,0.055,0.171,0.057
"P20","Puede que lo vote",0.22,0.305,0.109,0.179,0.127,0.189,0.045
"P20","Nunca lo votaría",0.361,0.362,0.411,0.687,0.624,0.38,0.898
"P20","No sabe",0.316,0.323,0.353,0.107,0.194,0.26,0
"P21","Lo votaría",0.093,0.012,0.129,0.02,0.121,0.014,0.54
"P21","Puede que lo vote",0.215,0.252,0.057,0.216,0.127,0.175,0.044
"P21","Nunca lo votaría",0.334,0.341,0.445,0.618,0.575,0.417,0.416
"P21","No sabe",0.358,0.395,0.369,0.146,0.177,0.394,0
"P22","Si",0.415,0.226,0.223,0.153,0.539,0.213,0.495
"P22","No",0.585,0.774,0.777,0.847,0.461,0.787,0.505
