"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"Al candidato del Frente de Todos",0.25,0.223,0.275,0.284,0.217,0.231,0.306,0.222,0.27,0.27,0.553,0.149,0.206,0.226,0.058,0.025
"Al candidato de Juntos por el Cambio",0.248,0.253,0.244,0.246,0.213,0.264,0.373,0.171,0.31,0.276,0.13,0.542,0.232,0.127,0.183,0.095
"Al candidato de los liberales - libertarios",0.215,0.288,0.143,0.254,0.214,0.215,0.073,0.269,0.17,0.197,0.137,0.135,0.434,0.374,0.275,0.58
"Al candidato de la Izquierda",0.037,0.035,0.04,0.038,0.046,0.03,0.013,0.037,0.04,0.029,0.016,0.011,0.054,0,0.426,0.039
"A otro candidato",0.079,0.039,0.118,0.082,0.089,0.081,0.024,0.089,0.074,0.062,0.047,0.057,0.039,0,0,0.172
"No sabe",0.171,0.162,0.18,0.096,0.221,0.179,0.211,0.212,0.136,0.166,0.117,0.106,0.035,0.273,0.058,0.089
