"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"A Blanca Cantero por el Frente de Todos",0.27,0.263,0.278,0.242,0.248,0.319,0.367,0.256,0.28,0.283,0.495,0.183,0.077,0.448,0.175,0.063
"A Federico García por el Frente de Todos",0.066,0.091,0.042,0.029,0.11,0.05,0.044,0.099,0.035,0.075,0.052,0.052,0.138,0,0.138,0
"A Victor Rengifo por Juntos por el Cambio",0.205,0.188,0.221,0.264,0.149,0.217,0.208,0.182,0.212,0.253,0.172,0.345,0.185,0.16,0.161,0.248
"A Mauro Arranz por Juntos por el Cambio",0.108,0.082,0.135,0.115,0.092,0.144,0.084,0.101,0.121,0.083,0.037,0.207,0.079,0,0.123,0.037
"A Anibal Regueiro por un partido vecinal",0.118,0.101,0.134,0.114,0.129,0.113,0.096,0.109,0.13,0.101,0.132,0.071,0.249,0.186,0.028,0.133
"A Eduardo Guardia por La Libertad Avanza",0.201,0.247,0.155,0.193,0.242,0.14,0.174,0.212,0.194,0.192,0.086,0.134,0.272,0.206,0.076,0.408
"A Miguel Coria por el Frente de Izquierda",0.032,0.028,0.035,0.043,0.03,0.017,0.027,0.041,0.028,0.013,0.026,0.008,0,0,0.299,0.111
