"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Cantero","Giana","Toffanelli","Muller","Gomez","Rengifo"
"Siempre",0.223,0.263,0.184,0.161,0.241,0.246,0.31,0.272,0.183,0.217,0.362,0.215,0.016,0.107,0.099,0.136
"Casi siempre",0.266,0.249,0.283,0.22,0.276,0.339,0.232,0.238,0.266,0.35,0.188,0.354,0.134,0.072,0.396,0.469
"Casi nunca",0.337,0.335,0.338,0.382,0.332,0.309,0.258,0.322,0.354,0.32,0.335,0.274,0.769,0.097,0.124,0.282
"Nunca, pero esta es una excepción",0.174,0.153,0.195,0.237,0.151,0.106,0.2,0.168,0.197,0.113,0.115,0.157,0.081,0.724,0.381,0.113
