"var","categoria","Si","No"
"P09_imputadas","A Blanca Cantero por el Frente de Todos",0.337,0.213
"P09_imputadas","A Federico García por el Frente de Todos",0.025,0.039
"P09_imputadas","A Victor Rengifo por Juntos por el Cambio",0.154,0.241
"P09_imputadas","A Mauro Arranz por Juntos por el Cambio",0.042,0.105
"P09_imputadas","A Anibal Regueiro por un partido vecinal",0.217,0.083
"P09_imputadas","A Eduardo Guardia por La Libertad Avanza",0.178,0.297
"P09_imputadas","A Miguel Coria por el Frente de Izquierda",0.047,0.022
"P12_imputadas","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.249,0.167
"P12_imputadas","A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.056,0.034
"P12_imputadas","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.259,0.218
"P12_imputadas","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.103,0.12
"P12_imputadas","A Anibal Regueiro por un partido vecinal",0.048,0.116
"P12_imputadas","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.202,0.304
"P12_imputadas","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.083,0.041
