"var","categoria","Al candidato del Frente de Todos","Al candidato de Juntos por el Cambio","Al candidato de los liberales - libertarios","Al candidato de la Izquierda","A otro candidato","No sabe"
"P09_imputadas","A Blanca Cantero por el Frente de Todos",0.584,0.133,0.03,0.332,0.506,0.225
"P09_imputadas","A Federico García por el Frente de Todos",0.061,0.098,0.072,0.114,0.009,0.034
"P09_imputadas","A Victor Rengifo por Juntos por el Cambio",0.108,0.342,0.283,0,0.08,0.127
"P09_imputadas","A Mauro Arranz por Juntos por el Cambio",0.008,0.298,0.042,0.061,0.083,0.071
"P09_imputadas","A Anibal Regueiro por un partido vecinal",0.21,0.064,0.123,0,0.121,0.083
"P09_imputadas","A Eduardo Guardia por La Libertad Avanza",0,0.059,0.437,0.038,0.159,0.46
"P09_imputadas","A Miguel Coria por el Frente de Izquierda",0.029,0.006,0.013,0.455,0.042,0
"P12_imputadas","A Blanca Cantero por el Frente de Todos con el apoyo de Sergio Massa",0.519,0.192,0.008,0.044,0.227,0.123
"P12_imputadas","A Federico García por el Frente de Todos con el apoyo de La Cámpora",0.128,0.029,0.027,0.013,0.075,0.041
"P12_imputadas","A Victor Rengifo por Juntos por el Cambio con el apoyo de Patricia Bullrich",0.097,0.42,0.234,0.316,0.092,0.109
"P12_imputadas","A Mauro Arranz por Juntos por el Cambio con el apoyo de Horacio Rodriguez Larreta",0.021,0.249,0.085,0,0.127,0.131
"P12_imputadas","A Anibal Regueiro por un partido vecinal",0.197,0.059,0.008,0.095,0.156,0.136
"P12_imputadas","A Eduardo Guardia por La Libertad Avanza con el apoyo de Javier Milei",0.004,0.044,0.616,0.016,0.194,0.445
"P12_imputadas","A Miguel Coria por el Frente de Izquierda con el apoyo de Myriam Bregman",0.034,0.007,0.022,0.516,0.129,0.015
