"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P07","Al candidato del Frente de Todos",0.343,0.479,0.343,0.486,0.46,0.374,0.389,0.182,0.167
"P07","Al candidato de Juntos por el Cambio",0.383,0.294,0.319,0.181,0.228,0.21,0.227,0.347,0.332
"P07","Al candidato de los liberales - libertarios",0.184,0.127,0.21,0.058,0.175,0.307,0.221,0.35,0.302
"P07","Al candidato de la Izquierda",0.001,0.042,0.059,0,0.005,0.039,0.147,0.034,0.029
"P07","A otro candidato",0.008,0.009,0.007,0.032,0.069,0.021,0,0.031,0.095
"P07","No sabe",0.081,0.049,0.062,0.243,0.063,0.049,0.016,0.056,0.075
"P08","A Julio Zamora por el Frente de Todos",0.367,0.292,0.272,0.556,0.423,0.215,0.318,0.11,0.048
"P08","A Malena Galmarini por el Frente de Todos",0.079,0.132,0.13,0.151,0.166,0.237,0.134,0.113,0.169
"P08","A Segundo Cernadas por Cambiemos",0.202,0.385,0.23,0.026,0.127,0.207,0.12,0.257,0.246
"P08","A Nicolás Massot por Cambiemos",0.165,0.048,0.174,0.028,0.057,0.039,0.138,0.081,0.095
"P08","Al candidato de los liberales libertarios",0.156,0.094,0.123,0.057,0.155,0.254,0.137,0.321,0.301
"P08","A Paula Akerfeld por el Frente de Izquierda",0.01,0,0.054,0.006,0.014,0.025,0.122,0.007,0.048
"P08","No sabe",0.021,0.049,0.017,0.176,0.058,0.023,0.031,0.111,0.093
"P10","A Julio Zamora por el Frente de Todos",0.37,0.312,0.364,0.509,0.493,0.307,0.409,0.172,0.103
"P10","A Segundo Cernadas por Cambiemos",0.305,0.348,0.335,0.205,0.185,0.27,0.229,0.359,0.379
"P10","Al candidato de los liberales libertarios",0.224,0.093,0.113,0.056,0.151,0.276,0.149,0.243,0.256
"P10","A Paula Akerfeld por el Frente de Izquierda",0.001,0.026,0.072,0.053,0.018,0.026,0.205,0,0.062
"P10","No sabe",0.1,0.221,0.116,0.177,0.153,0.121,0.008,0.226,0.2
"P12","A Malena Galmarini por el Frente de Todos",0.28,0.263,0.21,0.282,0.354,0.36,0.289,0.114,0.108
"P12","A Segundo Cernadas por Cambiemos",0.332,0.335,0.399,0.298,0.23,0.191,0.233,0.382,0.416
"P12","Al candidato de los liberales libertarios",0.278,0.098,0.217,0.058,0.187,0.278,0.255,0.375,0.284
"P12","A Paula Akerfeld por el Frente de Izquierda",0.006,0.079,0.011,0.053,0.033,0.076,0.174,0.011,0.047
"P12","No sabe",0.104,0.225,0.163,0.309,0.196,0.095,0.049,0.118,0.145
"P14","Muy buena",0.094,0.035,0.113,0.067,0.082,0.098,0.093,0.084,0.041
"P14","Buena",0.069,0.264,0.063,0.169,0.207,0.241,0.12,0.049,0.034
"P14","Ni buena ni mala",0.147,0.26,0.269,0.345,0.178,0.177,0.321,0.06,0.125
"P14","Mala",0.142,0.202,0.287,0.108,0.251,0.161,0.186,0.156,0.133
"P14","Muy mala",0.421,0.229,0.221,0.07,0.17,0.284,0.216,0.548,0.57
"P14","No sabe",0.127,0.01,0.047,0.241,0.112,0.039,0.064,0.103,0.097
"P15","Muy buena",0.255,0.184,0.142,0.351,0.252,0.111,0.23,0.08,0.036
"P15","Buena",0.218,0.181,0.303,0.042,0.302,0.287,0.183,0.129,0.025
"P15","Ni buena ni mala",0.247,0.351,0.319,0.269,0.157,0.267,0.331,0.191,0.234
"P15","Mala",0.156,0.164,0.089,0.134,0.162,0.169,0.193,0.24,0.212
"P15","Muy mala",0.093,0.087,0.075,0.181,0.085,0.157,0,0.345,0.454
"P15","No sabe",0.031,0.033,0.072,0.023,0.042,0.009,0.063,0.015,0.039
"P16","Muy buena",0.118,0.187,0.089,0.131,0.074,0.16,0.153,0.146,0.242
"P16","Buena",0.196,0.238,0.173,0.094,0.191,0.17,0.104,0.296,0.145
"P16","Ni buena ni mala",0.244,0.338,0.281,0.3,0.114,0.208,0.363,0.275,0.245
"P16","Mala",0.157,0.087,0.244,0.146,0.264,0.156,0.079,0.032,0.074
"P16","Muy mala",0.124,0.104,0.167,0.07,0.166,0.291,0.2,0.146,0.149
"P16","No sabe",0.161,0.046,0.046,0.259,0.191,0.015,0.101,0.105,0.145
"P17","Muy buena",0.046,0.074,0.025,0.095,0.016,0.066,0.01,0.015,0.016
"P17","Buena",0.05,0.07,0.118,0,0.004,0.004,0.051,0.12,0.022
"P17","Ni buena ni mala",0.342,0.387,0.22,0.303,0.265,0.275,0.367,0.303,0.203
"P17","Mala",0.078,0.049,0.116,0.006,0.093,0.134,0.073,0.046,0.123
"P17","Muy mala",0.01,0.176,0.145,0.063,0.07,0.08,0.03,0.041,0.179
"P17","No sabe",0.474,0.244,0.376,0.533,0.552,0.441,0.469,0.475,0.457
"P18","Muy buena",0.074,0.02,0.117,0.088,0.096,0.049,0.053,0.054,0.089
"P18","Buena",0.133,0.103,0.201,0.068,0.1,0.06,0.069,0.248,0.066
"P18","Ni buena ni mala",0.297,0.343,0.27,0.367,0.377,0.241,0.348,0.371,0.363
"P18","Mala",0.131,0.085,0.131,0.028,0.071,0.319,0.061,0.099,0.13
"P18","Muy mala",0.061,0.224,0.061,0.043,0.102,0.03,0.211,0.068,0.112
"P18","No sabe",0.304,0.225,0.22,0.406,0.254,0.301,0.258,0.16,0.24
"P19","Muy buena",0.169,0.136,0.224,0.155,0.197,0.098,0.247,0.077,0.027
"P19","Buena",0.275,0.145,0.271,0.257,0.32,0.26,0.238,0.128,0.07
"P19","Ni buena ni mala",0.282,0.373,0.256,0.264,0.168,0.32,0.323,0.26,0.194
"P19","Mala",0.122,0.186,0.198,0.31,0.201,0.208,0.179,0.283,0.24
"P19","Muy mala",0.072,0.131,0.033,0.014,0.043,0.106,0,0.216,0.394
"P19","No sabe",0.08,0.029,0.018,0,0.071,0.008,0.013,0.036,0.075
"P20","Que continúe el intendente Julio Zamora",0.223,0.29,0.153,0.18,0.225,0.097,0.166,0.018,0.036
"P20","Que continúe Julio Zamora pero con mejoras",0.192,0.151,0.235,0.397,0.407,0.213,0.194,0.197,0.058
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.14,0.274,0.245,0.186,0.19,0.216,0.431,0.083,0.137
"P20","Que cambie el intendente Julio Zamora",0.445,0.285,0.367,0.237,0.178,0.474,0.209,0.702,0.769
"P21","Es kirchnerista",0.161,0.079,0.155,0.153,0.22,0.202,0.022,0.13,0.167
"P21","Forma parte del Frente de Todos",0.288,0.352,0.182,0.231,0.317,0.233,0.384,0.246,0.14
"P21","Es un hombre de Massa",0.204,0.252,0.197,0.303,0.039,0.137,0.076,0.113,0.123
"P21","Es un peronista independiente de centro",0.121,0.071,0.14,0.149,0.105,0.066,0.09,0.014,0.057
"P21","Es un oportunista y está donde le conviene",0.156,0.184,0.196,0.013,0.154,0.146,0.325,0.321,0.354
"P21","No sabe",0.07,0.062,0.13,0.151,0.165,0.216,0.103,0.176,0.159
