"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P25","El tránsito",0.064,0.06,0.127,0.12,0.126,0.026
"P25","El arreglo de las calles",0.197,0.267,0.228,0.154,0.146,0.128
"P25","El estado de las escuelas y la educación",0.085,0.138,0.256,0.313,0.221,0.21
"P25","El sistema de salud",0.206,0.218,0.164,0.142,0.179,0.111
"P25","El deporte y la cultura",0.003,0.056,0.006,0,0.012,0.006
"P25","La obra pública",0.039,0.045,0.032,0.04,0.051,0.022
"P25","La luminaria",0.011,0.041,0.005,0.016,0.048,0.019
"P25","No sabe",0.12,0.075,0.108,0.123,0.092,0.276
"P26","Agua corriente y cloacas",0.42,0.471,0.372,0.271,0.403,0.45
"P26","Energía eléctrica",0.167,0.176,0.192,0.16,0.185,0.1
"P26","Red de gas natural",0.007,0.057,0.1,0.078,0.099,0.007
"P26","Recolección de residuos",0.202,0.073,0.166,0.287,0.169,0.165
"P26","Ninguno",0.204,0.223,0.17,0.204,0.144,0.278
"P27","Los robos",0.21,0.214,0.31,0.18,0.257,0.388
"P27","El narcotráfico",0.39,0.33,0.393,0.314,0.335,0.236
"P27","La ausencia de patrulleros y personal policial",0.103,0.154,0.164,0.261,0.201,0.127
"P27","Otro",0.128,0.179,0.085,0.195,0.151,0.145
"P27","Ninguno",0.169,0.123,0.048,0.05,0.056,0.104
"P28","Frente de Todos y el peronismo",0.271,0.413,0.294,0.441,0.175,0.119
"P28","Cambiemos",0.306,0.285,0.363,0.309,0.323,0.092
"P28","Liberales Libertarios",0.256,0.222,0.281,0.096,0.313,0.352
"P28","Izquierda",0.02,0.013,0.007,0.055,0.081,0.073
"P28","No sabe",0.147,0.067,0.055,0.099,0.108,0.364
"P30","A Alberto Fernández",0.123,0.054,0.331,0.02,0.017,0
"P30","A Sergio Massa",0.238,0.219,0.165,0.442,0.043,0.238
"P30","A algún candidato del peronismo",0.322,0.567,0.27,0.426,0.61,0.505
"P30","A algún candidato del kirchnerismo",0.317,0.16,0.234,0.112,0.33,0.257
