"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Que continúe el intendente Julio Zamora",0.156,0.125,0.187,0.091,0.176,0.148,0.201,0.166,0.177,0.111,0.169,0.139,0.15,0.274,0.104,0.037
"Que continúe Julio Zamora pero con mejoras",0.218,0.214,0.222,0.189,0.209,0.215,0.29,0.256,0.227,0.164,0.206,0.205,0.234,0.307,0.116,0.376
"Que cambie Julio Zamora pero que se mantengan los avances",0.186,0.182,0.19,0.19,0.211,0.151,0.161,0.16,0.199,0.193,0.136,0.296,0.19,0.195,0.166,0.347
"Que cambie el intendente Julio Zamora",0.44,0.479,0.401,0.53,0.404,0.486,0.348,0.418,0.397,0.532,0.489,0.36,0.426,0.224,0.614,0.24
