"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Agua corriente y cloacas",0.413,0.375,0.451,0.239,0.461,0.435,0.469,0.366,0.446,0.407,0.449,0.417,0.38,0.404,0.441,0.645
"Energía eléctrica",0.167,0.166,0.169,0.291,0.132,0.15,0.133,0.137,0.146,0.234,0.162,0.096,0.199,0.116,0.225,0.068
"Red de gas natural",0.06,0.069,0.05,0.094,0.065,0.04,0.031,0.069,0.058,0.053,0.048,0.089,0.059,0.088,0.02,0.188
"Recolección de residuos",0.159,0.179,0.139,0.275,0.15,0.129,0.079,0.243,0.121,0.134,0.146,0.163,0.169,0.139,0.154,0
"Ninguno",0.201,0.211,0.191,0.101,0.192,0.246,0.288,0.185,0.229,0.172,0.195,0.235,0.193,0.253,0.16,0.099
