"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Son lo mismo aunque estén en espacios politoca diferentes",0.161,0.157,0.166,0.246,0.155,0.132,0.111,0.195,0.132,0.173,0.144,0.14,0.185,0.144,0.142,0.048
"Son aliados tácticos pero lo ocultan",0.15,0.185,0.114,0.25,0.141,0.114,0.091,0.134,0.134,0.19,0.131,0.159,0.163,0.129,0.133,0.112
"Son adversarios políticos",0.395,0.413,0.376,0.335,0.388,0.448,0.412,0.338,0.449,0.37,0.372,0.4,0.415,0.444,0.423,0.51
"No sabe",0.294,0.245,0.344,0.169,0.316,0.306,0.386,0.333,0.285,0.267,0.353,0.301,0.237,0.283,0.302,0.33
