"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P07","Al candidato del Frente de Todos",0.417,0.084,0.034,0.53,0.634
"P07","Al candidato de Juntos por el Cambio",0.282,0.708,0.494,0.094,0.186
"P07","Al candidato de los liberales - libertarios",0.133,0.106,0.41,0.168,0.024
"P07","Al candidato de la Izquierda",0.055,0,0,0.113,0.085
"P07","A otro candidato",0.014,0.022,0.013,0.019,0.031
"P07","No sabe",0.099,0.08,0.049,0.076,0.04
"P08","A Julio Zamora por el Frente de Todos",0.392,0.1,0.075,0.322,0.567
"P08","A Malena Galmarini por el Frente de Todos",0.097,0.059,0.03,0.455,0.081
"P08","A Segundo Cernadas por Cambiemos",0.222,0.475,0.274,0.079,0.155
"P08","A Nicolás Massot por Cambiemos",0.11,0.243,0.183,0,0.106
"P08","Al candidato de los liberales libertarios",0.069,0.065,0.396,0.037,0.011
"P08","A Paula Akerfeld por el Frente de Izquierda",0.092,0.043,0,0.044,0
"P08","No sabe",0.018,0.015,0.042,0.063,0.08
"P10","A Julio Zamora por el Frente de Todos",0.363,0.072,0.102,0.414,0.635
"P10","A Segundo Cernadas por Cambiemos",0.335,0.694,0.422,0.163,0.032
"P10","Al candidato de los liberales libertarios",0.101,0.123,0.409,0.051,0.013
"P10","A Paula Akerfeld por el Frente de Izquierda",0.055,0.022,0.004,0.133,0.124
"P10","No sabe",0.146,0.089,0.063,0.239,0.196
"P12","A Malena Galmarini por el Frente de Todos",0.222,0.111,0.049,0.494,0.28
"P12","A Segundo Cernadas por Cambiemos",0.464,0.724,0.409,0.076,0.346
"P12","Al candidato de los liberales libertarios",0.113,0.106,0.483,0.046,0.024
"P12","A Paula Akerfeld por el Frente de Izquierda",0.084,0,0.004,0.145,0
"P12","No sabe",0.117,0.059,0.055,0.239,0.35
"P14","Muy buena",0.05,0.087,0.014,0.247,0.122
"P14","Buena",0.152,0.038,0.005,0.188,0.09
"P14","Ni buena ni mala",0.023,0.103,0.134,0.354,0.46
"P14","Mala",0.374,0.11,0.228,0.078,0.106
"P14","Muy mala",0.174,0.606,0.611,0.11,0.142
"P14","No sabe",0.227,0.056,0.008,0.023,0.08
"P15","Muy buena",0.217,0.07,0.068,0.219,0.359
"P15","Buena",0.208,0.112,0.104,0.356,0.128
"P15","Ni buena ni mala",0.254,0.335,0.303,0.189,0.23
"P15","Mala",0.017,0.292,0.298,0.053,0.149
"P15","Muy mala",0.211,0.191,0.218,0.152,0.037
"P15","No sabe",0.093,0,0.009,0.031,0.097
"P16","Muy buena",0.207,0.27,0.185,0.041,0.102
"P16","Buena",0.261,0.358,0.245,0.124,0.228
"P16","Ni buena ni mala",0.229,0.133,0.262,0.073,0.181
"P16","Mala",0.092,0.15,0.14,0.186,0.218
"P16","Muy mala",0.059,0.024,0.105,0.499,0.122
"P16","No sabe",0.152,0.065,0.063,0.077,0.149
"P17","Muy buena",0.022,0.022,0.052,0.018,0.034
"P17","Buena",0.01,0.051,0.031,0.145,0.018
"P17","Ni buena ni mala",0.44,0.253,0.306,0.29,0.26
"P17","Mala",0.095,0.079,0.042,0.189,0.052
"P17","Muy mala",0.028,0.077,0.05,0.043,0.007
"P17","No sabe",0.405,0.518,0.519,0.315,0.629
"P18","Muy buena",0.117,0.102,0.141,0.026,0.006
"P18","Buena",0.052,0.142,0.143,0.018,0.188
"P18","Ni buena ni mala",0.372,0.395,0.374,0.284,0.289
"P18","Mala",0.114,0.169,0.083,0.205,0.031
"P18","Muy mala",0.067,0.024,0.024,0.309,0.084
"P18","No sabe",0.278,0.168,0.235,0.158,0.402
"P19","Muy buena",0.218,0.084,0.01,0.22,0.265
"P19","Buena",0.141,0.169,0.16,0.382,0.161
"P19","Ni buena ni mala",0.333,0.286,0.354,0.157,0.267
"P19","Mala",0.059,0.333,0.316,0.217,0.115
"P19","Muy mala",0.175,0.111,0.144,0.024,0.132
"P19","No sabe",0.074,0.017,0.016,0,0.06
"P20","Que continúe el intendente Julio Zamora",0.148,0.056,0.061,0.154,0.267
"P20","Que continúe Julio Zamora pero con mejoras",0.333,0.121,0.079,0.288,0.255
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.222,0.188,0.273,0.153,0.232
"P20","Que cambie el intendente Julio Zamora",0.297,0.635,0.587,0.405,0.246
"P21","Es kirchnerista",0.084,0.152,0.197,0.072,0.223
"P21","Forma parte del Frente de Todos",0.228,0.234,0.229,0.432,0.303
"P21","Es un hombre de Massa",0.068,0.244,0.183,0.092,0.125
"P21","Es un peronista independiente de centro",0.049,0.097,0.081,0.11,0.029
"P21","Es un oportunista y está donde le conviene",0.247,0.166,0.251,0.25,0.187
"P21","No sabe",0.324,0.107,0.059,0.044,0.133
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.107,0.197,0.145,0.194,0.25
"P22","Son aliados tácticos pero lo ocultan",0.023,0.039,0.203,0.171,0.158
"P22","Son adversarios políticos",0.364,0.415,0.42,0.501,0.28
"P22","No sabe",0.506,0.349,0.232,0.134,0.312
"P23","Son lo mismo, ambos son de Massa",0.151,0.362,0.398,0.041,0.211
"P23","Son aliados en el Frente de Todos pero compiten",0.232,0.198,0.272,0.525,0.277
"P23","Son enemigos porque Zamora traicionó a Massa",0.17,0.363,0.146,0.304,0.116
"P23","No sabe",0.447,0.077,0.184,0.13,0.396
"P24","La seguridad",0.15,0.278,0.319,0.152,0.13
"P24","El tránsito",0.095,0.128,0.032,0.104,0.163
"P24","El arreglo de las calles",0.097,0.12,0.072,0.142,0
"P24","El estado de las escuelas y la educación",0.018,0.055,0.033,0.042,0.14
"P24","El sistema de salud",0.169,0.073,0.069,0.113,0.188
"P24","El deporte y la cultura",0.186,0.11,0.088,0.197,0.132
"P24","La obra pública",0.122,0.017,0.049,0.183,0.103
"P24","La luminaria",0.067,0.068,0.12,0.036,0.058
"P24","No sabe",0.096,0.151,0.218,0.031,0.086
"P25","La seguridad",0.159,0.146,0.095,0.055,0.116
"P25","El tránsito",0.17,0.079,0.204,0.219,0.159
"P25","El arreglo de las calles",0.081,0.153,0.22,0.115,0.359
"P25","El estado de las escuelas y la educación",0.193,0.102,0.158,0.194,0.052
"P25","El sistema de salud",0.252,0.139,0.176,0.239,0.026
"P25","El deporte y la cultura",0.02,0,0.003,0.027,0
"P25","La obra pública",0.007,0.196,0.04,0.054,0.078
"P25","La luminaria",0.008,0.014,0.009,0.016,0.163
"P25","No sabe",0.11,0.171,0.095,0.081,0.047
"P26","Agua corriente y cloacas",0.868,0.948,0.881,0.825,0.909
"P26","Energía eléctrica",0.061,0,0.057,0.027,0.028
"P26","Red de gas natural",0.054,0,0,0.014,0.038
"P26","Recolección de residuos",0.004,0.007,0.047,0.107,0
"P26","Ninguno",0.013,0.045,0.015,0.027,0.025
"P27","Los robos",0.338,0.436,0.252,0.168,0.373
"P27","El narcotráfico",0.457,0.188,0.225,0.457,0.206
"P27","La ausencia de patrulleros y personal policial",0.147,0.102,0.291,0.141,0.109
"P27","Otro",0.039,0.158,0.208,0.161,0.123
"P27","Ninguno",0.019,0.116,0.024,0.073,0.189
"P33","Seguro lo votaria",0.257,0.224,0.383,0.071,0.092
"P33","Quizás lo votaría",0.252,0.328,0.214,0.207,0.131
"P33","Nunca lo votaría",0.491,0.448,0.403,0.722,0.777
"P34","Muy buena",0.008,0.037,0.068,0.057,0.219
"P34","Buena",0.179,0.164,0.006,0.327,0.053
"P34","Ni buena ni mala",0.176,0.084,0.007,0.396,0.336
"P34","Mala",0.082,0.069,0.093,0.091,0.155
"P34","Muy mala",0.555,0.646,0.823,0.129,0.237
"P34","No sabe",0,0,0.003,0,0
"P35","Muy buena",0.105,0.432,0.22,0,0
"P35","Buena",0.151,0.342,0.275,0.05,0.132
"P35","Ni buena ni mala",0.147,0.078,0.242,0.1,0.212
"P35","Mala",0.165,0.113,0.129,0.092,0.203
"P35","Muy mala",0.309,0.035,0.131,0.752,0.453
"P35","No sabe",0.123,0,0.003,0.006,0
"P36","Muy buena",0.103,0,0.019,0.433,0.355
"P36","Buena",0.016,0.024,0.008,0.133,0.087
"P36","Ni buena ni mala",0.154,0.008,0.022,0.033,0.297
"P36","Mala",0.07,0.144,0.054,0.05,0.03
"P36","Muy mala",0.592,0.824,0.897,0.345,0.231
"P36","No sabe",0.065,0,0,0.006,0
"P37","Muy buena",0.11,0.198,0.103,0.025,0.042
"P37","Buena",0.297,0.192,0.205,0.037,0.269
"P37","Ni buena ni mala",0.132,0.145,0.313,0.105,0.323
"P37","Mala",0.1,0.278,0.141,0.187,0.146
"P37","Muy mala",0.182,0.187,0.238,0.622,0.22
"P37","No sabe",0.179,0,0,0.024,0
"P38","Muy buena",0.074,0.054,0.026,0.09,0.053
"P38","Buena",0.218,0.064,0.049,0.179,0.12
"P38","Ni buena ni mala",0.129,0.081,0.092,0.231,0.345
"P38","Mala",0.21,0.07,0.125,0.11,0.205
"P38","Muy mala",0.303,0.731,0.708,0.384,0.277
"P38","No sabe",0.066,0,0,0.006,0
"P39","Muy buena",0.098,0.4,0.621,0.019,0.032
"P39","Buena",0.172,0.341,0.191,0.043,0.117
"P39","Ni buena ni mala",0.298,0.15,0.107,0.073,0.365
"P39","Mala",0.02,0.057,0.004,0.211,0.042
"P39","Muy mala",0.291,0.052,0.077,0.648,0.444
"P39","No sabe",0.121,0,0,0.006,0
"P40","Muy buena",0.14,0.067,0.425,0.043,0.041
"P40","Buena",0.219,0.352,0.186,0.077,0.016
"P40","Ni buena ni mala",0.292,0.259,0.262,0.052,0.28
"P40","Mala",0.061,0.293,0.056,0.083,0.234
"P40","Muy mala",0.132,0.029,0.061,0.738,0.429
"P40","No sabe",0.156,0,0.01,0.007,0
