"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P25","El arreglo de las calles",0.243,0.218,0.216,0.109,0.178,0.195
"P25","El estado de las escuelas y la educación",0.156,0.218,0.167,0.332,0.164,0.158
"P25","El sistema de salud",0.13,0.195,0.163,0.15,0.199,0.21
"P25","El deporte y la cultura",0.028,0.019,0.023,0.015,0.01,0.016
"P25","La obra pública",0.05,0.031,0.047,0.026,0.036,0.04
"P25","La luminaria",0.014,0.087,0.007,0.011,0.039,0.031
"P25","No sabe",0.08,0.061,0.141,0.083,0.139,0.153
"P26","Agua corriente y cloacas",0.421,0.331,0.446,0.443,0.345,0.418
"P26","Energía eléctrica",0.149,0.279,0.099,0.164,0.112,0.225
"P26","Red de gas natural",0.016,0.003,0.082,0.013,0.146,0.065
"P26","Recolección de residuos",0.276,0.202,0.186,0.213,0.063,0.08
"P26","Ninguno",0.138,0.185,0.187,0.167,0.334,0.212
"P27","Los robos",0.206,0.313,0.274,0.177,0.184,0.289
"P27","El narcotráfico",0.467,0.402,0.357,0.316,0.295,0.27
"P27","La ausencia de patrulleros y personal policial",0.116,0.122,0.154,0.198,0.202,0.178
"P27","Otro",0.183,0.16,0.142,0.187,0.176,0.108
"P27","Ninguno",0.028,0.003,0.073,0.122,0.143,0.155
"P28","Frente de Todos y el peronismo",0.213,0.068,0.259,0.365,0.587,0.299
"P28","Cambiemos",0.326,0.575,0.389,0.08,0.163,0.164
"P28","Liberales Libertarios",0.33,0.268,0.235,0.358,0.096,0.28
"P28","Izquierda",0.018,0.025,0.03,0.123,0.08,0.003
"P28","No sabe",0.113,0.064,0.087,0.074,0.074,0.254
"P30","A Alberto Fernández",0.072,0.322,0.079,0.046,0.125,0.014
"P30","A Sergio Massa",0.047,0.064,0.099,0.274,0.154,0.338
"P30","A algún candidato del peronismo",0.392,0.603,0.688,0.44,0.225,0.337
"P30","A algún candidato del kirchnerismo",0.489,0.011,0.134,0.24,0.496,0.311
"P31","A Alberto Fernández",0.414,0.307,0.068,0,0.123,0.019
"P31","A Sergio Massa",0.05,0.103,0.14,0.043,0.235,0.404
"P31","A algún candidato del peronismo",0.536,0.579,0.651,0.739,0.09,0.431
"P31","A Cristina Fernández de Kirchner",0,0.011,0.141,0.218,0.552,0.146
"P32","A Horacio Rodriguez Larreta",0.302,0.124,0.271,0.266,0.214,0.289
"P32","A Mauricio Macri",0.109,0.14,0.119,0.162,0.031,0.072
"P32","A Patricia Bullrich",0.546,0.509,0.406,0.29,0.114,0.364
"P32","A Facundo Manes",0.035,0.023,0.108,0.249,0.518,0.085
"P32","A Gerardo Morales",0.008,0.204,0.096,0.033,0.123,0.19
"P33","Seguro lo votaria",0.241,0.139,0.299,0.441,0.05,0.242
"P33","Quizás lo votaría",0.388,0.23,0.212,0.185,0.207,0.201
"P33","Nunca lo votaría",0.371,0.631,0.489,0.374,0.743,0.557
