"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Fernandez","Macri","Lavagna"
"Juan Laborde Rodríguez","Positiva",0.089,0.096,0.082,0.101,0.082,0.086,0.096,0.113,0.079,0.079,0.103,0.036,0.095,0.067,0.087,0.01
"Juan Laborde Rodríguez","Neutra",0.283,0.292,0.274,0.083,0.359,0.331,0.257,0.305,0.291,0.248,0.331,0.307,0.231,0.272,0.301,0.755
"Juan Laborde Rodríguez","Negativa",0.173,0.2,0.145,0.337,0.153,0.125,0.087,0.162,0.142,0.232,0.16,0.207,0.172,0.166,0.154,0.129
"Juan Laborde Rodríguez","No sabe",0.455,0.412,0.499,0.479,0.406,0.458,0.56,0.42,0.488,0.441,0.406,0.45,0.502,0.495,0.458,0.106
"Nicolás Massot","Positiva",0.18,0.189,0.172,0.196,0.139,0.211,0.224,0.193,0.133,0.242,0.164,0.207,0.185,0.105,0.247,0.171
"Nicolás Massot","Neutra",0.324,0.386,0.262,0.235,0.357,0.364,0.283,0.4,0.317,0.255,0.343,0.296,0.317,0.28,0.359,0.664
"Nicolás Massot","Negativa",0.222,0.219,0.224,0.292,0.219,0.202,0.17,0.172,0.204,0.3,0.235,0.211,0.214,0.313,0.142,0.108
"Nicolás Massot","No sabe",0.274,0.206,0.342,0.277,0.285,0.223,0.323,0.235,0.346,0.203,0.258,0.286,0.284,0.302,0.252,0.057
"Segundo Cernadas","Positiva",0.334,0.313,0.355,0.176,0.312,0.414,0.491,0.367,0.301,0.353,0.381,0.261,0.319,0.228,0.514,0.291
"Segundo Cernadas","Neutra",0.263,0.26,0.265,0.216,0.303,0.25,0.227,0.291,0.273,0.215,0.24,0.352,0.25,0.248,0.251,0.513
"Segundo Cernadas","Negativa",0.28,0.32,0.24,0.457,0.261,0.249,0.142,0.226,0.277,0.344,0.226,0.314,0.317,0.414,0.121,0.196
"Segundo Cernadas","No sabe",0.123,0.107,0.14,0.151,0.124,0.087,0.14,0.116,0.149,0.088,0.153,0.073,0.114,0.11,0.114,0
"Julio Zamora","Positiva",0.357,0.295,0.419,0.309,0.336,0.374,0.453,0.322,0.406,0.318,0.356,0.331,0.367,0.52,0.246,0.573
"Julio Zamora","Neutra",0.268,0.281,0.254,0.218,0.3,0.265,0.248,0.34,0.271,0.187,0.207,0.302,0.311,0.242,0.325,0.257
"Julio Zamora","Negativa",0.331,0.378,0.284,0.415,0.326,0.328,0.236,0.29,0.273,0.463,0.382,0.297,0.297,0.213,0.404,0.17
"Julio Zamora","No sabe",0.044,0.046,0.043,0.058,0.038,0.033,0.063,0.048,0.05,0.032,0.055,0.07,0.025,0.025,0.025,0
"Javier Milei","Positiva",0.372,0.448,0.293,0.506,0.383,0.317,0.254,0.357,0.386,0.364,0.406,0.417,0.326,0.141,0.489,0.364
"Javier Milei","Neutra",0.204,0.145,0.265,0.094,0.188,0.254,0.312,0.183,0.223,0.195,0.232,0.175,0.191,0.142,0.284,0.488
"Javier Milei","Negativa",0.374,0.377,0.371,0.373,0.374,0.361,0.394,0.403,0.332,0.41,0.268,0.4,0.454,0.646,0.218,0.123
"Javier Milei","No sabe",0.05,0.03,0.071,0.027,0.055,0.068,0.04,0.057,0.059,0.031,0.094,0.008,0.029,0.071,0.009,0.025
"Patricia Bullrich","Positiva",0.419,0.383,0.457,0.357,0.339,0.5,0.594,0.395,0.396,0.481,0.507,0.356,0.368,0.201,0.685,0.563
"Patricia Bullrich","Neutra",0.169,0.162,0.176,0.2,0.208,0.111,0.113,0.13,0.183,0.186,0.165,0.062,0.212,0.133,0.131,0.334
"Patricia Bullrich","Negativa",0.385,0.426,0.342,0.416,0.433,0.343,0.278,0.427,0.405,0.311,0.267,0.58,0.413,0.653,0.18,0.103
"Patricia Bullrich","No sabe",0.027,0.029,0.025,0.027,0.02,0.046,0.015,0.048,0.016,0.022,0.061,0.002,0.007,0.013,0.004,0
"Horacio Rodriguez Larreta","Positiva",0.278,0.211,0.347,0.125,0.261,0.341,0.428,0.244,0.296,0.282,0.315,0.15,0.295,0.156,0.425,0.313
"Horacio Rodriguez Larreta","Neutra",0.19,0.185,0.196,0.115,0.18,0.245,0.231,0.154,0.196,0.218,0.186,0.251,0.17,0.131,0.269,0.086
"Horacio Rodriguez Larreta","Negativa",0.489,0.551,0.425,0.716,0.51,0.374,0.315,0.518,0.471,0.492,0.462,0.517,0.503,0.652,0.304,0.426
"Horacio Rodriguez Larreta","No sabe",0.043,0.053,0.032,0.044,0.049,0.04,0.026,0.084,0.037,0.008,0.037,0.082,0.032,0.061,0.002,0.175
"Mauricio Macri","Positiva",0.322,0.299,0.346,0.315,0.253,0.377,0.441,0.352,0.254,0.402,0.407,0.186,0.301,0.111,0.618,0.043
"Mauricio Macri","Neutra",0.164,0.141,0.188,0.064,0.172,0.21,0.201,0.109,0.22,0.131,0.186,0.1,0.17,0.105,0.181,0.44
"Mauricio Macri","Negativa",0.499,0.551,0.446,0.621,0.552,0.394,0.355,0.494,0.523,0.464,0.401,0.673,0.517,0.754,0.197,0.517
"Mauricio Macri","No sabe",0.015,0.009,0.02,0,0.023,0.019,0.003,0.045,0.003,0.003,0.006,0.041,0.012,0.03,0.004,0
"Malena Galmarini","Positiva",0.19,0.198,0.183,0.147,0.191,0.183,0.261,0.184,0.21,0.165,0.16,0.103,0.252,0.4,0.095,0.058
"Malena Galmarini","Neutra",0.195,0.2,0.19,0.149,0.209,0.203,0.208,0.217,0.206,0.154,0.195,0.246,0.176,0.259,0.126,0.158
"Malena Galmarini","Negativa",0.518,0.525,0.511,0.564,0.495,0.549,0.469,0.501,0.471,0.612,0.549,0.541,0.48,0.262,0.69,0.773
"Malena Galmarini","No sabe",0.097,0.077,0.116,0.14,0.105,0.065,0.062,0.098,0.113,0.069,0.096,0.11,0.092,0.079,0.089,0.011
"Sergio Massa","Positiva",0.234,0.249,0.218,0.263,0.235,0.201,0.249,0.264,0.246,0.186,0.226,0.165,0.267,0.452,0.1,0.297
"Sergio Massa","Neutra",0.15,0.136,0.165,0.156,0.148,0.132,0.179,0.105,0.177,0.153,0.131,0.193,0.151,0.159,0.104,0.072
"Sergio Massa","Negativa",0.596,0.598,0.593,0.581,0.571,0.666,0.568,0.582,0.567,0.654,0.622,0.573,0.581,0.371,0.794,0.615
"Sergio Massa","No sabe",0.02,0.017,0.024,0,0.046,0.001,0.004,0.049,0.01,0.007,0.021,0.069,0.001,0.018,0.002,0.016
"CFK","Positiva",0.262,0.286,0.237,0.34,0.239,0.235,0.265,0.339,0.215,0.256,0.187,0.291,0.316,0.508,0.109,0.166
"CFK","Neutra",0.067,0.029,0.106,0.044,0.072,0.09,0.047,0.093,0.074,0.029,0.044,0.087,0.079,0.109,0.043,0.022
"CFK","Negativa",0.656,0.672,0.639,0.616,0.658,0.67,0.68,0.562,0.681,0.712,0.734,0.611,0.605,0.347,0.843,0.812
"CFK","No sabe",0.015,0.013,0.018,0,0.031,0.005,0.008,0.006,0.03,0.003,0.035,0.011,0,0.036,0.005,0
"Alberto Fernandez","Positiva",0.192,0.183,0.2,0.167,0.206,0.175,0.209,0.3,0.152,0.144,0.148,0.29,0.191,0.331,0.101,0.212
"Alberto Fernandez","Neutra",0.14,0.131,0.15,0.149,0.128,0.169,0.119,0.134,0.178,0.087,0.094,0.132,0.183,0.275,0.08,0.079
"Alberto Fernandez","Negativa",0.658,0.682,0.634,0.684,0.65,0.649,0.663,0.563,0.658,0.756,0.756,0.573,0.608,0.378,0.811,0.709
"Alberto Fernandez","No sabe",0.01,0.004,0.016,0,0.016,0.007,0.009,0.003,0.012,0.013,0.002,0.005,0.018,0.016,0.008,0
