"var","categoria","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos","Javier Milei presidente – José Luis Espert  gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P05","Tengo trabajo estable",0.49,0.504,0.552,0.481,0.48
"P05","Realizo changas o trabajos de vez en cuando",0.154,0.179,0.186,0.225,0.187
"P05","No tengo trabajo",0.102,0.116,0.155,0.136,0.158
"P05","Soy jubilado o pensionado",0.254,0.201,0.107,0.158,0.175
"P06","1",0.327,0.21,0.421,0.173,0.263
"P06","2",0.06,0.052,0.073,0.055,0.063
"P06","3",0.055,0.038,0.095,0.013,0.062
"P06","4",0.08,0.053,0.064,0.02,0.088
"P06","5",0.207,0.159,0.175,0.046,0.323
"P06","6",0.036,0.056,0.045,0.06,0.055
"P06","7",0.077,0.121,0.012,0.183,0.041
"P06","8",0.039,0.067,0.025,0.107,0.028
"P06","9",0.119,0.244,0.09,0.343,0.077
"P07","1",0.28,0.428,0.173,0.182,0.153
"P07","2",0.051,0.065,0.034,0.104,0.052
"P07","3",0.037,0.044,0.016,0.031,0.033
"P07","4",0.037,0.042,0.019,0.134,0.056
"P07","5",0.2,0.149,0.149,0.212,0.329
"P07","6",0.051,0.041,0.035,0.066,0.065
"P07","7",0.064,0.043,0.113,0.041,0.057
"P07","8",0.072,0.025,0.099,0.014,0.068
"P07","9",0.208,0.163,0.362,0.216,0.187
"P08","1",0.377,0.55,0.194,0.684,0.27
"P08","2",0.026,0.027,0.033,0.032,0.023
"P08","3",0.022,0.029,0.035,0.014,0.039
"P08","4",0.025,0.018,0.027,0.003,0.023
"P08","5",0.114,0.097,0.134,0.031,0.151
"P08","6",0.017,0.012,0.013,0,0.042
"P08","7",0.027,0.015,0.057,0.011,0.046
"P08","8",0.035,0.017,0.038,0.08,0.039
"P08","9",0.357,0.235,0.469,0.145,0.367
"P10","Del Frente de Todos y el peronismo",0.295,0.679,0.039,0.124,0.095
"P10","De Cambiemos",0.606,0.203,0.155,0.061,0.422
"P10","De los Liberales libertarios",0.019,0.009,0.705,0.028,0.078
"P10","De la Izquierda",0.01,0.011,0.008,0.716,0.027
"P10","No sabe",0.07,0.098,0.093,0.071,0.378
"P11","A Alberto Fernández",0.11,0.153,0.148,0.14,0.093
