"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P05","Tengo trabajo estable",0.542,0.428,0.458,0.551,0.504
"P05","Realizo changas o trabajos de vez en cuando",0.178,0.247,0.137,0.185,0.095
"P05","No tengo trabajo",0.134,0.158,0.161,0.129,0.133
"P05","Soy jubilado o pensionado",0.146,0.167,0.244,0.135,0.268
"P06","1",0.312,0.421,0.39,0.18,0.187
"P06","2",0.083,0.036,0.065,0.167,0.047
"P06","3",0.062,0.094,0.096,0.062,0.096
"P06","4",0.087,0.086,0.102,0.028,0
"P06","5",0.306,0.187,0.193,0.289,0.336
"P06","6",0.053,0.03,0.022,0.054,0.082
"P06","7",0.036,0.027,0.034,0.034,0.009
"P06","8",0.014,0.038,0.024,0.097,0.05
"P06","9",0.047,0.081,0.074,0.089,0.193
"P07","1",0.223,0.167,0.165,0.193,0.264
"P07","2",0.053,0.037,0.021,0.01,0.048
"P07","3",0.026,0.014,0.023,0.11,0.016
"P07","4",0.088,0.024,0.02,0.077,0.04
"P07","5",0.253,0.21,0.21,0.259,0.347
"P07","6",0.097,0.051,0.062,0.094,0.176
"P07","7",0.067,0.077,0.079,0.05,0.008
"P07","8",0.04,0.091,0.099,0.058,0.029
"P07","9",0.153,0.329,0.321,0.149,0.072
"P08","1",0.309,0.208,0.247,0.491,0.384
"P08","2",0.042,0.028,0.016,0.041,0.032
"P08","3",0.03,0.023,0.024,0.017,0.032
"P08","4",0.007,0.011,0.015,0.015,0.047
"P08","5",0.135,0.126,0.169,0.127,0.136
"P08","6",0.031,0.03,0.018,0.003,0.082
"P08","7",0.031,0.046,0.05,0.021,0.041
"P08","8",0.046,0.039,0.041,0.052,0
"P08","9",0.369,0.489,0.42,0.233,0.246
"P14","Seguro lo votaria",0.183,0.17,0.179,0.095,0.035
"P14","Quizás lo votaría",0.364,0.383,0.336,0.41,0.289
"P14","Nunca lo votaría",0.453,0.447,0.485,0.495,0.676
"P15","Lo votaría",0.054,0.054,0.012,0.138,0.169
"P15","Puede que lo vote",0.077,0.026,0.038,0.079,0.035
"P15","Nunca lo votaría",0.817,0.897,0.945,0.778,0.772
"P15","No sabe",0.052,0.023,0.005,0.005,0.024
"P16","Lo votaría",0.049,0.013,0.01,0.081,0.147
"P16","Puede que lo vote",0.097,0.075,0.053,0.192,0.145
"P16","Nunca lo votaría",0.792,0.862,0.903,0.694,0.596
"P16","No sabe",0.062,0.05,0.034,0.033,0.112
"P17","Lo votaría",0.491,0.333,0.419,0.213,0.202
"P17","Puede que lo vote",0.28,0.413,0.402,0.412,0.562
"P17","Nunca lo votaría",0.191,0.213,0.125,0.323,0.194
"P17","No sabe",0.038,0.041,0.054,0.052,0.042
"P18","Lo votaría",0.212,0.359,0.376,0.087,0.157
"P18","Puede que lo vote",0.365,0.376,0.399,0.394,0.46
"P18","Nunca lo votaría",0.302,0.171,0.155,0.434,0.251
"P18","No sabe",0.121,0.094,0.07,0.085,0.132
"P19","Lo votaría",0.099,0.039,0.034,0.182,0.027
"P19","Puede que lo vote",0.133,0.088,0.049,0.115,0.285
"P19","Nunca lo votaría",0.702,0.841,0.897,0.679,0.598
"P19","No sabe",0.066,0.032,0.02,0.024,0.09
"P20","Lo votaría",0.05,0.074,0.08,0.091,0.077
"P20","Puede que lo vote",0.211,0.236,0.3,0.304,0.285
"P20","Nunca lo votaría",0.507,0.497,0.507,0.445,0.34
"P20","No sabe",0.232,0.193,0.113,0.16,0.298
"P21","Lo votaría",0.116,0.224,0.295,0.128,0.088
"P21","Puede que lo vote",0.32,0.346,0.415,0.397,0.317
"P21","Nunca lo votaría",0.416,0.339,0.227,0.366,0.452
"P21","No sabe",0.148,0.091,0.063,0.109,0.143
"P22","Lo votaría",0.051,0.058,0.03,0.235,0.11
"P22","Puede que lo vote",0.148,0.151,0.142,0.133,0.145
"P22","Nunca lo votaría",0.517,0.52,0.549,0.345,0.377
"P22","No sabe",0.284,0.271,0.279,0.287,0.368
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.101,0.666,0.149,0.178,0.123
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.622,0.093,0.073,0.311,0.42
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.058,0.082,0.703,0.092,0.113
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.04,0.021,0.023,0.036,0.019
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.057,0.014,0.008,0.084,0.019
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.084,0.04,0.008,0.061,0.131
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.026,0.035,0.02,0.01,0.056
"P23","A los candidatos de la izquierda",0,0.004,0.001,0.003,0
"P23","Otros candidatos",0.012,0.045,0.015,0.225,0.119
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.157,0.548,0.747,0.135,0.08
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.68,0.256,0.1,0.318,0.436
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.049,0.03,0.023,0.021,0.02
