"var","categoria","1","2","3","4","5","6","7","8","9"
"P05","Tengo trabajo estable",0.486,0.383,0.461,0.478,0.519,0.581,0.629,0.489,0.409
"P05","Realizo changas o trabajos de vez en cuando",0.193,0.336,0.117,0.107,0.179,0.149,0.129,0.164,0.256
"P05","No tengo trabajo",0.144,0.163,0.267,0.112,0.148,0.104,0.07,0.157,0.142
"P05","Soy jubilado o pensionado",0.177,0.118,0.155,0.303,0.154,0.166,0.172,0.19,0.193
"P07","1",0.38,0.273,0.096,0.154,0.119,0.145,0.28,0.397,0.504
"P07","2",0.034,0.136,0.064,0.014,0.032,0.047,0.12,0.096,0.03
"P07","3",0.018,0.036,0.098,0.048,0.025,0.076,0.083,0.061,0.014
"P07","4",0.008,0.014,0.042,0.187,0.053,0.053,0.088,0.031,0.009
"P07","5",0.102,0.127,0.21,0.197,0.471,0.166,0.095,0.065,0.082
"P07","6",0.015,0.044,0.05,0.049,0.06,0.297,0.037,0.059,0.009
"P07","7",0.029,0.05,0.118,0.089,0.064,0.077,0.195,0.038,0.02
"P07","8",0.044,0.128,0.12,0.1,0.051,0.039,0.051,0.184,0.011
"P07","9",0.37,0.192,0.202,0.162,0.125,0.1,0.051,0.069,0.321
"P08","1",0.319,0.358,0.239,0.313,0.26,0.478,0.656,0.55,0.571
"P08","2",0.018,0.041,0.06,0.028,0.028,0.043,0.041,0.056,0.024
"P08","3",0.007,0.053,0.083,0.049,0.045,0.03,0.033,0.024,0.005
"P08","4",0.012,0.012,0.039,0.05,0.034,0.031,0.036,0.032,0.01
"P08","5",0.101,0.075,0.115,0.151,0.207,0.157,0.057,0.075,0.036
"P08","6",0.012,0.012,0.012,0.015,0.037,0.027,0.022,0.028,0.012
"P08","7",0.02,0.032,0.082,0.049,0.04,0.015,0.045,0.018,0.008
"P08","8",0.024,0.03,0.048,0.038,0.037,0.064,0.043,0.057,0.009
"P08","9",0.487,0.387,0.322,0.307,0.312,0.155,0.067,0.16,0.325
"P10","Del Frente de Todos y el peronismo",0.184,0.204,0.207,0.194,0.239,0.442,0.668,0.579,0.553
"P10","De Cambiemos",0.403,0.347,0.438,0.428,0.345,0.253,0.147,0.228,0.158
"P10","De los Liberales libertarios",0.247,0.194,0.25,0.173,0.154,0.145,0.042,0.074,0.113
"P10","De la Izquierda",0.009,0.028,0,0.021,0.013,0.05,0.052,0.066,0.064
"P10","No sabe",0.157,0.227,0.105,0.184,0.249,0.11,0.091,0.053,0.112
"P11","A Alberto Fernández",0.241,0.202,0.137,0.215,0.233,0.052,0.081,0.072,0.153
"P11","A Sergio Massa",0.351,0.281,0.198,0.234,0.241,0.339,0.147,0.171,0.228
"P11","A algún candidato del peronismo",0.155,0.219,0.258,0.187,0.153,0.128,0.078,0.096,0.092
"P11","A algún candidato del kirchnerismo",0.253,0.298,0.407,0.364,0.373,0.481,0.694,0.661,0.527
