"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.073,0.058,0.086,0.023,0.069,0.079,0.106,0.092,0.066,0.063,0.073,0.073,0.098,0.052,0.036,6
"Buena",0.179,0.175,0.183,0.162,0.197,0.173,0.166,0.189,0.177,0.173,0.175,0.187,0.319,0.067,0.078,6
"Ni buena ni mala",0.17,0.145,0.194,0.163,0.185,0.155,0.166,0.214,0.158,0.145,0.163,0.184,0.308,0.058,0.142,6
"Mala",0.099,0.103,0.095,0.13,0.099,0.085,0.095,0.09,0.1,0.106,0.1,0.096,0.099,0.094,0.101,6
"Muy mala",0.47,0.508,0.435,0.498,0.441,0.503,0.461,0.409,0.485,0.508,0.482,0.447,0.169,0.725,0.643,6
"No sabe",0.009,0.011,0.007,0.024,0.009,0.005,0.006,0.006,0.014,0.005,0.007,0.013,0.007,0.004,0,6
"Positiva",0.252,0.233,0.269,0.185,0.266,0.252,0.272,0.281,0.243,0.236,0.248,0.26,0.417,0.119,0.114,4
"Neutra",0.17,0.145,0.194,0.163,0.185,0.155,0.166,0.214,0.158,0.145,0.163,0.184,0.308,0.058,0.142,4
"Negativa",0.569,0.611,0.53,0.628,0.54,0.588,0.556,0.499,0.585,0.614,0.582,0.543,0.268,0.819,0.744,4
"No sabe",0.009,0.011,0.007,0.024,0.009,0.005,0.006,0.006,0.014,0.005,0.007,0.013,0.007,0.004,0,4
