"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Sergio Massa por el Frente de Todos",0.296,0.261,0.33,0.264,0.269,0.305,0.368,0.299,0.29,0.303,0.308,0.274,0.333,0.321,0.206
"Mauricio Macri por Juntos por el Cambio",0.277,0.252,0.3,0.228,0.252,0.304,0.331,0.297,0.268,0.268,0.268,0.293,0.318,0.327,0.174
"Javier Milei por los liberales libertarios",0.203,0.276,0.134,0.281,0.246,0.166,0.098,0.22,0.206,0.179,0.201,0.206,0.097,0.202,0.282
"Nicolás del Caño por la izquierda",0.03,0.026,0.033,0.051,0.037,0.02,0.011,0.011,0.034,0.044,0.034,0.022,0.029,0.008,0.031
"Otro candidato",0.12,0.127,0.114,0.133,0.118,0.123,0.11,0.08,0.13,0.148,0.12,0.121,0.126,0.098,0.246
"Aún no lo tengo decidido",0.074,0.058,0.089,0.043,0.078,0.082,0.082,0.093,0.072,0.058,0.069,0.084,0.097,0.044,0.061
