"var","categoria","Seguro lo votaria","Quizás lo votaría","Nunca lo votaría"
"P05","Tengo trabajo estable",0.485,0.505,0.452
"P05","Realizo changas o trabajos de vez en cuando",0.177,0.176,0.18
"P05","No tengo trabajo",0.17,0.146,0.152
"P05","Soy jubilado o pensionado",0.168,0.173,0.216
"P06","1",0.489,0.326,0.35
"P06","2",0.034,0.099,0.054
"P06","3",0.053,0.102,0.066
"P06","4",0.052,0.108,0.09
"P06","5",0.166,0.233,0.256
"P06","6",0.025,0.029,0.044
"P06","7",0.049,0.025,0.032
"P06","8",0.034,0.031,0.029
"P06","9",0.098,0.047,0.079
"P07","1",0.223,0.176,0.176
"P07","2",0.069,0.033,0.02
"P07","3",0.021,0.027,0.028
"P07","4",0.013,0.061,0.041
"P07","5",0.193,0.21,0.245
"P07","6",0.036,0.088,0.074
"P07","7",0.056,0.085,0.07
"P07","8",0.071,0.058,0.099
"P07","9",0.318,0.262,0.247
"P08","1",0.296,0.252,0.271
"P08","2",0.003,0.019,0.041
"P08","3",0.016,0.033,0.022
"P08","4",0.013,0.015,0.01
"P08","5",0.118,0.177,0.136
"P08","6",0.011,0.028,0.029
"P08","7",0.043,0.037,0.044
"P08","8",0.017,0.072,0.028
"P08","9",0.483,0.367,0.419
"P13","A Horacio Rodriguez Larreta",0.275,0.257,0.245
"P13","A Mauricio Macri",0.293,0.311,0.278
"P13","A Patricia Bullrich",0.396,0.35,0.388
"P13","A Facundo Manes",0.032,0.066,0.061
"P13","A Gerardo Morales",0.004,0.016,0.028
"P15","Lo votaría",0.161,0.019,0.025
"P15","Puede que lo vote",0.031,0.075,0.03
"P15","Nunca lo votaría",0.799,0.86,0.936
"P15","No sabe",0.009,0.046,0.009
"P16","Lo votaría",0.05,0.026,0.02
"P16","Puede que lo vote",0.087,0.077,0.08
"P16","Nunca lo votaría",0.817,0.819,0.875
"P16","No sabe",0.046,0.078,0.025
"P17","Lo votaría",0.451,0.405,0.369
"P17","Puede que lo vote",0.298,0.411,0.382
"P17","Nunca lo votaría",0.202,0.132,0.208
"P17","No sabe",0.049,0.052,0.041
"P18","Lo votaría",0.318,0.327,0.293
"P18","Puede que lo vote",0.259,0.44,0.386
"P18","Nunca lo votaría",0.258,0.145,0.252
"P18","No sabe",0.165,0.088,0.069
"P19","Lo votaría",0.1,0.064,0.043
"P19","Puede que lo vote",0.073,0.082,0.102
"P19","Nunca lo votaría",0.808,0.79,0.833
"P19","No sabe",0.019,0.064,0.022
"P20","Lo votaría",0.093,0.066,0.067
"P20","Puede que lo vote",0.21,0.263,0.274
"P20","Nunca lo votaría",0.523,0.441,0.531
"P20","No sabe",0.174,0.23,0.128
"P21","Lo votaría",0.365,0.251,0.138
"P21","Puede que lo vote",0.228,0.4,0.392
"P21","Nunca lo votaría",0.276,0.22,0.41
"P21","No sabe",0.131,0.129,0.06
"P22","Lo votaría",0.081,0.034,0.064
"P22","Puede que lo vote",0.102,0.143,0.163
"P22","Nunca lo votaría",0.534,0.481,0.54
"P22","No sabe",0.283,0.342,0.233
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.279,0.293,0.292
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.179,0.276,0.226
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.317,0.277,0.34
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.055,0.029,0.017
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.011,0.03,0.029
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.043,0.032,0.048
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.1,0.018,0.007
"P23","A los candidatos de la izquierda",0,0,0.004
"P23","Otros candidatos",0.016,0.045,0.037
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.442,0.514,0.496
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.312,0.334,0.293
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.029,0.039,0.027
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.017,0.02,0.047
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.146,0.038,0.019
"P24","A los candidatos de la izquierda",0.022,0.012,0.045
"P24","Otros candidatos",0.032,0.043,0.073
"P26","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos",0.017,0.028,0.062
"P26","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.539,0.661,0.668
"P26","Javier Milei presidente – José Luis Espert gobernador por los liberales",0.317,0.117,0.03
"P26","A los candidatos de la izquierda",0.012,0.019,0.009
"P26","Otro candidato",0.115,0.175,0.231
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.463,0.502,0.528
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.131,0.22,0.217
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.309,0.119,0.047
"P28","A los candidatos de la izquierda",0.006,0.003,0.003
"P28","Otro candidato",0.091,0.156,0.205
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.437,0.361,0.371
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.262,0.415,0.426
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.236,0.08,0.033
"P30","A los candidatos de la izquierda",0.009,0,0.004
"P30","Otro candidato",0.056,0.144,0.166
"P31","Sergio Massa por el Frente de Todos",0.179,0.241,0.231
"P31","Patricia Bullrich por Juntos por el Cambio",0.604,0.566,0.568
"P31","Javier Milei por los liberales libertarios",0.153,0.053,0.016
"P31","Nicolás del Caño por la izquierda",0.004,0.003,0.002
"P31","Otro candidato",0.042,0.08,0.137
"P31","Aún no lo tengo decidido",0.018,0.057,0.046
"P33","Sergio Massa por el Frente de Todos",0.055,0.065,0.081
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.487,0.614,0.627
"P33","Javier Milei por los liberales libertarios",0.352,0.154,0.025
"P33","Nicolás del Caño por la izquierda",0.008,0.012,0.005
"P33","Otro candidato",0.076,0.1,0.192
"P33","Aún no lo tengo decidido",0.022,0.055,0.07
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.015,0.026,0.041
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.532,0.626,0.677
"P34","Javier Milei por los liberales libertarios",0.346,0.168,0.049
"P34","Nicolás del Caño por la izquierda",0.027,0.022,0.003
"P34","Otro candidato",0.062,0.11,0.184
"P34","Aún no lo tengo decidido",0.018,0.048,0.046
"P35","Sergio Massa por el Frente de Todos",0.334,0.396,0.453
"P35","Mauricio Macri por Juntos por el Cambio",0.332,0.334,0.336
"P35","Javier Milei por los liberales libertarios",0.268,0.095,0.027
"P35","Nicolás del Caño por la izquierda",0,0,0.001
"P35","Otro candidato",0.052,0.137,0.16
"P35","Aún no lo tengo decidido",0.014,0.038,0.023
"P36","Cristina Fernández de Kirchner por el Frente de Todos",0.055,0.087,0.094
"P36","Mauricio Macri por Juntos por el Cambio",0.829,0.807,0.801
"P36","No sabe",0.116,0.106,0.105
"P37","Alberto Fernández por el Frente de Todos",0.015,0.039,0.021
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.863,0.815,0.822
