"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Muy buena",0.279,0.269,0.288,0.233,0.233,0.325,0.336,0.298,0.265,0.279,0.284,0.268,0.091,0.517,0.121
"Patricia Bullrich","Buena",0.165,0.19,0.143,0.146,0.16,0.162,0.193,0.149,0.174,0.169,0.158,0.179,0.064,0.236,0.243
"Patricia Bullrich","Ni buena ni mala",0.124,0.113,0.134,0.164,0.133,0.119,0.085,0.128,0.141,0.094,0.12,0.132,0.102,0.09,0.219
"Patricia Bullrich","Mala",0.085,0.091,0.079,0.089,0.098,0.069,0.077,0.108,0.075,0.076,0.085,0.083,0.097,0.055,0.107
"Patricia Bullrich","Muy mala",0.336,0.335,0.337,0.368,0.363,0.31,0.297,0.292,0.339,0.377,0.34,0.329,0.635,0.099,0.292
"Patricia Bullrich","No sabe",0.011,0.002,0.019,0,0.013,0.015,0.012,0.025,0.006,0.005,0.013,0.009,0.011,0.003,0.018
"Maria Eugenia Vidal","Muy buena",0.19,0.193,0.187,0.211,0.159,0.179,0.25,0.226,0.185,0.16,0.185,0.198,0.05,0.319,0.18
"Maria Eugenia Vidal","Buena",0.177,0.173,0.182,0.095,0.162,0.205,0.226,0.162,0.185,0.183,0.185,0.163,0.034,0.322,0.276
"Maria Eugenia Vidal","Ni buena ni mala",0.171,0.147,0.192,0.126,0.183,0.19,0.151,0.168,0.179,0.161,0.164,0.182,0.115,0.19,0.208
"Maria Eugenia Vidal","Mala",0.095,0.111,0.08,0.086,0.088,0.115,0.088,0.109,0.079,0.104,0.09,0.105,0.108,0.068,0.171
"Maria Eugenia Vidal","Muy mala",0.351,0.37,0.335,0.469,0.39,0.297,0.268,0.3,0.363,0.385,0.359,0.338,0.679,0.094,0.165
"Maria Eugenia Vidal","No sabe",0.016,0.006,0.024,0.013,0.018,0.014,0.017,0.035,0.009,0.007,0.017,0.014,0.014,0.007,0
"Horacio Rodriguez Larreta","Muy buena",0.153,0.162,0.145,0.153,0.115,0.163,0.214,0.193,0.141,0.131,0.153,0.153,0.039,0.275,0.148
"Horacio Rodriguez Larreta","Buena",0.194,0.168,0.218,0.136,0.146,0.222,0.289,0.165,0.211,0.199,0.187,0.208,0.063,0.32,0.183
"Horacio Rodriguez Larreta","Ni buena ni mala",0.199,0.189,0.208,0.182,0.223,0.21,0.149,0.189,0.218,0.181,0.196,0.204,0.147,0.213,0.288
"Horacio Rodriguez Larreta","Mala",0.133,0.153,0.115,0.087,0.149,0.144,0.12,0.167,0.104,0.142,0.133,0.133,0.183,0.075,0.221
"Horacio Rodriguez Larreta","Muy mala",0.304,0.314,0.294,0.429,0.343,0.251,0.213,0.259,0.31,0.339,0.315,0.283,0.549,0.112,0.147
"Horacio Rodriguez Larreta","No sabe",0.017,0.014,0.02,0.013,0.024,0.01,0.015,0.027,0.016,0.008,0.016,0.019,0.019,0.005,0.013
"Mauricio Macri","Muy buena",0.175,0.167,0.182,0.15,0.139,0.193,0.235,0.203,0.159,0.169,0.164,0.195,0.075,0.317,0.027
"Mauricio Macri","Buena",0.183,0.165,0.199,0.177,0.162,0.189,0.217,0.155,0.192,0.197,0.184,0.18,0.061,0.297,0.202
"Mauricio Macri","Ni buena ni mala",0.142,0.161,0.125,0.174,0.138,0.139,0.132,0.141,0.16,0.117,0.141,0.144,0.082,0.153,0.158
