"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Patricia Bullrich","Positiva",0.444,0.459,0.431,0.379,0.393,0.487,0.529,0.447,0.439,0.448,0.442,0.447,0.155,0.753,0.364
"Patricia Bullrich","Neutra",0.124,0.113,0.134,0.164,0.133,0.119,0.085,0.128,0.141,0.094,0.12,0.132,0.102,0.09,0.219
"Patricia Bullrich","Negativa",0.421,0.426,0.416,0.457,0.461,0.379,0.374,0.4,0.414,0.453,0.425,0.412,0.732,0.154,0.399
"Patricia Bullrich","No sabe",0.011,0.002,0.019,0,0.013,0.015,0.012,0.025,0.006,0.005,0.013,0.009,0.011,0.003,0.018
"Maria Eugenia Vidal","Positiva",0.367,0.366,0.369,0.306,0.321,0.384,0.476,0.388,0.37,0.343,0.37,0.361,0.084,0.641,0.456
"Maria Eugenia Vidal","Neutra",0.171,0.147,0.192,0.126,0.183,0.19,0.151,0.168,0.179,0.161,0.164,0.182,0.115,0.19,0.208
"Maria Eugenia Vidal","Negativa",0.446,0.481,0.415,0.555,0.478,0.412,0.356,0.409,0.442,0.489,0.449,0.443,0.787,0.162,0.336
"Maria Eugenia Vidal","No sabe",0.016,0.006,0.024,0.013,0.018,0.014,0.017,0.035,0.009,0.007,0.017,0.014,0.014,0.007,0
"Horacio Rodriguez Larreta","Positiva",0.347,0.33,0.363,0.289,0.261,0.385,0.503,0.358,0.352,0.33,0.34,0.361,0.102,0.595,0.331
"Horacio Rodriguez Larreta","Neutra",0.199,0.189,0.208,0.182,0.223,0.21,0.149,0.189,0.218,0.181,0.196,0.204,0.147,0.213,0.288
"Horacio Rodriguez Larreta","Negativa",0.437,0.467,0.409,0.516,0.492,0.395,0.333,0.426,0.414,0.481,0.448,0.416,0.732,0.187,0.368
"Horacio Rodriguez Larreta","No sabe",0.017,0.014,0.02,0.013,0.024,0.01,0.015,0.027,0.016,0.008,0.016,0.019,0.019,0.005,0.013
"Mauricio Macri","Positiva",0.358,0.332,0.381,0.327,0.301,0.382,0.452,0.358,0.351,0.366,0.348,0.375,0.136,0.614,0.229
"Mauricio Macri","Neutra",0.142,0.161,0.125,0.174,0.138,0.139,0.132,0.141,0.16,0.117,0.141,0.144,0.082,0.153,0.158
"Mauricio Macri","Negativa",0.494,0.504,0.486,0.499,0.552,0.473,0.412,0.489,0.486,0.513,0.506,0.473,0.776,0.229,0.595
"Mauricio Macri","No sabe",0.006,0.003,0.008,0,0.009,0.006,0.004,0.012,0.003,0.004,0.005,0.008,0.006,0.004,0.018
"Javier Milei","Positiva",0.315,0.392,0.245,0.344,0.35,0.287,0.265,0.374,0.296,0.282,0.31,0.324,0.121,0.408,0.371
"Javier Milei","Neutra",0.228,0.203,0.25,0.171,0.18,0.275,0.295,0.224,0.256,0.191,0.227,0.229,0.11,0.327,0.337
"Javier Milei","Negativa",0.441,0.4,0.48,0.485,0.455,0.42,0.415,0.374,0.438,0.515,0.45,0.427,0.76,0.254,0.269
"Javier Milei","No sabe",0.016,0.005,0.025,0,0.015,0.018,0.025,0.028,0.01,0.012,0.013,0.02,0.009,0.011,0.023
"Facundo Manes","Positiva",0.209,0.215,0.205,0.152,0.195,0.236,0.242,0.228,0.203,0.201,0.186,0.254,0.155,0.262,0.447
"Facundo Manes","Neutra",0.33,0.307,0.35,0.264,0.312,0.362,0.365,0.322,0.331,0.335,0.325,0.338,0.39,0.301,0.254
"Facundo Manes","Negativa",0.402,0.439,0.368,0.564,0.418,0.345,0.336,0.344,0.42,0.433,0.424,0.36,0.392,0.411,0.244
"Facundo Manes","No sabe",0.059,0.039,0.077,0.02,0.075,0.057,0.057,0.106,0.046,0.031,0.065,0.048,0.063,0.026,0.055
"CFK","Positiva",0.31,0.286,0.331,0.262,0.33,0.307,0.307,0.302,0.297,0.336,0.32,0.291,0.684,0.063,0.076
"CFK","Neutra",0.059,0.051,0.068,0.09,0.068,0.049,0.035,0.067,0.066,0.042,0.053,0.071,0.088,0.013,0.089
"CFK","Negativa",0.622,0.659,0.588,0.64,0.594,0.631,0.653,0.615,0.632,0.615,0.619,0.628,0.22,0.923,0.817
