"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P05","Tengo trabajo estable",0.563,0.487,0.501
"P05","Realizo changas o trabajos de vez en cuando",0.144,0.152,0.224
"P05","No tengo trabajo",0.086,0.131,0.129
"P05","Soy jubilado o pensionado",0.207,0.23,0.146
"P06","1",0.152,0.386,0.315
"P06","2",0.046,0.072,0.05
"P06","3",0.03,0.076,0.049
"P06","4",0.036,0.087,0.076
"P06","5",0.145,0.21,0.25
"P06","6",0.064,0.045,0.054
"P06","7",0.184,0.037,0.036
"P06","8",0.077,0.023,0.034
"P06","9",0.266,0.064,0.136
"P07","1",0.464,0.166,0.203
"P07","2",0.083,0.03,0.041
"P07","3",0.054,0.029,0.016
"P07","4",0.042,0.035,0.037
"P07","5",0.127,0.213,0.219
"P07","6",0.023,0.065,0.065
"P07","7",0.051,0.087,0.073
"P07","8",0.029,0.087,0.085
"P07","9",0.127,0.288,0.261
"P08","1",0.657,0.225,0.275
"P08","2",0.022,0.03,0.039
"P08","3",0.02,0.035,0.039
"P08","4",0.032,0.019,0.028
"P08","5",0.087,0.145,0.125
"P08","6",0.008,0.021,0.023
"P08","7",0.007,0.046,0.046
"P08","8",0.015,0.046,0.036
"P08","9",0.152,0.433,0.389
"P10","Del Frente de Todos y el peronismo",0.833,0.031,0.187
"P10","De Cambiemos",0.027,0.666,0.236
"P10","De los Liberales libertarios",0.038,0.235,0.303
"P10","De la Izquierda",0.031,0.005,0.056
"P10","No sabe",0.071,0.063,0.218
"P11","A Alberto Fernández",0.097,0.285,0.153
"P11","A Sergio Massa",0.304,0.01,0.069
"P11","A algún candidato del peronismo",0.072,0.509,0.225
"P11","A algún candidato del kirchnerismo",0.527,0.196,0.553
"P12","A Alberto Fernández",0.051,0.202,0.13
"P12","A Sergio Massa",0.135,0.078,0.012
"P12","A algún candidato del peronismo",0.078,0.568,0.138
"P12","A Cristina Fernández de Kirchner",0.736,0.152,0.72
"P13","A Horacio Rodriguez Larreta",0.27,0.272,0.186
"P13","A Mauricio Macri",0.157,0.274,0.41
"P13","A Patricia Bullrich",0.088,0.406,0.346
"P13","A Facundo Manes",0.44,0.031,0.05
"P13","A Gerardo Morales",0.045,0.017,0.008
"P14","Seguro lo votaria",0.175,0.158,0.069
"P14","Quizás lo votaría",0.189,0.363,0.28
"P14","Nunca lo votaría",0.636,0.479,0.651
"P15","Lo votaría",0.761,0.026,0.167
"P15","Puede que lo vote",0.09,0.025,0.067
"P15","Nunca lo votaría",0.074,0.932,0.668
"P15","No sabe",0.075,0.017,0.098
"P16","Lo votaría",0.309,0.022,0.057
"P16","Puede que lo vote",0.421,0.067,0.127
"P16","Nunca lo votaría",0.139,0.882,0.69
"P16","No sabe",0.131,0.029,0.126
"P17","Lo votaría",0.047,0.377,0.071
"P17","Puede que lo vote",0.119,0.401,0.212
"P17","Nunca lo votaría",0.777,0.182,0.57
"P17","No sabe",0.057,0.04,0.147
"P18","Lo votaría",0.02,0.313,0.091
"P18","Puede que lo vote",0.042,0.396,0.193
"P18","Nunca lo votaría",0.847,0.203,0.523
"P18","No sabe",0.091,0.088,0.193
"P19","Lo votaría",0.38,0.049,0.05
"P19","Puede que lo vote",0.427,0.068,0.168
"P19","Nunca lo votaría",0.168,0.851,0.697
"P19","No sabe",0.025,0.032,0.085
"P20","Lo votaría",0.045,0.08,0.028
"P20","Puede que lo vote",0.145,0.254,0.129
"P20","Nunca lo votaría",0.626,0.518,0.605
"P20","No sabe",0.184,0.148,0.238
"P21","Lo votaría",0.033,0.314,0.252
"P21","Puede que lo vote",0.046,0.351,0.212
"P21","Nunca lo votaría",0.856,0.265,0.41
"P21","No sabe",0.065,0.07,0.126
"P22","Lo votaría",0.016,0.067,0.038
"P22","Puede que lo vote",0.042,0.146,0.083
"P22","Nunca lo votaría",0.717,0.506,0.531
"P22","No sabe",0.225,0.281,0.348
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.022,0.26,0.111
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.02,0.186,0.023
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.024,0.28,0.144
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.058,0.013,0.042
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.637,0.019,0.183
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.165,0.045,0.062
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.023,0.169,0.269
"P23","A los candidatos de la izquierda",0.021,0.003,0.033
"P23","Otros candidatos",0.03,0.025,0.133
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.022,0.439,0.2
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.036,0.261,0.05
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.144,0.033,0.058
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.687,0.022,0.074
