"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.162,0.145,0.178,0.164,0.184,0.11,0.182,0.219,0.153,0.104,0.172,0.142,0.153,0.168,0.426
"A Sergio Massa",0.243,0.283,0.205,0.202,0.226,0.278,0.277,0.368,0.203,0.152,0.248,0.236,0.231,0.332,0.308
"A algún candidato del peronismo",0.127,0.14,0.115,0.099,0.141,0.135,0.113,0.111,0.114,0.166,0.12,0.141,0.12,0.21,0.106
"A algún candidato del kirchnerismo",0.468,0.432,0.502,0.535,0.449,0.477,0.428,0.302,0.53,0.578,0.46,0.481,0.496,0.29,0.16
