"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa gobernador por el Frente de Todos","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio","Javier Milei presidente – José Luis Espert gobernador por los liberales","A los candidatos de la izquierda","Otro candidato"
"P05","Tengo trabajo estable",0.524,0.449,0.567,0.441,0.484
"P05","Realizo changas o trabajos de vez en cuando",0.183,0.159,0.171,0.292,0.171
"P05","No tengo trabajo",0.1,0.131,0.152,0.139,0.146
"P05","Soy jubilado o pensionado",0.193,0.261,0.11,0.128,0.199
"P06","1",0.181,0.414,0.416,0.147,0.222
"P06","2",0.044,0.048,0.087,0.044,0.082
"P06","3",0.033,0.081,0.093,0.015,0.045
"P06","4",0.04,0.092,0.061,0.105,0.087
"P06","5",0.149,0.197,0.186,0.125,0.329
"P06","6",0.059,0.039,0.033,0.043,0.056
"P06","7",0.146,0.035,0.014,0.129,0.05
"P06","8",0.07,0.024,0.028,0.11,0.037
"P06","9",0.278,0.07,0.082,0.282,0.092
"P07","1",0.484,0.177,0.172,0.194,0.201
"P07","2",0.078,0.045,0.036,0.086,0.029
"P07","3",0.054,0.016,0.025,0.03,0.038
"P07","4",0.041,0.035,0.025,0.092,0.054
"P07","5",0.125,0.204,0.157,0.206,0.347
"P07","6",0.028,0.07,0.036,0.04,0.059
"P07","7",0.044,0.072,0.108,0.044,0.055
"P07","8",0.024,0.076,0.097,0.03,0.067
"P07","9",0.122,0.305,0.344,0.278,0.15
"P08","1",0.646,0.221,0.194,0.611,0.303
"P08","2",0.027,0.03,0.036,0.035,0.019
"P08","3",0.026,0.02,0.036,0.012,0.044
"P08","4",0.025,0.014,0.027,0.031,0.021
"P08","5",0.068,0.142,0.144,0.021,0.158
"P08","6",0.009,0.027,0.01,0.003,0.033
"P08","7",0.012,0.049,0.052,0.007,0.03
"P08","8",0.014,0.04,0.044,0.061,0.031
"P08","9",0.173,0.457,0.457,0.219,0.361
"P10","Del Frente de Todos y el peronismo",0.854,0.031,0.039,0.186,0.145
"P10","De Cambiemos",0.041,0.864,0.151,0.142,0.389
"P10","De los Liberales libertarios",0.01,0.054,0.692,0.074,0.068
"P10","De la Izquierda",0.009,0.001,0.009,0.545,0.025
"P10","No sabe",0.086,0.05,0.109,0.053,0.373
"P11","A Alberto Fernández",0.142,0.383,0.021,0.012,0.122
"P11","A Sergio Massa",0.253,0.055,0.52,0.193,0.206
"P11","A algún candidato del peronismo",0.09,0.343,0.386,0.349,0.207
"P11","A algún candidato del kirchnerismo",0.515,0.219,0.073,0.446,0.465
"P12","A Alberto Fernández",0.077,0.34,0.034,0.082,0.113
"P12","A Sergio Massa",0.123,0.039,0.443,0.137,0.18
"P12","A algún candidato del peronismo",0.073,0.388,0.39,0.081,0.304
"P12","A Cristina Fernández de Kirchner",0.727,0.233,0.133,0.7,0.403
"P13","A Horacio Rodriguez Larreta",0.406,0.196,0.335,0.247,0.386
"P13","A Mauricio Macri",0.158,0.379,0.169,0.129,0.061
"P13","A Patricia Bullrich",0.122,0.391,0.455,0.609,0.383
"P13","A Facundo Manes",0.198,0.025,0.039,0.015,0.123
"P13","A Gerardo Morales",0.116,0.009,0.002,0,0.047
"P14","Seguro lo votaria",0.06,0.131,0.472,0.146,0.093
"P14","Quizás lo votaría",0.227,0.36,0.39,0.504,0.318
"P14","Nunca lo votaría",0.713,0.509,0.138,0.35,0.589
"P15","Lo votaría",0.768,0.034,0.027,0.193,0.122
"P15","Puede que lo vote",0.11,0.032,0.029,0.214,0.1
"P15","Nunca lo votaría",0.042,0.905,0.899,0.431,0.696
"P15","No sabe",0.08,0.029,0.045,0.162,0.082
"P16","Lo votaría",0.308,0.022,0.046,0.054,0.073
"P16","Puede que lo vote",0.408,0.052,0.073,0.18,0.175
"P16","Nunca lo votaría",0.145,0.873,0.813,0.624,0.614
"P16","No sabe",0.139,0.053,0.068,0.142,0.138
"P17","Lo votaría",0.044,0.426,0.147,0.1,0.187
"P17","Puede que lo vote",0.117,0.38,0.312,0.171,0.266
"P17","Nunca lo votaría",0.748,0.137,0.439,0.604,0.396
"P17","No sabe",0.091,0.057,0.102,0.125,0.151
"P18","Lo votaría",0.012,0.404,0.109,0.084,0.075
"P18","Puede que lo vote",0.068,0.392,0.296,0.113,0.247
"P18","Nunca lo votaría",0.793,0.123,0.445,0.719,0.48
"P18","No sabe",0.127,0.081,0.15,0.084,0.198
"P19","Lo votaría",0.332,0.072,0.036,0.062,0.1
"P19","Puede que lo vote",0.432,0.066,0.078,0.169,0.186
"P19","Nunca lo votaría",0.194,0.822,0.847,0.686,0.628
"P19","No sabe",0.042,0.04,0.039,0.083,0.086
"P20","Lo votaría",0.044,0.07,0.039,0.009,0.074
"P20","Puede que lo vote",0.152,0.265,0.16,0.068,0.171
"P20","Nunca lo votaría",0.607,0.506,0.615,0.694,0.52
"P20","No sabe",0.197,0.159,0.186,0.229,0.235
"P21","Lo votaría",0.019,0.215,0.537,0.096,0.107
"P21","Puede que lo vote",0.062,0.396,0.243,0.094,0.227
"P21","Nunca lo votaría",0.812,0.294,0.156,0.762,0.528
"P21","No sabe",0.107,0.095,0.064,0.048,0.138
"P22","Lo votaría",0.012,0.049,0.08,0.02,0.048
"P22","Puede que lo vote",0.056,0.153,0.085,0.051,0.108
"P22","Nunca lo votaría",0.677,0.524,0.519,0.576,0.505
"P22","No sabe",0.255,0.274,0.316,0.353,0.339
"P23","Mauricio Macri presidente – Cristian Ritondo gobernador por Juntos por el Cambio",0.018,0.422,0.041,0.032,0.082
"P23","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.019,0.159,0.067,0.088,0.215
"P23","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.02,0.29,0.162,0.165,0.21
"P23","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.07,0.021,0.015,0.077,0.06
"P23","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.69,0.02,0.016,0.148,0.076
"P23","Cristina Fernández de Kirchner presidenta  - Sergio Massa gobernador por el Frente de Todos",0.167,0.042,0.07,0.009,0.038
"P23","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.003,0.019,0.606,0.071,0.022
"P23","A los candidatos de la izquierda",0.007,0.001,0.004,0.395,0.014
"P23","Otros candidatos",0.006,0.026,0.019,0.015,0.283
"P24","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.025,0.545,0.151,0.176,0.227
"P24","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.031,0.274,0.075,0.054,0.234
"P24","Alberto Fernández presidente – Gabriel Katopodis gobernador por el Frente de Todos",0.191,0.032,0.037,0.022,0.057
"P24","Sergio Massa presidente – Axel Kicillof Gobernador",0.614,0.035,0.015,0.144,0.108
"P24","Javier Milei presidente - José Luis Espert gobernador por los liberales",0.027,0.042,0.657,0.079,0.047
"P24","A los candidatos de la izquierda",0.034,0.029,0.012,0.505,0.015
"P24","Otros candidatos",0.078,0.043,0.053,0.02,0.312
"P28","Horacio Rodríguez Larreta presidente – Diego Santilli gobernador por Juntos por el Cambio",0.242,0.558,0.065,0.223,0.213
"P28","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.736,0.224,0.023,0.03,0.144
"P28","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.005,0.104,0.892,0.071,0.035
"P28","A los candidatos de la izquierda",0.002,0.002,0.001,0.57,0.009
"P28","Otro candidato",0.015,0.112,0.019,0.106,0.599
"P30","Patricia Bullrich presidenta – Joaquín de la Torre gobernador por Juntos por el Cambio",0.504,0.435,0.096,0.25,0.148
"P30","Cristina Fernández de Kirchner presidenta  - Axel Kicillof gobernador por el Frente de Todos",0.464,0.426,0.086,0.133,0.247
"P30","Javier Milei presidente – José Luis Espert  gobernador por los liberales",0.001,0.066,0.806,0.076,0.038
"P30","A los candidatos de la izquierda",0.002,0.001,0.002,0.512,0.034
"P30","Otro candidato",0.029,0.072,0.01,0.029,0.533
"P31","Sergio Massa por el Frente de Todos",0.541,0.229,0.042,0.116,0.161
"P31","Patricia Bullrich por Juntos por el Cambio",0.18,0.639,0.16,0.138,0.197
"P31","Javier Milei por los liberales libertarios",0.007,0.042,0.758,0.076,0.046
"P31","Nicolás del Caño por la izquierda",0.019,0.002,0.002,0.503,0.03
"P31","Otro candidato",0.118,0.04,0.009,0.04,0.37
"P31","Aún no lo tengo decidido",0.135,0.048,0.029,0.127,0.196
"P33","Sergio Massa por el Frente de Todos",0.681,0.074,0.016,0.109,0.088
"P33","Horacio Rodríguez Larreta por Juntos por el Cambio",0.069,0.645,0.086,0.069,0.27
"P33","Javier Milei por los liberales libertarios",0.006,0.118,0.836,0.096,0.05
"P33","Nicolás del Caño por la izquierda",0.022,0.006,0.001,0.513,0.028
"P33","Otro candidato",0.113,0.097,0.015,0.128,0.328
"P33","Aún no lo tengo decidido",0.109,0.06,0.046,0.085,0.236
"P34","Cristina Fernández de Kirchner por el Frente de Todos",0.908,0.025,0.006,0.186,0.089
"P34","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.682,0.104,0.077,0.302
"P34","Javier Milei por los liberales libertarios",0.003,0.132,0.838,0.095,0.067
"P34","Nicolás del Caño por la izquierda",0.009,0.005,0.009,0.524,0.02
"P34","Otro candidato",0.02,0.106,0.015,0.097,0.323
"P34","Aún no lo tengo decidido",0.035,0.05,0.028,0.021,0.199
"P35","Sergio Massa por el Frente de Todos",0.387,0.471,0.073,0.065,0.164
"P35","Mauricio Macri por Juntos por el Cambio",0.393,0.432,0.047,0.099,0.118
"P35","Javier Milei por los liberales libertarios",0.005,0.029,0.842,0.107,0.052
"P35","Nicolás del Caño por la izquierda",0.027,0,0.003,0.538,0.02
