"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Alberto Fernández por el Frente de Todos",0.294,0.259,0.327,0.329,0.289,0.293,0.277,0.301,0.286,0.299,0.303,0.278,0.617,0.06,0.143
"Horacio Rodríguez Larreta por Juntos por el Cambio",0.408,0.414,0.401,0.361,0.359,0.444,0.495,0.384,0.414,0.423,0.407,0.409,0.126,0.725,0.489
"No sabe",0.298,0.327,0.272,0.31,0.352,0.263,0.228,0.315,0.3,0.278,0.29,0.313,0.257,0.215,0.368
