"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"1",0.297,0.292,0.301,0.28,0.287,0.304,0.326,0.349,0.302,0.222,0.295,0.299,0.202,0.4,0.215
"2",0.067,0.055,0.078,0.074,0.068,0.072,0.052,0.082,0.064,0.054,0.071,0.06,0.06,0.065,0.063
"3",0.058,0.065,0.05,0.066,0.057,0.059,0.045,0.049,0.06,0.063,0.055,0.063,0.036,0.078,0.064
"4",0.061,0.063,0.06,0.065,0.049,0.056,0.093,0.049,0.068,0.066,0.061,0.063,0.034,0.086,0.075
"5",0.198,0.219,0.179,0.162,0.217,0.217,0.172,0.184,0.194,0.224,0.206,0.183,0.175,0.196,0.291
"6",0.044,0.05,0.038,0.043,0.047,0.045,0.04,0.03,0.041,0.068,0.043,0.048,0.056,0.028,0.126
"7",0.069,0.07,0.067,0.086,0.066,0.071,0.051,0.035,0.068,0.11,0.068,0.068,0.119,0.036,0.058
"8",0.044,0.043,0.046,0.045,0.043,0.041,0.05,0.035,0.044,0.056,0.038,0.056,0.063,0.032,0.007
"9",0.162,0.143,0.181,0.179,0.166,0.135,0.171,0.187,0.159,0.137,0.163,0.16,0.255,0.079,0.101
