"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Nicolás del Caño por la izquierda","Otro candidato","Aún no lo tengo decidido"
"P05","Tengo trabajo estable",0.502,0.489,0.559,0.465,0.599,0.398
"P05","Realizo changas o trabajos de vez en cuando",0.178,0.131,0.197,0.255,0.162,0.25
"P05","No tengo trabajo",0.09,0.126,0.159,0.155,0.114,0.171
"P05","Soy jubilado o pensionado",0.23,0.254,0.085,0.125,0.125,0.181
"P06","1",0.244,0.323,0.417,0.102,0.17,0.292
"P06","2",0.06,0.046,0.085,0.077,0.05,0.068
"P06","3",0.033,0.089,0.084,0.067,0.028,0.026
"P06","4",0.057,0.08,0.066,0.094,0.047,0.046
"P06","5",0.176,0.196,0.186,0.087,0.297,0.216
"P06","6",0.051,0.052,0.036,0.049,0.065,0.045
"P06","7",0.106,0.07,0.009,0.123,0.102,0.095
"P06","8",0.061,0.039,0.02,0.042,0.074,0.039
"P06","9",0.212,0.105,0.097,0.359,0.167,0.173
"P07","1",0.401,0.201,0.195,0.269,0.293,0.381
"P07","2",0.078,0.039,0.031,0.071,0.052,0.058
"P07","3",0.032,0.033,0.008,0.07,0.062,0.044
"P07","4",0.027,0.031,0.03,0.043,0.066,0.083
"P07","5",0.159,0.209,0.127,0.314,0.28,0.2
"P07","6",0.038,0.064,0.034,0.047,0.036,0.058
"P07","7",0.06,0.079,0.11,0.054,0.033,0.022
"P07","8",0.036,0.076,0.102,0.006,0.054,0.043
"P07","9",0.169,0.268,0.363,0.126,0.124,0.111
"P08","1",0.51,0.308,0.203,0.644,0.488,0.434
"P08","2",0.026,0.028,0.027,0.052,0.026,0.021
"P08","3",0.017,0.024,0.041,0.016,0.034,0.042
"P08","4",0.023,0.019,0.031,0.03,0.013,0.029
"P08","5",0.102,0.123,0.129,0.081,0.121,0.138
"P08","6",0.018,0.019,0.012,0.025,0.014,0.024
"P08","7",0.012,0.044,0.049,0.009,0.015,0.054
"P08","8",0.018,0.034,0.036,0.069,0.032,0.028
"P08","9",0.274,0.401,0.472,0.074,0.257,0.23
"P10","Del Frente de Todos y el peronismo",0.608,0.214,0.027,0.313,0.412,0.418
"P10","De Cambiemos",0.268,0.662,0.085,0.031,0.302,0.152
"P10","De los Liberales libertarios",0.035,0.066,0.776,0.074,0.018,0.047
