"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.345,0.342,0.349,0.3,0.354,0.445,0.249,0.367,0.337,0.314,0.703,0.453,0.12,0.147,0.051,0.552,0.133,0.354,0.305,0.133,0.376,0.319
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.423,0.474,0.368,0.486,0.45,0.335,0.33,0.415,0.382,0.507,0.11,0.36,0.449,0.621,0.838,0.269,0.585,0.418,0.566,0.671,0.376,0.462
"En blanco",0.123,0.097,0.151,0.115,0.116,0.123,0.167,0.108,0.159,0.094,0.124,0.067,0.233,0.126,0.051,0.107,0.164,0.075,0.129,0.032,0.153,0.098
"No sabe",0.109,0.087,0.132,0.099,0.08,0.097,0.254,0.11,0.122,0.085,0.063,0.12,0.198,0.106,0.06,0.072,0.118,0.153,0,0.164,0.095,0.121
