"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.44,0.383,0.5,0.36,0.484,0.537,0.33,0.491,0.411,0.384,0.83,0.542,0.142,0.281,0.162,0.668,0.192,0.354,0.672,0.362,0.456,0.427
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.309,0.286,0.227,0.258,0.359,0.507,0.251,0.298,0.399,0.099,0.252,0.815,0.364,0.312,0.138,0.607,0.443,0.298,0.247,0.319,0.281
"En blanco",0.148,0.186,0.108,0.247,0.15,0.036,0.081,0.169,0.152,0.093,0.038,0.15,0.02,0.305,0.293,0.121,0.128,0.083,0,0.078,0.147,0.148
"No sabe",0.114,0.122,0.106,0.166,0.108,0.068,0.082,0.089,0.139,0.124,0.033,0.056,0.023,0.05,0.233,0.073,0.073,0.12,0.03,0.313,0.078,0.144
