"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Passalacqua","Ariol","Lenguaza","Perie","Villanueva","Posadas","Otra localidad"
"Si",0.395,0.437,0.351,0.288,0.385,0.531,0.448,0.425,0.373,0.37,0.479,0.294,0.381,0.443,0.36,0.512,0.333,0.345,0.461,0.098,0.384,0.404
"No",0.605,0.563,0.649,0.712,0.615,0.469,0.552,0.575,0.627,0.63,0.521,0.706,0.619,0.557,0.64,0.488,0.667,0.655,0.539,0.902,0.616,0.596
